"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2005-08-17T00:00:00.000Z",10,49,35,42.4,0,0,0,15000
"2005-08-19T00:00:00.000Z",42.4,42.5,41.25,42.4,0,0,0,6500
"2005-08-22T00:00:00.000Z",42.4,43.5,42.25,43,0.6,1.4150943396226416,1.4150943396226416,29000
"2005-08-23T00:00:00.000Z",43,43,40.85,42.6,-0.4,-0.9302325581395349,-0.9302325581395349,16500
"2005-08-24T00:00:00.000Z",42.6,42.95,41.5,41.6,-1,-2.3474178403755865,-2.3474178403755865,13000
"2005-08-25T00:00:00.000Z",41.6,41.5,41.25,41.25,-0.35,-0.8413461538461539,-0.8413461538461539,1500
"2005-08-26T00:00:00.000Z",41.25,41,40.75,41,-0.25,-0.6060606060606061,-0.6060606060606061,2500
"2005-08-29T00:00:00.000Z",41,42.5,40,42.25,1.25,3.048780487804878,3.048780487804878,31500
"2005-08-30T00:00:00.000Z",42.25,42.9,42.85,42.85,0.6,1.4201183431952662,1.4201183431952662,5000
"2005-08-31T00:00:00.000Z",42.85,43.2,42,43.15,0.3,0.7001166861143523,0.7001166861143523,17000
"2005-09-01T00:00:00.000Z",43.15,43.5,43,43.1,-0.05,-0.11587485515643108,-0.11587485515643108,27500
"2005-09-02T00:00:00.000Z",43.1,43.4,43,43,-0.1,-0.23201856148491878,-0.23201856148491878,5500
"2005-09-05T00:00:00.000Z",43,44.1,43,44,1,2.3255813953488373,2.3255813953488373,17500
"2005-09-06T00:00:00.000Z",44,46.2,44,46.1,2.1,4.772727272727273,4.772727272727273,25500
"2005-09-07T00:00:00.000Z",46.1,48.4,48,48.4,2.3,4.989154013015184,4.989154013015184,29000
"2005-09-08T00:00:00.000Z",48.4,50.8,50.8,50.8,2.4,4.958677685950414,4.958677685950414,4500
"2005-09-09T00:00:00.000Z",50.8,53.3,53.3,53.3,2.5,4.921259842519685,4.921259842519685,3500
"2005-09-12T00:00:00.000Z",53.3,55.95,54,55.95,2.65,4.9718574108818006,4.9718574108818006,289500
"2005-09-13T00:00:00.000Z",55.95,58.7,56.8,58.7,2.75,4.915102770330653,4.915102770330653,62000
"2005-09-14T00:00:00.000Z",58.7,61.6,59.5,61.6,2.9,4.940374787052811,4.940374787052811,44000
"2005-09-15T00:00:00.000Z",61.6,64.65,64,64.65,3.05,4.9512987012987,4.9512987012987,119000
"2005-09-16T00:00:00.000Z",64.65,67.85,67,67.85,3.2,4.949729311678269,4.949729311678269,101500
"2005-09-19T00:00:00.000Z",67.85,71.2,64.5,64.5,-3.35,-4.937361827560796,-4.937361827560796,241500
"2005-09-20T00:00:00.000Z",64.5,64.5,61.3,61.3,-3.2,-4.961240310077519,-4.961240310077519,212500
"2005-09-21T00:00:00.000Z",61.3,64.3,58.25,58.25,-3.05,-4.97553017944535,-4.97553017944535,154000
"2005-09-22T00:00:00.000Z",58.25,57.2,55.5,55.55,-2.7,-4.635193133047211,-4.635193133047211,103000
"2005-09-23T00:00:00.000Z",55.55,58.3,56.5,58.3,2.75,4.9504950495049505,4.9504950495049505,46500
"2005-09-26T00:00:00.000Z",58.3,61.2,58,60.1,1.8,3.087478559176672,3.087478559176672,129000
"2005-09-27T00:00:00.000Z",60.1,62.45,58.6,60,-0.1,-0.16638935108153077,-0.16638935108153077,91500
"2005-09-28T00:00:00.000Z",60,61,59.4,59.6,-0.4,-0.6666666666666667,-0.6666666666666667,55000
"2005-09-29T00:00:00.000Z",59.6,60.4,58.6,60,0.4,0.6711409395973155,0.6711409395973155,72500
"2005-09-30T00:00:00.000Z",60,62,59,61,1,1.6666666666666667,1.6666666666666667,105500
"2005-10-03T00:00:00.000Z",61,64.05,60.5,62.55,1.55,2.540983606557377,2.540983606557377,532500
"2005-10-04T00:00:00.000Z",62.55,65.65,62.5,65.65,3.1,4.95603517186251,4.95603517186251,262000
"2005-10-05T00:00:00.000Z",65.65,68.9,65.65,68.9,3.25,4.9504950495049505,4.9504950495049505,214000
"2005-10-06T00:00:00.000Z",68.9,72,69.5,71,2.1,3.047895500725689,3.047895500725689,511500
"2005-10-07T00:00:00.000Z",71,73,68.7,71.25,0.25,0.35211267605633806,0.35211267605633806,375500
"2005-10-10T00:00:00.000Z",71.25,72.1,69,71.5,0.25,0.3508771929824561,0.3508771929824561,31500
