"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2018-03-05T00:00:00.000Z",84,84,84,84,4,5,20500
"2018-03-06T00:00:00.000Z",88.2,88.2,88.2,88.2,4.199997,4.999996250000134,16000
"2018-03-07T00:00:00.000Z",92.61,92.61,91.15,92.61,4.410004,5.000004761904978,4040000
"2018-03-08T00:00:00.000Z",94.5,97.24,94.41,97.24,4.629997,4.999456700157974,3103000
"2018-03-09T00:00:00.000Z",100,101.75,93.25,94.16,-3.079994,-3.167414839618357,4225000
"2018-03-12T00:00:00.000Z",94.41,95.75,92.51,94.02,-0.140007,-0.14869051570907382,1404500
"2018-03-13T00:00:00.000Z",94.1,95.75,92.8,93.18,-0.8399963,-0.8934230302665944,1210500
"2018-03-14T00:00:00.000Z",93.19,93.19,88.53,88.58,-4.599998,-4.936679650926801,2948500
"2018-03-15T00:00:00.000Z",89,93,88.85,91.26,2.68,3.0255136599683907,2309500
"2018-03-16T00:00:00.000Z",91.5,91.88,89.8,89.97,-1.290001,-1.4135448015171508,455000
"2018-03-19T00:00:00.000Z",90.5,90.8,89.2,89.55,-0.4199982,-0.4668202827639936,318500
"2018-03-20T00:00:00.000Z",90.1,92.4,89.05,89.37,-0.1800003,-0.20100535946061854,1178000
"2018-03-21T00:00:00.000Z",89.85,91.9,89.3,90.44,1.07,1.1972697773302003,1116500
"2018-03-22T00:00:00.000Z",90.76,91.8,90.4,90.69,0.25,0.2764263600176913,1064000
"2018-03-26T00:00:00.000Z",90.25,90.89,89.01,89.55,-1.139999,-1.2570283521560077,578500
"2018-03-27T00:00:00.000Z",90,92.68,89.75,90.89,1.339996,1.4963662089842007,3514500
"2018-03-28T00:00:00.000Z",90.98,91.99,90,90.11,-0.7799988,-0.8581789088988304,1015500
"2018-03-29T00:00:00.000Z",90.36,93,89.9,90.32,0.2099991,0.23304749517542178,3277000
"2018-03-30T00:00:00.000Z",90.63,91.7,90.2,90.69,0.3700027,0.4096575631762115,1439500
"2018-04-02T00:00:00.000Z",90.98,91.7,90.5,90.82,0.1299973,0.1433424811222329,907000
"2018-04-03T00:00:00.000Z",91,93.69,89.3,89.93,-0.8899994,-0.979959706980575,4197000
"2018-04-04T00:00:00.000Z",90.01,90.82,89.66,90.16,0.2300034,0.255758266091161,1454000
"2018-04-05T00:00:00.000Z",90.6,94.66,90.6,94.66,4.5,4.991126885536824,5804000
"2018-04-06T00:00:00.000Z",97,99,96.05,98.02,3.359993,3.549538085286641,4803500
"2018-04-09T00:00:00.000Z",98.55,99.98,96.2,96.56,-1.459999,-1.4894909354161492,4096500
"2018-04-10T00:00:00.000Z",96.25,97.98,95.3,96.93,0.3700027,0.38318424849417426,922000
"2018-04-11T00:00:00.000Z",97.25,98.3,95.99,96.18,-0.75,-0.773754255648406,1029000
"2018-04-12T00:00:00.000Z",96.25,97.28,95.55,95.73,-0.4499969,-0.46786953057179803,645500
"2018-04-13T00:00:00.000Z",95.8,96,94.71,95.09,-0.640007,-0.6685542183236235,374000
"2018-04-16T00:00:00.000Z",95.11,97.25,94.55,95.25,0.1600037,0.16826554445874975,957000
"2018-04-17T00:00:00.000Z",95.31,97.74,95.31,97.34,2.089996,2.1942214301639296,1325000
"2018-04-18T00:00:00.000Z",99,102.2,98.41,102.2,4.860001,4.992809790351446,3375500
"2018-04-19T00:00:00.000Z",104,106.45,99.5,102.87,0.6700058,0.6555830117649849,3116000
"2018-04-20T00:00:00.000Z",102.77,105.98,102.35,104.11,1.239998,1.2054029123086825,1469000
"2018-04-23T00:00:00.000Z",104.79,105.25,103.01,104.31,0.1999969,0.1921015215107606,870500
"2018-04-24T00:00:00.000Z",103.66,104.9,101.7,102.05,-2.259995,-2.166614043074204,868000
"2018-04-25T00:00:00.000Z",102.48,107.15,102.3,107.15,5.099998,4.997548162713412,2079500
"2018-04-26T00:00:00.000Z",109,109,102,102.46,-4.690002,-4.377043315407497,2208000
