"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",51.5,51.6,50.35,50.5,0,0,0,49500
"2004-01-02T00:00:00.000Z",50.5,52,50.65,50.9,0.4,0.7920792079207921,0.7920792079207921,12000
"2004-01-05T00:00:00.000Z",50.9,51.9,50.75,51,0.1,0.1964636542239686,0.1964636542239686,108500
"2004-01-06T00:00:00.000Z",51,51.3,50,50.95,-0.05,-0.09803921568627451,-0.09803921568627451,57000
"2004-01-07T00:00:00.000Z",50.95,51.1,50.75,51,0.05,0.09813542688910697,0.09813542688910697,351500
"2004-01-08T00:00:00.000Z",51,51.25,50.6,50.6,-0.4,-0.7843137254901961,-0.7843137254901961,198500
"2004-01-09T00:00:00.000Z",50.6,51.1,50.25,50.5,-0.1,-0.1976284584980237,-0.1976284584980237,113500
"2004-01-12T00:00:00.000Z",50.5,51,50.3,50.5,0,0,0,17000
"2004-01-13T00:00:00.000Z",50.5,51,50.35,51,0.5,0.9900990099009901,0.9900990099009901,29000
"2004-01-14T00:00:00.000Z",51,51.9,50.25,50.5,-0.5,-0.9803921568627451,-0.9803921568627451,153000
"2004-01-15T00:00:00.000Z",50.5,51.6,50.5,51.4,0.9,1.7821782178217824,1.7821782178217824,332000
"2004-01-16T00:00:00.000Z",51.4,51.7,50.8,51.7,0.3,0.5836575875486381,0.5836575875486381,50000
"2004-01-19T00:00:00.000Z",51.7,51.6,51,51,-0.7,-1.3539651837524176,-1.3539651837524176,139000
"2004-01-20T00:00:00.000Z",51,50.75,50.5,50.7,-0.3,-0.5882352941176471,-0.5882352941176471,47500
"2004-01-21T00:00:00.000Z",50.7,51.75,51,51.75,1.05,2.0710059171597632,2.0710059171597632,136000
"2004-01-22T00:00:00.000Z",51.75,53.2,51.6,53,1.25,2.4154589371980677,2.4154589371980677,695500
"2004-01-23T00:00:00.000Z",53,53.45,52.8,53.05,0.05,0.09433962264150944,0.09433962264150944,217000
"2004-01-26T00:00:00.000Z",53.05,53.05,51.3,51.3,-1.75,-3.298774740810556,-3.298774740810556,228500
"2004-01-27T00:00:00.000Z",51.3,52.25,51.2,52,0.7,1.364522417153996,1.364522417153996,50500
"2004-01-28T00:00:00.000Z",52,53,52,53,1,1.9230769230769231,1.9230769230769231,68500
"2004-01-29T00:00:00.000Z",53,53.25,52.55,52.8,-0.2,-0.37735849056603776,-0.37735849056603776,162000
"2004-01-30T00:00:00.000Z",52.8,54.75,52.85,54.45,1.65,3.1249999999999996,3.1249999999999996,860500
"2004-02-06T00:00:00.000Z",54.45,55.25,53.05,54.4,-0.05,-0.09182736455463729,-0.09182736455463729,582000
"2004-02-09T00:00:00.000Z",54.4,55.4,54,54.8,0.4,0.7352941176470589,0.7352941176470589,579500
