"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",117.5,112.75,112.75,112.75,0,0,300
"2004-01-02T00:00:00.000Z",112.75,111,111,111,-1.75,-1.5521064301552108,100
"2004-01-05T00:00:00.000Z",111,111.25,111.25,111.25,0.25,0.22522522522522523,0
"2004-01-06T00:00:00.000Z",111.25,118.2,109.05,118,6.75,6.067415730337078,7000
"2004-01-07T00:00:00.000Z",118,125,120,121,3,2.5423728813559325,2100
"2004-01-08T00:00:00.000Z",121,124.9,124.9,124.9,3.9,3.2231404958677685,100
"2004-01-12T00:00:00.000Z",124.9,124,120,120,-4.9,-3.923138510808647,800
"2004-01-13T00:00:00.000Z",120,122,122,122,2,1.6666666666666667,100
"2004-01-14T00:00:00.000Z",122,128,121,121,-1,-0.819672131147541,5000
"2004-01-19T00:00:00.000Z",121,120,120,120,-1,-0.8264462809917356,400
"2004-01-21T00:00:00.000Z",120,128.5,127,128.5,8.5,7.083333333333333,7000
"2004-01-22T00:00:00.000Z",128.5,135,129,135,6.5,5.058365758754864,8100
"2004-01-23T00:00:00.000Z",135,135,135,135,0,0,1000
"2004-01-26T00:00:00.000Z",135,130,130,130,-5,-3.7037037037037033,100
"2004-01-28T00:00:00.000Z",130,138.4,131.2,131.2,1.2,0.923076923076923,3000
"2004-01-29T00:00:00.000Z",131.2,138.1,130,138.1,6.9,5.259146341463415,300
"2004-01-30T00:00:00.000Z",138.1,135,132,135,-3.1,-2.2447501810282406,700
"2004-02-06T00:00:00.000Z",135,135,135,135,0,0,500
"2004-02-09T00:00:00.000Z",135,130.2,130.2,130.2,-4.8,-3.5555555555555554,100
"2004-02-10T00:00:00.000Z",130.2,135.5,134,135.5,5.3,4.070660522273426,700
"2004-02-11T00:00:00.000Z",135.5,137,136,137,1.5,1.107011070110701,1000
"2004-02-12T00:00:00.000Z",137,136,131,136,-1,-0.7299270072992701,500
"2004-02-13T00:00:00.000Z",136,134,133,134,-2,-1.4705882352941175,2700
"2004-02-16T00:00:00.000Z",134,135,135,135,1,0.7462686567164178,200
"2004-02-19T00:00:00.000Z",135,132,132,132,-3,-2.2222222222222223,200
"2004-02-23T00:00:00.000Z",132,130,130,130,-2,-1.5151515151515151,200
"2004-02-26T00:00:00.000Z",130,129.95,123.5,129.95,-0.05,-0.038461538461538464,1400
"2004-02-27T00:00:00.000Z",129.95,136.4,129.5,131.5,1.55,1.1927664486340903,700
"2004-03-03T00:00:00.000Z",131.5,132.5,132.5,132.5,1,0.7604562737642585,1100
"2004-03-04T00:00:00.000Z",132.5,132.75,132.75,132.75,0.25,0.18867924528301888,300
"2004-03-05T00:00:00.000Z",132.75,133,133,133,0.25,0.18832391713747645,0
"2004-03-08T00:00:00.000Z",133,135,134,135,2,1.5037593984962405,700
"2004-03-11T00:00:00.000Z",135,134.15,133,134.15,-0.85,-0.6296296296296297,700
"2004-03-12T00:00:00.000Z",134.15,136.5,135,136,1.85,1.3790532985464032,1500
"2004-03-15T00:00:00.000Z",136,134,133,133,-3,-2.2058823529411766,1300
"2004-03-16T00:00:00.000Z",133,135,134,134,1,0.7518796992481203,400
"2004-03-17T00:00:00.000Z",134,136,136,136,2,1.4925373134328357,800
"2004-03-18T00:00:00.000Z",136,136.1,136.1,136.1,0.1,0.07352941176470588,0
"2004-03-19T00:00:00.000Z",136.1,139,136.3,136.3,0.2,0.1469507714915503,4800
"2004-03-22T00:00:00.000Z",136.3,139,137,138.5,2.2,1.6140865737344092,4000
"2004-03-24T00:00:00.000Z",138.5,145,145,145,6.5,4.693140794223827,100
"2004-03-25T00:00:00.000Z",145,144,140,141,-4,-2.7586206896551726,500
"2004-03-26T00:00:00.000Z",141,142,142,142,1,0.7092198581560284,200
"2004-03-29T00:00:00.000Z",142,141,141,141,-1,-0.7042253521126761,700
"2004-03-30T00:00:00.000Z",141,141,141,141,0,0,100
"2004-03-31T00:00:00.000Z",141,140,140,140,-1,-0.7092198581560284,800
"2004-04-02T00:00:00.000Z",140,140.5,140,140,0,0,1200
"2004-04-05T00:00:00.000Z",140,143,140,143,3,2.142857142857143,6600
"2004-04-06T00:00:00.000Z",143,142,141.2,141.2,-1.8,-1.2587412587412588,2500
"2004-04-07T00:00:00.000Z",141.2,145,141.25,145,3.8,2.6912181303116145,300
"2004-04-08T00:00:00.000Z",145,150,148,148,3,2.0689655172413794,2100
"2004-04-09T00:00:00.000Z",148,154.65,149.5,154.65,6.65,4.493243243243243,1700
"2004-04-12T00:00:00.000Z",154.65,155,154,154,-0.65,-0.42030391205948914,2000
"2004-04-13T00:00:00.000Z",154,164,156.2,164,10,6.493506493506493,2800
"2004-04-14T00:00:00.000Z",164,158.2,158.2,158.2,-5.8,-3.536585365853658,200
"2004-04-15T00:00:00.000Z",158.2,156,154,155,-3.2,-2.0227560050568902,1100
"2004-04-16T00:00:00.000Z",155,166,162,166,11,7.096774193548387,3000
"2004-04-19T00:00:00.000Z",166,163,161,161,-5,-3.0120481927710845,2000
"2004-04-20T00:00:00.000Z",161,159,159,159,-2,-1.2422360248447204,200
"2004-04-21T00:00:00.000Z",159,160.5,160,160.5,1.5,0.9433962264150944,700
"2004-04-22T00:00:00.000Z",160.5,160,160,160,-0.5,-0.3115264797507788,1500
"2004-04-23T00:00:00.000Z",160,170,155,160,0,0,5700
"2004-04-26T00:00:00.000Z",160,164,164,164,4,2.5,400
"2004-04-27T00:00:00.000Z",164,170,166,170,6,3.6585365853658534,2100
"2004-04-28T00:00:00.000Z",170,171,167,167,-3,-1.7647058823529411,1300
"2004-04-29T00:00:00.000Z",167,172,166,172,5,2.9940119760479043,800
"2004-05-06T00:00:00.000Z",172,169,164,164,-8,-4.651162790697675,2000
"2004-05-10T00:00:00.000Z",164,168,165,168,4,2.4390243902439024,1600
"2004-05-11T00:00:00.000Z",168,165,164,164,-4,-2.380952380952381,600
"2004-05-12T00:00:00.000Z",164,170,163,170,6,3.6585365853658534,2500
"2004-05-13T00:00:00.000Z",170,167,167,167,-3,-1.7647058823529411,100
"2004-05-14T00:00:00.000Z",167,172,172,172,5,2.9940119760479043,500
"2004-05-17T00:00:00.000Z",172,174,174,174,2,1.1627906976744187,1100
"2004-05-18T00:00:00.000Z",174,172,172,172,-2,-1.1494252873563218,1000
"2004-05-19T00:00:00.000Z",172,174,173,174,2,1.1627906976744187,500
"2004-05-21T00:00:00.000Z",174,180,172.9,180,6,3.4482758620689653,800
"2004-05-25T00:00:00.000Z",180,180,178,180,0,0,1000
"2004-05-28T00:00:00.000Z",180,185,175,185,5,2.7777777777777777,2200
"2004-05-31T00:00:00.000Z",185,185,185,185,0,0,500
"2004-06-01T00:00:00.000Z",185,185,185,185,0,0,100
"2004-06-03T00:00:00.000Z",185,175.75,175.75,175.75,-9.25,-5,1000
"2004-06-04T00:00:00.000Z",175.75,185,180,180,4.25,2.418207681365576,100
"2004-06-07T00:00:00.000Z",180,179,177,177,-3,-1.6666666666666667,700
"2004-06-09T00:00:00.000Z",177,180,172,180,3,1.694915254237288,1800
"2004-06-10T00:00:00.000Z",180,175,171,175,-5,-2.7777777777777777,900
"2004-06-11T00:00:00.000Z",175,180,170,180,5,2.857142857142857,2600
"2004-06-14T00:00:00.000Z",180,178,178,178,-2,-1.1111111111111112,0
"2004-06-16T00:00:00.000Z",178,175,173,174.75,-3.25,-1.8258426966292134,400
"2004-06-17T00:00:00.000Z",174.75,179.8,176,176,1.25,0.7153075822603719,900
"2004-06-18T00:00:00.000Z",176,178.9,178.9,178.9,2.9,1.6477272727272725,600
"2004-06-22T00:00:00.000Z",178.9,176,176,176,-2.9,-1.621017328116266,0
"2004-06-23T00:00:00.000Z",176,175.9,175.9,175.9,-0.1,-0.05681818181818182,0
"2004-06-24T00:00:00.000Z",175.9,167.5,167.2,167.2,-8.7,-4.945992040932349,1100
"2004-06-28T00:00:00.000Z",167.2,175,165,174,6.8,4.0669856459330145,1900
"2004-06-29T00:00:00.000Z",174,178,167,178,4,2.2988505747126435,3000
"2004-06-30T00:00:00.000Z",178,178,175,175,-3,-1.6853932584269662,1100
"2004-07-01T00:00:00.000Z",175,175,172,175,0,0,700
"2004-07-02T00:00:00.000Z",175,178,173,176,1,0.5714285714285714,4300
"2004-07-05T00:00:00.000Z",176,179,179,179,3,1.7045454545454544,1100
"2004-07-06T00:00:00.000Z",179,180,177,180,1,0.5586592178770949,900
"2004-07-07T00:00:00.000Z",180,184,177,182.5,2.5,1.3888888888888888,1200
"2004-07-08T00:00:00.000Z",182.5,184,175,175,-7.5,-4.10958904109589,700
"2004-07-12T00:00:00.000Z",175,179,179,179,4,2.2857142857142856,300
"2004-07-14T00:00:00.000Z",179,176,176,176,-3,-1.675977653631285,0
"2004-07-15T00:00:00.000Z",176,175,175,175,-1,-0.5681818181818182,0
"2004-07-16T00:00:00.000Z",175,177.9,177.9,177.9,2.9,1.657142857142857,200
"2004-07-19T00:00:00.000Z",177.9,187,178.5,185.5,7.6,4.2720629567172566,10700
"2004-07-21T00:00:00.000Z",185.5,190,186,189.95,4.45,2.3989218328840973,1700
"2004-07-22T00:00:00.000Z",189.95,204.15,190,204.15,14.2,7.475651487233481,5400
"2004-07-23T00:00:00.000Z",204.15,204,197.5,204,-0.15,-0.07347538574577515,1500
"2004-07-26T00:00:00.000Z",204,202,198,202,-2,-0.9803921568627451,800
"2004-07-28T00:00:00.000Z",202,199,199,199,-3,-1.4851485148514851,0
"2004-08-03T00:00:00.000Z",199,205,202,205,6,3.015075376884422,300
"2004-08-04T00:00:00.000Z",205,209,200,209,4,1.951219512195122,800
"2004-08-05T00:00:00.000Z",209,204,200,202.5,-6.5,-3.110047846889952,2100
"2004-08-06T00:00:00.000Z",202.5,217,202,217,14.5,7.160493827160494,5500
"2004-08-09T00:00:00.000Z",217,215,215,215,-2,-0.9216589861751152,0
"2004-08-10T00:00:00.000Z",215,220,215,215,0,0,1600
"2004-08-11T00:00:00.000Z",215,214,207,207,-8,-3.7209302325581395,1900
"2004-08-12T00:00:00.000Z",207,215,209,212,5,2.4154589371980677,1800
"2004-08-13T00:00:00.000Z",212,209,208,208,-4,-1.8867924528301887,1200
"2004-08-16T00:00:00.000Z",208,223,210,222.9,14.9,7.163461538461538,7700
"2004-08-17T00:00:00.000Z",222.9,222,214,222,-0.9,-0.4037685060565276,3800
"2004-08-18T00:00:00.000Z",222,219,215,219,-3,-1.3513513513513513,700
"2004-08-19T00:00:00.000Z",219,220,215,217,-2,-0.91324200913242,7000
"2004-08-20T00:00:00.000Z",217,219,218.9,218.9,1.9,0.8755760368663594,2600
"2004-08-23T00:00:00.000Z",218.9,220,214,217,-1.9,-0.8679762448606669,10500
"2004-08-24T00:00:00.000Z",217,220,218.9,219.5,2.5,1.1520737327188941,4600
"2004-08-25T00:00:00.000Z",219.5,222,220,222,2.5,1.1389521640091116,3900
"2004-08-26T00:00:00.000Z",222,238,220,238,16,7.207207207207207,8400
"2004-08-27T00:00:00.000Z",238,255.85,241,255.85,17.85,7.500000000000001,11900
"2004-08-30T00:00:00.000Z",255.85,270,259,261,5.15,2.0128981825288257,17900
"2004-08-31T00:00:00.000Z",261,265,255,265,4,1.532567049808429,3500
"2004-09-01T00:00:00.000Z",265,270,253,270,5,1.8867924528301887,13700
