"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",41.5,42,41.5,41.5,0,0,10500
"2004-01-05T00:00:00.000Z",41.5,42.2,41.5,42,0.5,1.2048192771084338,27000
"2004-01-06T00:00:00.000Z",42,41.8,41,41.8,-0.2,-0.4761904761904762,23000
"2004-01-07T00:00:00.000Z",41.8,41.75,41.2,41.25,-0.55,-1.3157894736842108,15500
"2004-01-08T00:00:00.000Z",41.25,42,41.35,41.35,0.1,0.24242424242424243,5000
"2004-01-09T00:00:00.000Z",41.35,42,40.7,41.5,0.15,0.3627569528415961,54500
"2004-01-12T00:00:00.000Z",41.5,42.25,41.8,41.8,0.3,0.7228915662650601,22000
"2004-01-13T00:00:00.000Z",41.8,41.8,40,41.75,-0.05,-0.11961722488038279,69000
"2004-01-14T00:00:00.000Z",41.75,40.6,40.45,40.6,-1.15,-2.754491017964072,1500
"2004-01-15T00:00:00.000Z",40.6,41.45,40.9,41.3,0.7,1.7241379310344827,25000
"2004-01-16T00:00:00.000Z",41.3,41.95,41,41.1,-0.2,-0.4842615012106537,65000
"2004-01-19T00:00:00.000Z",41.1,42,41.25,41.25,0.15,0.36496350364963503,16000
"2004-01-20T00:00:00.000Z",41.25,41.25,41,41.25,0,0,9500
"2004-01-21T00:00:00.000Z",41.25,42.5,41.5,42.2,0.95,2.3030303030303028,85500
"2004-01-22T00:00:00.000Z",42.2,43.5,42.15,43.25,1.05,2.4881516587677726,137500
"2004-01-23T00:00:00.000Z",43.25,43.3,43,43.1,-0.15,-0.3468208092485549,8500
"2004-01-26T00:00:00.000Z",43.1,43.5,42.7,42.7,-0.4,-0.9280742459396751,2000
"2004-01-27T00:00:00.000Z",42.7,43.1,42.5,42.7,0,0,22500
"2004-01-28T00:00:00.000Z",42.7,43.5,42.6,42.6,-0.1,-0.234192037470726,14500
"2004-01-29T00:00:00.000Z",42.6,43.9,42,42,-0.6,-1.408450704225352,35000
"2004-01-30T00:00:00.000Z",42,43.25,42.25,43,1,2.380952380952381,57000
"2004-02-06T00:00:00.000Z",43,43.55,42.5,43.55,0.55,1.2790697674418605,31000
"2004-02-09T00:00:00.000Z",43.55,43.8,42.15,43.1,-0.45,-1.0332950631458093,50000
"2004-02-10T00:00:00.000Z",43.1,45.5,44,44.9,1.8,4.176334106728538,19500
"2004-02-11T00:00:00.000Z",44.9,48,45.85,47,2.1,4.67706013363029,129500
"2004-02-12T00:00:00.000Z",47,47,45,46,-1,-2.127659574468085,42500
"2004-02-13T00:00:00.000Z",46,46.5,45,46.25,0.25,0.5434782608695652,97000
"2004-02-16T00:00:00.000Z",46.25,46.95,44.1,46.25,0,0,34500
"2004-02-17T00:00:00.000Z",46.25,47.35,45.25,46,-0.25,-0.5405405405405406,123500
"2004-02-18T00:00:00.000Z",46,49.45,47.25,49.45,3.45,7.5,398000
"2004-02-19T00:00:00.000Z",49.45,53.15,52.3,53.15,3.7,7.482305358948434,284500
"2004-02-20T00:00:00.000Z",53.15,54.9,52.55,53.5,0.35,0.6585136406396989,270000
"2004-02-23T00:00:00.000Z",53.5,54.35,53,53.5,0,0,70500
"2004-02-24T00:00:00.000Z",53.5,53.5,52.5,53.5,0,0,49000
"2004-02-25T00:00:00.000Z",53.5,53.75,52.1,52.3,-1.2,-2.2429906542056073,67500
"2004-02-26T00:00:00.000Z",52.3,52.25,51.7,51.75,-0.55,-1.0516252390057363,28000
"2004-02-27T00:00:00.000Z",51.75,52.5,52,52.1,0.35,0.6763285024154588,48500
"2004-03-03T00:00:00.000Z",52.1,53.45,52.55,53,0.9,1.727447216890595,27000
"2004-03-04T00:00:00.000Z",53,53.6,53,53.6,0.6,1.1320754716981132,28000
"2004-03-05T00:00:00.000Z",53.6,53.95,53.05,53.5,-0.1,-0.18656716417910446,33500
"2004-03-08T00:00:00.000Z",53.5,56,53,55.4,1.9,3.551401869158878,136000
"2004-03-09T00:00:00.000Z",55.4,56,55,55.4,0,0,35000
"2004-03-10T00:00:00.000Z",55.4,56.5,55.3,56,0.6,1.083032490974729,47000
"2004-03-11T00:00:00.000Z",56,57.4,56,57.4,1.4,2.5,82000
"2004-03-12T00:00:00.000Z",57.4,58.4,57.25,58.4,1,1.7421602787456445,91000
"2004-03-15T00:00:00.000Z",58.4,60.2,58.9,60.15,1.75,2.9965753424657535,116500
