"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-02T00:00:00.000Z",49.25,48.25,48.25,48.25,0,0,500
"2004-01-07T00:00:00.000Z",48.25,48.5,48.5,48.5,0.25,0.5181347150259068,0
"2004-01-08T00:00:00.000Z",48.5,49,48.5,48.5,0,0,3500
"2004-01-09T00:00:00.000Z",48.5,48.5,48.25,48.5,0,0,500
"2004-01-13T00:00:00.000Z",48.5,46.5,46.5,46.5,-2,-4.123711340206185,500
"2004-01-16T00:00:00.000Z",46.5,46.55,46.55,46.55,0.05,0.10752688172043011,0
"2004-01-20T00:00:00.000Z",46.55,47,47,47,0.45,0.9667024704618691,0
"2004-01-21T00:00:00.000Z",47,47.05,47.05,47.05,0.05,0.10638297872340426,0
"2004-01-22T00:00:00.000Z",47.05,47.55,47.55,47.55,0.5,1.0626992561105209,0
"2004-01-23T00:00:00.000Z",44.55,47.5,47.5,47.5,-0.05,-0.10515247108307046,0
"2004-02-17T00:00:00.000Z",47.5,46,46,46,-1.5,-3.1578947368421053,0
"2004-02-18T00:00:00.000Z",46,43.7,43.7,43.7,-2.3,-5,400
"2004-03-08T00:00:00.000Z",43.7,45,45,45,1.3,2.974828375286041,500
"2004-03-11T00:00:00.000Z",45,45,45,45,0,0,1300
"2004-03-12T00:00:00.000Z",45,45,45,45,0,0,300
"2004-03-15T00:00:00.000Z",45,45,45,45,0,0,1000
"2004-03-16T00:00:00.000Z",45,45,45,45,0,0,100
"2004-03-17T00:00:00.000Z",45,45.1,45,45,0,0,2000
"2004-03-18T00:00:00.000Z",45,48.35,47.5,48.35,3.35,7.4444444444444455,7000
"2004-03-24T00:00:00.000Z",48.35,48.35,48.35,48.35,0,0,2000
"2004-03-25T00:00:00.000Z",48.35,48,48,48,-0.35,-0.7238883143743536,0
"2004-03-26T00:00:00.000Z",48,45.7,45.6,45.6,-2.4,-5,4000
"2004-04-08T00:00:00.000Z",45.6,46,46,46,0.4,0.8771929824561403,500
"2004-04-12T00:00:00.000Z",46,47.5,47.5,47.5,1.5,3.260869565217391,500
"2004-04-14T00:00:00.000Z",47.5,48,48,48,0.5,1.0526315789473684,500
"2004-04-15T00:00:00.000Z",48,48,48,48,0,0,1500
"2004-04-16T00:00:00.000Z",48,47,47,47,-1,-2.083333333333333,500
"2004-04-21T00:00:00.000Z",47,49.9,49.9,49.9,2.9,6.170212765957447,500
"2004-05-05T00:00:00.000Z",49.9,49,49,49,-0.9,-1.8036072144288577,100
"2004-05-11T00:00:00.000Z",49,48,48,48,-1,-2.0408163265306123,0
"2004-05-19T00:00:00.000Z",48,45.6,45.6,45.6,-2.4,-5,1000
"2004-05-24T00:00:00.000Z",45.6,45,44,44,-1.6,-3.508771929824561,1000
"2004-05-25T00:00:00.000Z",44,45.95,45.5,45.95,1.95,4.431818181818182,1000
"2004-05-26T00:00:00.000Z",45.95,44.75,44,44.75,-1.2,-2.6115342763873772,1600
"2004-05-27T00:00:00.000Z",44.75,44.5,44,44.5,-0.25,-0.5586592178770949,1200
"2004-05-28T00:00:00.000Z",44.5,45,44.05,44.5,0,0,2400
"2004-05-31T00:00:00.000Z",44.5,44.5,42.5,43,-1.5,-3.3707865168539324,2600
"2004-06-01T00:00:00.000Z",43,43,43,43,0,0,200
"2004-06-02T00:00:00.000Z",43,42,41.3,41.3,-1.7,-3.953488372093023,1600
"2004-06-07T00:00:00.000Z",41.3,40,39.25,39.25,-2.05,-4.963680387409201,800
"2004-06-08T00:00:00.000Z",39.25,38.5,38,38.5,-0.75,-1.910828025477707,600
"2004-06-09T00:00:00.000Z",38.5,39.75,38,39.75,1.25,3.2467532467532463,5200
"2004-06-10T00:00:00.000Z",39.75,38.75,38.6,38.6,-1.15,-2.893081761006289,2000
"2004-06-17T00:00:00.000Z",38.6,37.55,37.5,37.5,-1.1,-2.849740932642487,1100
"2004-06-18T00:00:00.000Z",37.5,37,36.25,36.25,-1.25,-3.3333333333333335,3500
"2004-06-21T00:00:00.000Z",36.25,36.2,36.2,36.2,-0.05,-0.13793103448275862,0
"2004-06-22T00:00:00.000Z",36.2,38.9,38.5,38.9,2.7,7.458563535911604,2100
"2004-06-24T00:00:00.000Z",38.9,38,38,38,-0.9,-2.3136246786632393,1000
"2004-06-25T00:00:00.000Z",38,36.25,36.1,36.25,-1.75,-4.605263157894736,1500
"2004-06-28T00:00:00.000Z",36.25,36.3,36.3,36.3,0.05,0.13793103448275862,2500
"2004-07-01T00:00:00.000Z",36.3,38,38,38,1.7,4.683195592286501,1500
"2004-07-07T00:00:00.000Z",38,40.85,40.85,40.85,2.85,7.5,500
"2004-07-08T00:00:00.000Z",40.85,40,40,40,-0.85,-2.08078335373317,0
"2004-07-13T00:00:00.000Z",40,42.3,42.3,42.3,2.3,5.75,500
"2004-07-15T00:00:00.000Z",42.3,42.25,42.25,42.25,-0.05,-0.11820330969267141,0
"2004-07-16T00:00:00.000Z",42.25,41,41,41,-1.25,-2.9585798816568047,500
"2004-07-21T00:00:00.000Z",41,38.95,38.95,38.95,-2.05,-5,500
"2004-07-22T00:00:00.000Z",38.95,40,40,40,1.05,2.6957637997432604,500
"2004-07-23T00:00:00.000Z",40,40,40,40,0,0,1000
"2004-07-26T00:00:00.000Z",40,40,40,40,0,0,2000
"2004-07-27T00:00:00.000Z",40,42.5,42,42.5,2.5,6.25,2500
"2004-07-28T00:00:00.000Z",42.5,40.4,40.4,40.4,-2.1,-4.9411764705882355,8000
"2004-07-29T00:00:00.000Z",40.4,40,40,40,-0.4,-0.9900990099009901,500
"2004-08-02T00:00:00.000Z",40,39.9,39.9,39.9,-0.1,-0.25,0
"2004-08-03T00:00:00.000Z",39.9,39,39,39,-0.9,-2.255639097744361,0
"2004-08-05T00:00:00.000Z",39,38,38,38,-1,-2.564102564102564,0
"2004-08-11T00:00:00.000Z",38,37.5,37,37.5,-0.5,-1.3157894736842104,1000
"2004-08-18T00:00:00.000Z",37.5,39.75,39,39.75,2.25,6,1500
"2004-08-26T00:00:00.000Z",39.75,42,39.5,42,2.25,5.660377358490567,1500
"2004-08-27T00:00:00.000Z",42,45,42,45,3,7.142857142857142,2000
"2004-08-30T00:00:00.000Z",45,43,42.75,43,-2,-4.444444444444445,1000
"2004-09-06T00:00:00.000Z",43,42,41.75,41.75,-1.25,-2.9069767441860463,1000
"2004-09-10T00:00:00.000Z",41.75,40.75,40.75,40.75,-1,-2.3952095808383236,500
"2004-09-13T00:00:00.000Z",40.75,41.25,41.25,41.25,0.5,1.2269938650306749,0
"2004-09-14T00:00:00.000Z",41.25,41.25,41.25,41.25,0,0,500
"2004-09-15T00:00:00.000Z",41.25,43.75,42,43.75,2.5,6.0606060606060606,1000
"2004-09-27T00:00:00.000Z",43.75,43,43,43,-0.75,-1.7142857142857144,0
"2004-10-11T00:00:00.000Z",43,44.9,44.9,44.9,1.9,4.4186046511627906,500
"2004-10-12T00:00:00.000Z",44.9,42.7,42.7,42.7,-2.2,-4.8997772828507795,1000
"2004-10-20T00:00:00.000Z",42.7,42.9,40.6,42.9,0.2,0.46838407494145207,1000
"2004-10-21T00:00:00.000Z",42.9,42.5,42.5,42.5,-0.4,-0.9324009324009324,0
"2004-10-22T00:00:00.000Z",42.5,42,42,42,-0.5,-1.1764705882352942,0
"2004-10-25T00:00:00.000Z",42,42,42,42,0,0,1500
"2004-10-26T00:00:00.000Z",42,42,42,42,0,0,3000
"2004-10-28T00:00:00.000Z",42,41,41,41,-1,-2.380952380952381,0
"2004-11-03T00:00:00.000Z",41,40,40,40,-1,-2.4390243902439024,0
"2004-11-04T00:00:00.000Z",40,40.1,40.1,40.1,0.1,0.25,0
"2004-11-12T00:00:00.000Z",40.1,38.1,38.1,38.1,-2,-4.987531172069825,500
"2004-11-18T00:00:00.000Z",38.1,40,40,40,1.9,4.986876640419947,500
"2004-11-19T00:00:00.000Z",40,40,40,40,0,0,500
"2004-11-22T00:00:00.000Z",40,40,40,40,0,0,500
"2004-11-29T00:00:00.000Z",40,39.9,39.9,39.9,-0.1,-0.25,500
"2004-12-02T00:00:00.000Z",39.9,39.95,39.95,39.95,0.05,0.12531328320802004,500
"2004-12-03T00:00:00.000Z",39.95,39.95,39.95,39.95,0,0,500
"2004-12-06T00:00:00.000Z",39.95,40,40,40,0.05,0.1251564455569462,2000
"2004-12-07T00:00:00.000Z",40,40,39,39,-1,-2.5,8000
"2004-12-09T00:00:00.000Z",39,39.95,38.05,38.05,-0.95,-2.435897435897436,1000
"2004-12-10T00:00:00.000Z",38.05,39.65,39,39.6,1.55,4.07358738501971,1500
"2004-12-13T00:00:00.000Z",39.6,40.45,39,40,0.4,1.0101010101010102,24500
"2004-12-14T00:00:00.000Z",40,40.9,40,40.9,0.9,2.25,29500
