"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",77.25,77.5,77,77.25,0,0,0,1000
"2004-01-02T00:00:00.000Z",77.25,78,77.4,77.4,0.15,0.1941747572815534,0.1941747572815534,16100
"2004-01-05T00:00:00.000Z",77.4,83,77,79.5,2.1,2.7131782945736433,2.7131782945736433,3600
"2004-01-06T00:00:00.000Z",79.5,82,79,79,-0.5,-0.628930817610063,-0.628930817610063,1000
"2004-01-07T00:00:00.000Z",79,81,79.95,80,1,1.2658227848101267,1.2658227848101267,2100
"2004-01-08T00:00:00.000Z",80,83,80.95,80.95,0.95,1.1875,1.1875,600
"2004-01-09T00:00:00.000Z",80.95,85,80,80.5,-0.45,-0.5558987029030266,-0.5558987029030266,3900
"2004-01-12T00:00:00.000Z",80.5,84.8,81.75,81.75,1.25,1.5527950310559007,1.5527950310559007,3300
"2004-01-13T00:00:00.000Z",81.75,85,80.5,81,-0.75,-0.9174311926605505,-0.9174311926605505,4000
"2004-01-14T00:00:00.000Z",81,85,82.75,85,4,4.938271604938271,4.938271604938271,22000
"2004-01-15T00:00:00.000Z",85,85,82.75,83,-2,-2.3529411764705883,-2.3529411764705883,3100
"2004-01-16T00:00:00.000Z",83,85,82.8,82.8,-0.2,-0.24096385542168677,-0.24096385542168677,600
"2004-01-19T00:00:00.000Z",82.8,84.95,80.1,83.5,0.7,0.8454106280193237,0.8454106280193237,1800
"2004-01-20T00:00:00.000Z",83.5,83.9,79.35,79.35,-4.15,-4.970059880239521,-4.970059880239521,4900
"2004-01-21T00:00:00.000Z",79.35,80.6,78,78.5,-0.85,-1.0712035286704475,-1.0712035286704475,6700
"2004-01-22T00:00:00.000Z",78.5,82.4,80,82.4,3.9,4.968152866242038,4.968152866242038,23900
"2004-01-23T00:00:00.000Z",82.4,86.5,82.6,86.5,4.1,4.975728155339805,4.975728155339805,11800
"2004-01-26T00:00:00.000Z",86.5,87.9,82.2,83.9,-2.6,-3.0057803468208095,-3.0057803468208095,3400
"2004-01-27T00:00:00.000Z",83.9,90,84.4,87,3.1,3.6948748510131106,3.6948748510131106,53100
"2004-01-28T00:00:00.000Z",87,88.45,86.1,86.1,-0.9,-1.0344827586206897,-1.0344827586206897,6200
"2004-01-29T00:00:00.000Z",86.1,91.5,86.95,89.95,3.85,4.471544715447154,4.471544715447154,68600
"2004-01-30T00:00:00.000Z",89.95,90.65,89.5,90,0.05,0.055586436909394105,0.055586436909394105,1500
"2004-02-06T00:00:00.000Z",90,89.5,86,89.3,-0.7,-0.7777777777777778,-0.7777777777777778,1000
"2004-02-09T00:00:00.000Z",89.3,90,89.5,89.5,0.2,0.22396416573348266,0.22396416573348266,26000
"2004-02-10T00:00:00.000Z",89.5,90,88,88,-1.5,-1.675977653631285,-1.675977653631285,19000
"2004-02-11T00:00:00.000Z",88,90.45,88.9,90,2,2.272727272727273,2.272727272727273,74100
"2004-02-12T00:00:00.000Z",90,89.9,87.05,87.05,-2.95,-3.277777777777778,-3.277777777777778,5600
"2004-02-13T00:00:00.000Z",87.05,93,87.05,87.9,0.85,0.9764503159103962,0.9764503159103962,8900
"2004-02-16T00:00:00.000Z",87.9,94.25,89,92,4.1,4.664391353811148,4.664391353811148,150200
"2004-02-17T00:00:00.000Z",92,95.45,90,95,3,3.260869565217391,3.260869565217391,170000
"2004-02-18T00:00:00.000Z",95,97,94.5,95,0,0,0,43700
"2004-02-19T00:00:00.000Z",95,95,94.8,95,0,0,0,274000
"2004-02-20T00:00:00.000Z",95,95,94,94,-1,-1.0526315789473684,-1.0526315789473684,1000
"2004-02-23T00:00:00.000Z",94,97.5,91,91,-3,-3.1914893617021276,-3.1914893617021276,900
