"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",23.95,25.7,24,25.3,0,0,0,18034000
"2004-01-02T00:00:00.000Z",25.3,26.75,25.7,26.2,0.9,3.557312252964427,3.557312252964427,14365000
"2004-01-05T00:00:00.000Z",26.2,26.65,24.9,24.9,-1.3,-4.961832061068703,-4.961832061068703,7574500
"2004-01-06T00:00:00.000Z",24.9,24.8,23.85,24.4,-0.5,-2.0080321285140563,-2.0080321285140563,4084000
"2004-01-07T00:00:00.000Z",24.4,25.25,24.25,25.1,0.7,2.8688524590163933,2.8688524590163933,4792000
"2004-01-08T00:00:00.000Z",25.1,25.6,24.75,25,-0.1,-0.398406374501992,-0.398406374501992,3987000
"2004-01-09T00:00:00.000Z",25,25.65,24.8,25.4,0.4,1.6,1.6,8626500
"2004-01-12T00:00:00.000Z",25.4,25.95,25.2,25.4,0,0,0,3900500
"2004-01-13T00:00:00.000Z",25.4,25.4,25,25.25,-0.15,-0.5905511811023622,-0.5905511811023622,1459500
"2004-01-14T00:00:00.000Z",25.25,25.6,25.1,25.3,0.05,0.19801980198019803,0.19801980198019803,3655500
"2004-01-15T00:00:00.000Z",25.3,25.55,25.15,25.2,-0.1,-0.3952569169960474,-0.3952569169960474,2058500
"2004-01-16T00:00:00.000Z",25.2,26.1,25.15,25.5,0.3,1.1904761904761905,1.1904761904761905,7911500
"2004-01-19T00:00:00.000Z",25.5,26,25.4,25.4,-0.1,-0.39215686274509803,-0.39215686274509803,3234000
"2004-01-20T00:00:00.000Z",25.4,25.45,25.1,25.2,-0.2,-0.7874015748031498,-0.7874015748031498,1422000
"2004-01-21T00:00:00.000Z",25.2,25.7,25.35,25.6,0.4,1.5873015873015872,1.5873015873015872,2925500
"2004-01-22T00:00:00.000Z",25.6,26.9,26,26.45,0.85,3.3203125,3.3203125,15950000
"2004-01-23T00:00:00.000Z",26.45,26.65,25.85,25.95,-0.5,-1.890359168241966,-1.890359168241966,4816000
"2004-01-26T00:00:00.000Z",25.95,26,25.05,25.3,-0.65,-2.504816955684008,-2.504816955684008,3090000
"2004-01-27T00:00:00.000Z",25.3,25.85,25.15,25.6,0.3,1.185770750988142,1.185770750988142,2418000
"2004-01-28T00:00:00.000Z",25.6,26.8,25.95,26.25,0.65,2.5390625,2.5390625,13832000
"2004-01-29T00:00:00.000Z",26.25,27.25,26.4,26.8,0.55,2.0952380952380953,2.0952380952380953,12548000
"2004-01-30T00:00:00.000Z",26.8,27.35,26.75,26.8,0,0,0,9900500
"2004-02-06T00:00:00.000Z",26.8,26.9,26,26.35,-0.45,-1.6791044776119404,-1.6791044776119404,2581500
"2004-02-09T00:00:00.000Z",26.35,26.8,25.65,25.75,-0.6,-2.2770398481973433,-2.2770398481973433,4198000
"2004-02-10T00:00:00.000Z",25.75,26.25,25.4,26.05,0.3,1.1650485436893203,1.1650485436893203,3410500
"2004-02-11T00:00:00.000Z",26.05,26.4,25.7,25.85,-0.2,-0.7677543186180423,-0.7677543186180423,2801000
"2004-02-12T00:00:00.000Z",25.85,25.8,24.75,24.8,-1.05,-4.061895551257253,-4.061895551257253,2714500
"2004-02-13T00:00:00.000Z",24.8,25.15,24.55,24.95,0.15,0.6048387096774194,0.6048387096774194,1594000
"2004-02-16T00:00:00.000Z",24.95,25.3,24.25,24.4,-0.55,-2.2044088176352705,-2.2044088176352705,1565000
"2004-02-17T00:00:00.000Z",24.4,24.65,23.8,23.95,-0.45,-1.8442622950819676,-1.8442622950819676,1391000
"2004-02-18T00:00:00.000Z",23.95,24.35,23.8,24.3,0.35,1.4613778705636742,1.4613778705636742,1267000
"2004-02-19T00:00:00.000Z",24.3,25,24.35,24.45,0.15,0.6172839506172839,0.6172839506172839,3555500
"2004-02-20T00:00:00.000Z",24.45,24.7,23.95,24.15,-0.3,-1.2269938650306749,-1.2269938650306749,1162500
"2004-02-23T00:00:00.000Z",24.15,24.3,22.95,22.95,-1.2,-4.9689440993788825,-4.9689440993788825,1151500
"2004-02-24T00:00:00.000Z",22.95,22.75,21.85,21.95,-1,-4.357298474945534,-4.357298474945534,2779000
"2004-02-25T00:00:00.000Z",21.95,22.8,21.75,22.35,0.4,1.8223234624145785,1.8223234624145785,2249000
"2004-02-26T00:00:00.000Z",22.35,22.5,21.9,21.95,-0.4,-1.7897091722595082,-1.7897091722595082,773500
"2004-02-27T00:00:00.000Z",21.95,22.05,21.65,21.95,0,0,0,1032500
"2004-03-03T00:00:00.000Z",21.95,21.85,21.3,21.55,-0.4,-1.8223234624145788,-1.8223234624145788,1118000
"2004-03-04T00:00:00.000Z",21.55,21.75,21.5,21.55,0,0,0,595000
"2004-03-05T00:00:00.000Z",21.55,22.7,21.6,22.4,0.85,3.94431554524362,3.94431554524362,2472500
"2004-03-08T00:00:00.000Z",22.4,24.05,22.45,24.05,1.65,7.366071428571427,7.366071428571427,8484000
"2004-03-09T00:00:00.000Z",24.05,25.1,24.35,24.55,0.5,2.0790020790020787,2.0790020790020787,9749500
"2004-03-10T00:00:00.000Z",24.55,24.7,23.6,23.8,-0.75,-3.054989816700611,-3.054989816700611,3035500
"2004-03-11T00:00:00.000Z",23.8,24.15,23.6,23.95,0.15,0.6302521008403361,0.6302521008403361,1662000
"2004-03-12T00:00:00.000Z",23.95,24.2,23.7,23.75,-0.2,-0.8350730688935283,-0.8350730688935283,1235500
"2004-03-15T00:00:00.000Z",23.75,24.85,23.85,24.45,0.7,2.9473684210526314,2.9473684210526314,8110500
"2004-03-16T00:00:00.000Z",24.45,24.8,24.05,24.2,-0.25,-1.0224948875255624,-1.0224948875255624,2820500
"2004-03-17T00:00:00.000Z",24.2,24.35,23.9,23.95,-0.25,-1.0330578512396695,-1.0330578512396695,1266500
"2004-03-18T00:00:00.000Z",23.95,24.25,23.65,23.7,-0.25,-1.0438413361169103,-1.0438413361169103,1676500
"2004-03-19T00:00:00.000Z",23.7,24.25,23.65,23.85,0.15,0.6329113924050632,0.6329113924050632,4278000
"2004-03-22T00:00:00.000Z",23.85,24.3,23.9,23.95,0.1,0.41928721174004197,0.41928721174004197,3078000
"2004-03-24T00:00:00.000Z",23.95,24.15,23.8,23.85,-0.1,-0.41753653444676403,-0.41753653444676403,1202500
"2004-03-25T00:00:00.000Z",23.85,24.3,24.05,24.15,0.3,1.257861635220126,1.257861635220126,3485000
"2004-03-26T00:00:00.000Z",24.15,24.7,24.15,24.2,0.05,0.2070393374741201,0.2070393374741201,4556000
"2004-03-29T00:00:00.000Z",24.2,24.55,23.75,24.05,-0.15,-0.6198347107438017,-0.6198347107438017,1931500
"2004-03-30T00:00:00.000Z",24.05,24.5,24,24.05,0,0,0,3184500
"2004-03-31T00:00:00.000Z",24.05,24.25,23.75,24,-0.05,-0.2079002079002079,-0.2079002079002079,1367000
"2004-04-01T00:00:00.000Z",24,24.15,23.95,24.05,0.05,0.20833333333333334,0.20833333333333334,811500
"2004-04-02T00:00:00.000Z",24.05,24.3,23.85,24,-0.05,-0.2079002079002079,-0.2079002079002079,1493500
"2004-04-05T00:00:00.000Z",24,25.2,23.95,25.1,1.1,4.583333333333334,4.583333333333334,9424000
"2004-04-06T00:00:00.000Z",25.1,25.75,25.05,25.3,0.2,0.796812749003984,0.796812749003984,9860000
"2004-04-07T00:00:00.000Z",25.3,25.5,24.9,24.95,-0.35,-1.3833992094861658,-1.3833992094861658,2249500
"2004-04-08T00:00:00.000Z",24.95,25.35,24.65,24.7,-0.25,-1.002004008016032,-1.002004008016032,2234500
"2004-04-09T00:00:00.000Z",24.7,24.45,23.6,24.25,-0.45,-1.8218623481781377,-1.8218623481781377,2808000
"2004-04-12T00:00:00.000Z",24.25,24.35,24.05,24.05,-0.2,-0.8247422680412372,-0.8247422680412372,814000
"2004-04-13T00:00:00.000Z",24.05,24.6,23.8,24,-0.05,-0.2079002079002079,-0.2079002079002079,2504500
"2004-04-14T00:00:00.000Z",24,24.2,23.75,23.95,-0.05,-0.20833333333333334,-0.20833333333333334,1012500
"2004-04-15T00:00:00.000Z",23.95,24.6,23.85,24.15,0.2,0.8350730688935283,0.8350730688935283,2994500
"2004-04-16T00:00:00.000Z",24.15,24.6,23.8,24,-0.15,-0.6211180124223603,-0.6211180124223603,2585000
"2004-04-19T00:00:00.000Z",24,24.35,23.9,23.95,-0.05,-0.20833333333333334,-0.20833333333333334,1031500
"2004-04-20T00:00:00.000Z",23.95,24.15,23.75,23.85,-0.1,-0.41753653444676403,-0.41753653444676403,943000
