"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2008-07-21T00:00:00.000Z",23.52,24.5,22.5,23.31,0,0,0,1631000
"2008-07-22T00:00:00.000Z",23.31,24.47,23.27,24.47,1.16,4.976404976404977,4.976404976404977,1211500
"2008-07-23T00:00:00.000Z",24.47,25.69,24.8,25.69,1.22,4.9856967715570075,4.9856967715570075,1303000
"2008-07-24T00:00:00.000Z",25.69,26.97,25,26.97,1.28,4.982483456597898,4.982483456597898,2363500
"2008-07-25T00:00:00.000Z",26.97,28.31,27.1,27.69,0.72,2.6696329254727473,2.6696329254727473,2251500
"2008-07-28T00:00:00.000Z",27.69,26.95,26.31,26.31,-1.38,-4.9837486457204765,-4.9837486457204765,149000
"2008-07-29T00:00:00.000Z",26.31,25,25,25,-1.31,-4.979095400988218,-4.979095400988218,105000
"2008-07-30T00:00:00.000Z",25,26.25,25.16,26.25,1.25,5,5,1303500
"2008-07-31T00:00:00.000Z",26.25,26.58,24.94,24.94,-1.31,-4.990476190476191,-4.990476190476191,1146500
"2008-08-01T00:00:00.000Z",24.94,24.19,23.7,23.7,-1.24,-4.971932638331998,-4.971932638331998,180000
"2008-08-04T00:00:00.000Z",23.7,23.79,22.52,22.52,-1.18,-4.9789029535864975,-4.9789029535864975,426500
"2008-08-05T00:00:00.000Z",22.52,22.69,21.4,21.4,-1.12,-4.9733570159857905,-4.9733570159857905,858500
"2008-08-06T00:00:00.000Z",21.4,21.24,20.33,20.33,-1.07,-5,-5,627000
"2008-08-07T00:00:00.000Z",20.33,20.65,19.32,19.4,-0.93,-4.57452041318249,-4.57452041318249,3457000
"2008-08-08T00:00:00.000Z",19.4,19.75,18.6,19.6,0.2,1.0309278350515463,1.0309278350515463,1283000
"2008-08-11T00:00:00.000Z",19.6,20.6,19.12,20.6,1,5.10204081632653,5.10204081632653,1156500
"2008-08-12T00:00:00.000Z",20.6,21.58,19.6,20.2,-0.4,-1.9417475728155342,-1.9417475728155342,1883500
"2008-08-13T00:00:00.000Z",20.2,20.5,19.56,20.03,-0.17,-0.8415841584158414,-0.8415841584158414,908000
"2008-08-15T00:00:00.000Z",20.03,21.03,19.72,21.03,1,4.992511233150275,4.992511233150275,1107500
"2008-08-18T00:00:00.000Z",21.03,22.08,21.2,22.08,1.05,4.992867332382312,4.992867332382312,1619500
"2008-08-19T00:00:00.000Z",22.08,23.18,22.8,23.18,1.1,4.9818840579710155,4.9818840579710155,1933500
"2008-08-20T00:00:00.000Z",23.18,22.51,22.03,22.03,-1.15,-4.961173425366695,-4.961173425366695,411000
"2008-08-21T00:00:00.000Z",22.03,21.55,20.93,20.93,-1.1,-4.993191103041307,-4.993191103041307,1797000
"2008-08-22T00:00:00.000Z",20.93,20.5,19.9,20.15,-0.78,-3.7267080745341614,-3.7267080745341614,767500
"2008-08-25T00:00:00.000Z",20.15,20.94,19.75,19.85,-0.3,-1.4888337468982629,-1.4888337468982629,841000
"2008-08-26T00:00:00.000Z",19.85,20.3,18.85,18.85,-1,-5.037783375314861,-5.037783375314861,789000
"2008-08-27T00:00:00.000Z",18.85,19.25,17.85,19.15,0.3,1.5915119363395225,1.5915119363395225,810000
"2008-08-28T00:00:00.000Z",19.15,20,19.15,19.16,0.01,0.052219321148825076,0.052219321148825076,541000
"2008-08-29T00:00:00.000Z",19.16,19.15,19.15,19.15,-0.01,-0.05219206680584552,-0.05219206680584552,136500
"2008-09-01T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,90500
"2008-09-02T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,27000
"2008-09-03T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,25000
"2008-09-04T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,23000
"2008-09-05T00:00:00.000Z",19.15,19.39,19.15,19.38,0.23,1.2010443864229767,1.2010443864229767,347500
"2008-09-08T00:00:00.000Z",19.38,19.99,19.15,19.15,-0.23,-1.1867905056759547,-1.1867905056759547,434500
"2008-09-09T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,82000
"2008-09-10T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,44000
"2008-09-11T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,3000
"2008-09-12T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,8000
"2008-09-15T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,5000
"2008-09-17T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,500
"2008-09-18T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,1000
"2008-09-19T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,500
"2008-09-22T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,10000
"2008-09-23T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,2000
"2008-09-24T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,500
"2008-09-29T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,9000
"2008-10-13T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,500
"2008-10-23T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,500
"2008-11-12T00:00:00.000Z",19.15,19.15,19.15,19.15,0,0,0,500
"2008-12-16T00:00:00.000Z",19.15,18.15,18.15,18.15,-1,-5.221932114882507,-5.221932114882507,500
"2008-12-19T00:00:00.000Z",18.15,17.15,17.15,17.15,-1,-5.5096418732782375,-5.5096418732782375,500
"2008-12-23T00:00:00.000Z",17.15,16.15,16.15,16.15,-1,-5.830903790087464,-5.830903790087464,1500
"2008-12-24T00:00:00.000Z",16.15,15.15,15.15,15.15,-1,-6.191950464396285,-6.191950464396285,500
"2008-12-26T00:00:00.000Z",15.15,15,14.15,14.8,-0.35,-2.31023102310231,-2.31023102310231,691500
