"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2011-08-10T00:00:00.000Z",25,25.99,20.6,24.71,0,0,974112
"2011-08-11T00:00:00.000Z",24.71,25,23.5,24.92,0.21,0.8498583569405098,139833
"2011-08-12T00:00:00.000Z",24.92,25.5,24.8,24.96,0.04,0.16051364365971107,124322
"2011-08-15T00:00:00.000Z",24.96,25.38,24.65,24.88,-0.08,-0.32051282051282054,77319
"2011-08-16T00:00:00.000Z",24.88,24.95,24.6,24.77,-0.11,-0.44212218649517687,22357
"2011-08-17T00:00:00.000Z",24.77,24.99,24.05,24.26,-0.51,-2.058942268873637,71477
"2011-08-18T00:00:00.000Z",24.26,24.45,23.05,23.1,-1.16,-4.781533388293487,68890
"2011-08-19T00:00:00.000Z",23.1,23,22.25,22.7,-0.4,-1.731601731601732,56623
"2011-08-22T00:00:00.000Z",22.7,22.75,21.9,21.98,-0.72,-3.1718061674008813,77294
"2011-08-23T00:00:00.000Z",21.98,22.07,21.15,21.99,0.01,0.04549590536851684,18883
"2011-08-24T00:00:00.000Z",21.99,22.21,21.8,21.8,-0.19,-0.8640291041382445,33988
"2011-08-25T00:00:00.000Z",21.8,22.25,21.6,22,0.2,0.9174311926605505,8511
"2011-08-29T00:00:00.000Z",22,22.25,21.12,21.99,-0.01,-0.045454545454545456,4636
"2011-08-30T00:00:00.000Z",21.99,22.5,22,22.4,0.41,1.8644838562983175,32985
"2011-09-05T00:00:00.000Z",22.4,23.52,22.8,23.52,1.12,5.000000000000001,29670
"2011-09-06T00:00:00.000Z",23.52,24.69,24.69,24.69,1.17,4.974489795918367,15444
"2011-09-07T00:00:00.000Z",24.69,25.92,25.36,25.68,0.99,4.0097205346294045,713369
"2011-09-08T00:00:00.000Z",25.68,26.7,25.51,25.53,-0.15,-0.5841121495327103,185888
"2011-09-09T00:00:00.000Z",25.53,26,25.4,25.44,-0.09,-0.3525264394829612,162967
"2011-09-12T00:00:00.000Z",25.44,25.85,24.9,25.13,-0.31,-1.2185534591194969,55372
"2011-09-13T00:00:00.000Z",25.13,26,25,25.97,0.84,3.3426183844011144,56683
"2011-09-14T00:00:00.000Z",25.97,26.05,24.9,25.01,-0.96,-3.6965729688101647,343360
"2011-09-15T00:00:00.000Z",25.01,25.5,25.03,25.2,0.19,0.7596961215513796,34763
"2011-09-16T00:00:00.000Z",25.2,25.8,24.8,25.01,-0.19,-0.7539682539682538,153028
"2011-09-19T00:00:00.000Z",25.01,25.45,24.91,25.11,0.1,0.3998400639744103,51534
"2011-09-20T00:00:00.000Z",25.11,25.48,25,25.44,0.33,1.3142174432497011,155827
"2011-09-21T00:00:00.000Z",25.44,25.9,25.35,25.54,0.1,0.3930817610062894,361911
"2011-09-22T00:00:00.000Z",25.54,25.85,24.9,24.95,-0.59,-2.3101018010963195,168308
"2011-09-23T00:00:00.000Z",24.95,25.25,24.33,24.76,-0.19,-0.7615230460921842,48269
"2011-09-26T00:00:00.000Z",24.76,24.2,23.53,23.8,-0.96,-3.877221324717286,98413
"2011-09-27T00:00:00.000Z",23.8,24.5,24.2,24.27,0.47,1.9747899159663864,56062
"2011-09-28T00:00:00.000Z",24.27,24.7,24.15,24.39,0.12,0.4944375772558714,47269
"2011-09-29T00:00:00.000Z",24.39,24.88,24.37,24.37,-0.02,-0.08200082000820008,10336
"2011-09-30T00:00:00.000Z",24.37,24.99,24.4,24.63,0.26,1.0668855149774314,56691
"2011-10-03T00:00:00.000Z",24.63,24.9,24.25,24.37,-0.26,-1.0556232237109215,14132
"2011-10-04T00:00:00.000Z",24.37,25.25,24.3,25.05,0.68,2.790315962248666,465328
"2011-10-05T00:00:00.000Z",25.05,25.39,24.51,24.57,-0.48,-1.9161676646706587,38091
"2011-10-06T00:00:00.000Z",24.57,24.53,24.01,24.19,-0.38,-1.5466015466015466,85523
"2011-10-07T00:00:00.000Z",24.19,24.39,24,24.03,-0.16,-0.6614303431169904,62395
"2011-10-10T00:00:00.000Z",24.03,24.89,24.15,24.19,0.16,0.6658343736995422,77428
"2011-10-11T00:00:00.000Z",24.19,24.65,24,24.51,0.32,1.322860686233981,5022730
"2011-10-12T00:00:00.000Z",24.51,25.73,24.7,25.42,0.91,3.712770297837617,1518197
"2011-10-13T00:00:00.000Z",25.42,25.97,24.25,24.44,-0.98,-3.8552321007081036,1213710
"2011-10-14T00:00:00.000Z",24.44,24.89,24.05,24.2,-0.24,-0.9819967266775778,368937
"2011-10-17T00:00:00.000Z",24.2,24.69,24.1,24.46,0.26,1.0743801652892562,371936
"2011-10-18T00:00:00.000Z",24.46,24.7,24.2,24.31,-0.15,-0.6132461161079313,67089
"2011-10-19T00:00:00.000Z",24.31,24.8,24,24.47,0.16,0.658165364047717,204064
"2011-10-20T00:00:00.000Z",24.47,24.75,23.9,24.01,-0.46,-1.879852881078872,113924
"2011-10-21T00:00:00.000Z",24.01,24.35,23.68,23.81,-0.2,-0.8329862557267806,103995
"2011-10-25T00:00:00.000Z",23.81,24.44,23.5,23.52,-0.29,-1.2179756404871902,49424
"2011-10-26T00:00:00.000Z",23.52,23.9,22.5,22.54,-0.98,-4.166666666666666,91748
"2011-10-27T00:00:00.000Z",22.54,23.49,22.15,22.34,-0.2,-0.8873114463176577,46402
"2011-10-28T00:00:00.000Z",22.34,23.1,22.4,22.83,0.49,2.193375111906893,28977
"2011-10-31T00:00:00.000Z",22.83,23.97,23.02,23.97,1.14,4.993429697766097,83711
"2011-11-01T00:00:00.000Z",23.97,25.16,24.3,25.16,1.19,4.964539007092199,1656336
"2011-11-02T00:00:00.000Z",25.16,26,25,25.29,0.13,0.5166931637519874,358427
"2011-11-03T00:00:00.000Z",25.29,26.45,25.5,25.78,0.49,1.937524713325425,427364
"2011-11-04T00:00:00.000Z",25.78,26.25,25.66,25.78,0,0,639019
"2011-11-10T00:00:00.000Z",25.78,25.95,25.35,25.54,-0.24,-0.9309542280837859,38429
"2011-11-11T00:00:00.000Z",25.54,25.9,25.5,25.53,-0.01,-0.03915426781519185,30397
"2011-11-14T00:00:00.000Z",25.53,25.75,25.45,25.5,-0.03,-0.11750881316098707,83335
"2011-11-15T00:00:00.000Z",25.5,25.4,24.51,24.8,-0.7,-2.7450980392156863,142449
"2011-11-16T00:00:00.000Z",24.8,24.99,24.25,24.3,-0.5,-2.0161290322580645,322076
"2011-11-17T00:00:00.000Z",24.3,24.65,23.85,23.97,-0.33,-1.358024691358025,78529
"2011-11-18T00:00:00.000Z",23.97,24.5,24,24.27,0.3,1.2515644555694618,61728
"2011-11-21T00:00:00.000Z",24.27,24.4,24.03,24.29,0.02,0.08240626287597858,40991
