"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",17.6,18.05,17.7,17.9,0,0,0,2236500
"2004-01-02T00:00:00.000Z",17.9,17.95,17.65,17.8,-0.1,-0.5586592178770949,-0.5586592178770949,1630000
"2004-01-05T00:00:00.000Z",17.8,18.45,17.8,18.25,0.45,2.528089887640449,2.528089887640449,5473500
"2004-01-06T00:00:00.000Z",18.25,18.5,18.05,18.3,0.05,0.273972602739726,0.273972602739726,2550000
"2004-01-07T00:00:00.000Z",18.08,18.9,18.55,18.9,0.6,3.278688524590164,3.278688524590164,19423000
"2004-01-08T00:00:00.000Z",18.9,18.85,18.55,18.7,-0.2,-1.0582010582010584,-1.0582010582010584,7161500
"2004-01-09T00:00:00.000Z",18.7,18.7,18.15,18.35,-0.35,-1.8716577540106947,-1.8716577540106947,6088000
"2004-01-12T00:00:00.000Z",18.35,18.5,18.25,18.25,-0.1,-0.544959128065395,-0.544959128065395,2895500
"2004-01-13T00:00:00.000Z",18.25,18.55,18.15,18.45,0.2,1.095890410958904,1.095890410958904,4754000
"2004-01-14T00:00:00.000Z",18.45,18.8,18.4,18.55,0.1,0.5420054200542006,0.5420054200542006,7852500
"2004-01-15T00:00:00.000Z",18.55,18.8,18.6,18.75,0.2,1.078167115902965,1.078167115902965,4141000
"2004-01-16T00:00:00.000Z",18.75,19.1,18.8,18.85,0.1,0.5333333333333334,0.5333333333333334,11263500
"2004-01-19T00:00:00.000Z",18.85,19.25,18.8,18.85,0,0,0,9451000
"2004-01-20T00:00:00.000Z",18.85,19.35,18.8,19.3,0.45,2.3872679045092835,2.3872679045092835,24662000
"2004-01-21T00:00:00.000Z",19.3,19.6,19.3,19.4,0.1,0.5181347150259068,0.5181347150259068,14795500
"2004-01-22T00:00:00.000Z",19.4,20.35,19.4,20.2,0.8,4.123711340206186,4.123711340206186,60476000
"2004-01-23T00:00:00.000Z",20.2,20.45,19.9,20.1,-0.1,-0.495049504950495,-0.495049504950495,37954000
"2004-01-26T00:00:00.000Z",20.1,20.2,19.45,19.5,-0.6,-2.9850746268656714,-2.9850746268656714,12810500
"2004-01-27T00:00:00.000Z",19.5,20,19.4,19.9,0.4,2.051282051282051,2.051282051282051,20529500
"2004-01-28T00:00:00.000Z",19.9,20.4,20,20.25,0.35,1.7587939698492463,1.7587939698492463,24959500
"2004-01-29T00:00:00.000Z",20.25,20.8,20.15,20.8,0.55,2.71604938271605,2.71604938271605,34348000
"2004-01-30T00:00:00.000Z",20.8,20.9,20.6,20.7,-0.1,-0.4807692307692308,-0.4807692307692308,12875000
"2004-02-06T00:00:00.000Z",20.7,20.9,20.25,20.6,-0.1,-0.4830917874396135,-0.4830917874396135,4515500
"2004-02-09T00:00:00.000Z",20.6,20.7,19.85,19.9,-0.7,-3.3980582524271843,-3.3980582524271843,5275000
"2004-02-10T00:00:00.000Z",19.9,20.2,19.5,19.95,0.05,0.2512562814070352,0.2512562814070352,7215000
"2004-02-11T00:00:00.000Z",19.95,20.5,20,20.3,0.35,1.7543859649122806,1.7543859649122806,26496000
"2004-02-12T00:00:00.000Z",20.3,20.45,19.65,20.3,0,0,0,32154000
"2004-02-13T00:00:00.000Z",20.3,20.7,20.15,20.6,0.3,1.477832512315271,1.477832512315271,20970500
"2004-02-16T00:00:00.000Z",20.6,20.75,20.05,20.05,-0.55,-2.6699029126213594,-2.6699029126213594,10585000
"2004-02-17T00:00:00.000Z",20.05,20.25,19.9,20,-0.05,-0.24937655860349126,-0.24937655860349126,6860500
"2004-02-18T00:00:00.000Z",20,20.7,20.15,20.55,0.55,2.7500000000000004,2.7500000000000004,26122000
