"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-02T00:00:00.000Z",53,54.9,54.8,54.9,0,0,500
"2004-01-05T00:00:00.000Z",54.9,54.9,54.9,54.9,0,0,500
"2004-02-06T00:00:00.000Z",54.9,54,54,54,-0.9,-1.639344262295082,100
"2004-02-09T00:00:00.000Z",54,55,55,55,1,1.8518518518518516,800
"2004-02-19T00:00:00.000Z",55,54.5,54.5,54.5,-0.5,-0.9090909090909091,0
"2004-02-20T00:00:00.000Z",54.5,54,54,54,-0.5,-0.9174311926605505,0
"2004-02-25T00:00:00.000Z",54,52.3,52.3,52.3,-1.7,-3.148148148148148,0
"2004-02-26T00:00:00.000Z",52.3,52,52,52,-0.3,-0.5736137667304015,0
"2004-03-03T00:00:00.000Z",52,50.05,50,50,-2,-3.8461538461538463,100
"2004-03-04T00:00:00.000Z",50,51,48,48,-2,-4,600
"2004-03-05T00:00:00.000Z",48,49,46,49,1,2.083333333333333,1900
"2004-03-08T00:00:00.000Z",49,49,49,49,0,0,700
"2004-03-09T00:00:00.000Z",49,49.1,49.1,49.1,0.1,0.20408163265306123,500
"2004-03-10T00:00:00.000Z",49.1,48.1,48.1,48.1,-1,-2.0366598778004072,500
"2004-03-17T00:00:00.000Z",48.1,47.5,47.5,47.5,-0.6,-1.2474012474012472,200
"2004-03-18T00:00:00.000Z",47.5,47.75,47.75,47.75,0.25,0.5263157894736842,0
"2004-03-22T00:00:00.000Z",47.75,51.3,51,51.3,3.55,7.434554973821989,300
"2004-03-24T00:00:00.000Z",51.3,50,49.5,49.5,-1.8,-3.508771929824562,41600
"2004-03-25T00:00:00.000Z",49.5,51.9,50.1,50.1,0.6,1.2121212121212122,800
"2004-03-26T00:00:00.000Z",50.1,51.9,51.9,51.9,1.8,3.592814371257485,100
"2004-03-29T00:00:00.000Z",51.9,53,52.8,53,1.1,2.1194605009633913,1800
"2004-03-30T00:00:00.000Z",53,53,53,53,0,0,500
"2004-03-31T00:00:00.000Z",53,55,54,54,1,1.8867924528301887,700
"2004-04-07T00:00:00.000Z",54,55,55,55,1,1.8518518518518516,100
"2004-04-08T00:00:00.000Z",55,54,54,54,-1,-1.8181818181818181,0
"2004-04-12T00:00:00.000Z",54,55,55,55,1,1.8518518518518516,100
"2004-04-19T00:00:00.000Z",55,56,56,56,1,1.8181818181818181,100
"2004-05-06T00:00:00.000Z",56,55,55,55,-1,-1.7857142857142856,0
"2004-05-07T00:00:00.000Z",55,55,55,55,0,0,2000
"2004-05-10T00:00:00.000Z",55,55,55,55,0,0,500
"2004-05-11T00:00:00.000Z",55,56,56,56,1,1.8181818181818181,500
"2004-05-13T00:00:00.000Z",56,55,55,55,-1,-1.7857142857142856,100
"2004-05-17T00:00:00.000Z",55,55,55,55,0,0,500
"2004-05-18T00:00:00.000Z",55,55,55,55,0,0,3000
"2004-05-20T00:00:00.000Z",55,55,55,55,0,0,1000
"2004-05-24T00:00:00.000Z",55,58,58,58,3,5.454545454545454,3000
"2004-05-25T00:00:00.000Z",58,57.8,57.8,57.8,-0.2,-0.3448275862068966,0
"2004-05-26T00:00:00.000Z",57.8,56,55.05,56,-1.8,-3.114186851211073,600
"2004-05-27T00:00:00.000Z",56,60.2,58,60.2,4.2,7.5,900
"2004-05-28T00:00:00.000Z",60.2,61,60,60,-0.2,-0.33222591362126247,2600
"2004-05-31T00:00:00.000Z",60,58.05,58,58,-2,-3.3333333333333335,15500
"2004-06-01T00:00:00.000Z",58,60,60,60,2,3.4482758620689653,100
"2004-06-02T00:00:00.000Z",60,64.5,62.95,64.5,4.5,7.5,5300
"2004-06-03T00:00:00.000Z",64.5,62.05,62,62,-2.5,-3.875968992248062,10200
"2004-06-07T00:00:00.000Z",62,62,62,62,0,0,100
"2004-06-08T00:00:00.000Z",62,62,62,62,0,0,100
"2004-06-09T00:00:00.000Z",62,62,62,62,0,0,500
"2004-06-10T00:00:00.000Z",62,62,62,62,0,0,300
"2004-06-14T00:00:00.000Z",62,64,63,64,2,3.225806451612903,3900
"2004-06-22T00:00:00.000Z",64,65,64,65,1,1.5625,1000
"2004-06-23T00:00:00.000Z",65,66,65,66,1,1.5384615384615385,3100
"2004-06-30T00:00:00.000Z",66,70,69.7,70,4,6.0606060606060606,900
"2004-07-07T00:00:00.000Z",70,69,69,69,-1,-1.4285714285714286,0
"2004-07-15T00:00:00.000Z",69,68,68,68,-1,-1.4492753623188406,0
"2004-07-19T00:00:00.000Z",68,64.6,64.6,64.6,-3.4,-5,4000
"2004-07-23T00:00:00.000Z",64.6,65.95,65.95,65.95,1.35,2.089783281733746,100
"2004-08-20T00:00:00.000Z",65.95,65,65,65,-0.95,-1.4404852160727823,0
"2004-09-09T00:00:00.000Z",65,66.9,66.9,66.9,1.9,2.923076923076923,200
"2004-09-15T00:00:00.000Z",66.9,65,65,65,-1.9,-2.840059790732436,0
"2004-09-20T00:00:00.000Z",65,67.25,67,67.25,2.25,3.4615384615384617,400
"2004-09-24T00:00:00.000Z",67.25,67.2,67.2,67.2,-0.05,-0.07434944237918216,0
"2004-09-27T00:00:00.000Z",67.2,66.95,66.95,66.95,-0.25,-0.3720238095238095,0
"2004-09-28T00:00:00.000Z",66.95,66,66,66,-0.95,-1.4189693801344285,0
"2004-09-30T00:00:00.000Z",66,69,66,69,3,4.545454545454546,2500
"2004-10-01T00:00:00.000Z",69,68.75,68.75,68.75,-0.25,-0.36231884057971014,0
"2004-10-04T00:00:00.000Z",68.75,66,66,66,-2.75,-4,100
"2004-10-07T00:00:00.000Z",66,66,65,65,-1,-1.5151515151515151,200
"2004-10-08T00:00:00.000Z",65,65,65,65,0,0,300
"2004-10-13T00:00:00.000Z",65,68.5,68,68,3,4.615384615384616,200
"2004-10-14T00:00:00.000Z",68,68,68,68,0,0,200
"2004-10-21T00:00:00.000Z",68,65,65,65,-3,-4.411764705882353,100
"2004-11-02T00:00:00.000Z",65,64,64,64,-1,-1.5384615384615385,0
"2004-11-10T00:00:00.000Z",64,64,64,64,0,0,300
"2004-11-19T00:00:00.000Z",64,65,65,65,1,1.5625,300
"2004-11-23T00:00:00.000Z",65,66,66,66,1,1.5384615384615385,100
"2004-11-24T00:00:00.000Z",66,65.95,63.5,65.95,-0.05,-0.07575757575757576,1800
"2004-11-25T00:00:00.000Z",65.95,66,65,66,0.05,0.0758150113722517,1700
"2004-11-26T00:00:00.000Z",66,68,68,68,2,3.0303030303030303,100
"2004-11-29T00:00:00.000Z",68,67,67,67,-1,-1.4705882352941175,0
"2004-11-30T00:00:00.000Z",67,66.75,66.75,66.75,-0.25,-0.3731343283582089,0
"2004-12-01T00:00:00.000Z",66.75,67,65.25,66,-0.75,-1.1235955056179776,6900
"2004-12-02T00:00:00.000Z",66,70.95,66,70.95,4.95,7.5,4400
"2004-12-03T00:00:00.000Z",70.95,70,70,70,-0.95,-1.3389711064129668,800
"2004-12-06T00:00:00.000Z",70,70,70,70,0,0,200
"2004-12-08T00:00:00.000Z",70,70,66.5,70,0,0,1700
"2004-12-09T00:00:00.000Z",70,68,68,68,-2,-2.857142857142857,600
"2004-12-10T00:00:00.000Z",68,72.5,70,70,2,2.941176470588235,2600
"2004-12-13T00:00:00.000Z",70,72.5,72,72.5,2.5,3.571428571428571,1300
"2004-12-14T00:00:00.000Z",72.5,77.9,74.9,77.9,5.4,7.448275862068966,1900
"2004-12-15T00:00:00.000Z",77.9,83.65,79,79,1.1,1.4120667522464698,500
"2004-12-16T00:00:00.000Z",79,75.05,75.05,75.05,-3.95,-5,200
"2004-12-20T00:00:00.000Z",75.05,77,77,77,1.95,2.598267821452365,200
"2004-12-23T00:00:00.000Z",77,82.75,80,82.75,5.75,7.467532467532467,700
"2004-12-24T00:00:00.000Z",82.75,80.2,80,80.2,-2.55,-3.0815709969788516,200
"2004-12-27T00:00:00.000Z",80.2,82,76.2,76.2,-4,-4.987531172069825,300
"2004-12-28T00:00:00.000Z",76.2,80.2,78,80.2,4,5.2493438320209975,2600
"2004-12-29T00:00:00.000Z",80.2,76.2,76.2,76.2,-4,-4.987531172069825,100
