"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",191.05,192,189,189,0,0,0,4600
"2004-01-02T00:00:00.000Z",189,188,188,188,-1,-0.5291005291005291,-0.5291005291005291,500
"2004-01-05T00:00:00.000Z",188,195.7,186.05,186.05,-1.95,-1.0372340425531914,-1.0372340425531914,5600
"2004-01-06T00:00:00.000Z",186.05,191,185,187,0.95,0.5106154259607633,0.5106154259607633,1000
"2004-01-07T00:00:00.000Z",187,189,186,188,1,0.53475935828877,0.53475935828877,6000
"2004-01-08T00:00:00.000Z",188,189,185,189,1,0.5319148936170213,0.5319148936170213,11000
"2004-01-09T00:00:00.000Z",189,190,188.95,188.95,-0.05,-0.026455026455026457,-0.026455026455026457,6700
"2004-01-12T00:00:00.000Z",188.95,190,187,188.95,0,0,0,6600
"2004-01-13T00:00:00.000Z",188.95,188.95,185,188.95,0,0,0,8500
"2004-01-15T00:00:00.000Z",188.95,188,186,186,-2.95,-1.5612595924847845,-1.5612595924847845,1600
"2004-01-16T00:00:00.000Z",186,186,184.2,185.5,-0.5,-0.2688172043010753,-0.2688172043010753,3300
"2004-01-19T00:00:00.000Z",185.5,188,185,185,-0.5,-0.2695417789757413,-0.2695417789757413,1500
"2004-01-20T00:00:00.000Z",185,185.05,184,185,0,0,0,3700
"2004-01-21T00:00:00.000Z",185,186.9,185,186.9,1.9,1.027027027027027,1.027027027027027,2100
"2004-01-22T00:00:00.000Z",186.9,187.95,183.95,183.95,-2.95,-1.5783841626538258,-1.5783841626538258,400
"2004-01-23T00:00:00.000Z",183.95,184.5,180,184,0.05,0.027181299266104925,0.027181299266104925,3800
"2004-01-26T00:00:00.000Z",184,182.05,182,182,-2,-1.0869565217391304,-1.0869565217391304,1200
"2004-01-27T00:00:00.000Z",182,186,183.25,183.25,1.25,0.6868131868131868,0.6868131868131868,12900
"2004-01-29T00:00:00.000Z",183.25,186,185,186,2.75,1.5006821282401093,1.5006821282401093,5300
"2004-01-30T00:00:00.000Z",186,186.5,185,186.5,0.5,0.2688172043010753,0.2688172043010753,15800
"2004-02-06T00:00:00.000Z",186.5,189.5,185,185,-1.5,-0.8042895442359249,-0.8042895442359249,2100
"2004-02-09T00:00:00.000Z",185,190,184.3,185,0,0,0,8700
"2004-02-10T00:00:00.000Z",185,185,185,185,0,0,0,2400
"2004-02-11T00:00:00.000Z",185,185.1,185,185,0,0,0,1600
"2004-02-12T00:00:00.000Z",185,186,183,186,1,0.5405405405405406,0.5405405405405406,200
"2004-02-13T00:00:00.000Z",186,184,182,183,-3,-1.6129032258064515,-1.6129032258064515,5600
"2004-02-16T00:00:00.000Z",183,184,184,184,1,0.546448087431694,0.546448087431694,400
"2004-02-17T00:00:00.000Z",184,184,183,183,-1,-0.5434782608695652,-0.5434782608695652,1700
"2004-02-18T00:00:00.000Z",183,187.9,177,182,-1,-0.546448087431694,-0.546448087431694,5800
"2004-02-19T00:00:00.000Z",182,182,182,182,0,0,0,100
"2004-02-23T00:00:00.000Z",182,177.4,177.1,177.4,-4.6,-2.5274725274725274,-2.5274725274725274,300
"2004-02-24T00:00:00.000Z",177.4,181,179,179,1.6,0.9019165727170236,0.9019165727170236,11600
"2004-02-25T00:00:00.000Z",179,182,179.5,179.5,0.5,0.27932960893854747,0.27932960893854747,1300
"2004-02-26T00:00:00.000Z",179.5,182,178,179,-0.5,-0.2785515320334262,-0.2785515320334262,5400
"2004-02-27T00:00:00.000Z",179,182,180,180,1,0.5586592178770949,0.5586592178770949,1800
"2004-03-03T00:00:00.000Z",180,180,178,179,-1,-0.5555555555555556,-0.5555555555555556,1400
"2004-03-04T00:00:00.000Z",179,181.5,179,181.5,2.5,1.3966480446927374,1.3966480446927374,1900
"2004-03-05T00:00:00.000Z",181.5,186.5,183,186.5,5,2.7548209366391188,2.7548209366391188,10200
"2004-03-08T00:00:00.000Z",186.5,191,182,189.5,3,1.6085790884718498,1.6085790884718498,23500
"2004-03-09T00:00:00.000Z",189.5,192.5,189,190.9,1.4,0.7387862796833773,0.7387862796833773,16500
"2004-03-10T00:00:00.000Z",190.9,193.9,191.5,192,1.1,0.5762179151388162,0.5762179151388162,7300
"2004-03-11T00:00:00.000Z",192,194,190,194,2,1.0416666666666665,1.0416666666666665,4200
"2004-03-12T00:00:00.000Z",194,195,193,195,1,0.5154639175257731,0.5154639175257731,9300
"2004-03-15T00:00:00.000Z",195,196,195,195,0,0,0,2700
"2004-03-16T00:00:00.000Z",195,195,192,194.9,-0.1,-0.05128205128205128,-0.05128205128205128,1300
"2004-03-17T00:00:00.000Z",194.9,193,191,192.9,-2,-1.026167265264238,-1.026167265264238,800
"2004-03-18T00:00:00.000Z",192.9,192.9,191,192.5,-0.4,-0.20736132711249353,-0.20736132711249353,600
"2004-03-19T00:00:00.000Z",192.5,192,189.9,191,-1.5,-0.7792207792207793,-0.7792207792207793,1800
"2004-03-22T00:00:00.000Z",191,190,187.9,189,-2,-1.0471204188481675,-1.0471204188481675,3200
"2004-03-24T00:00:00.000Z",189,194,183.9,191.05,2.05,1.0846560846560847,1.0846560846560847,11300
"2004-03-25T00:00:00.000Z",191.05,194.95,191,191.9,0.85,0.4449097095001308,0.4449097095001308,4200
"2004-03-26T00:00:00.000Z",191.9,191,188.1,188.1,-3.8,-1.98019801980198,-1.98019801980198,4600
"2004-03-29T00:00:00.000Z",188.1,193,187,188,-0.1,-0.053163211057947905,-0.053163211057947905,7200
"2004-03-30T00:00:00.000Z",188,189,184.6,189,1,0.5319148936170213,0.5319148936170213,3600
"2004-03-31T00:00:00.000Z",189,203.15,190.5,195,6,3.1746031746031744,3.1746031746031744,104000
"2004-04-01T00:00:00.000Z",195,197,185.25,186,-9,-4.615384615384616,-4.615384615384616,57200
"2004-04-02T00:00:00.000Z",186,199.95,188,192.9,6.9,3.709677419354839,3.709677419354839,45100
"2004-04-05T00:00:00.000Z",192.9,193.9,192,193.9,1,0.5184033177812338,0.5184033177812338,3200
"2004-04-06T00:00:00.000Z",193.9,195.8,193.1,193.15,-0.75,-0.3867973182052604,-0.3867973182052604,3400
"2004-04-07T00:00:00.000Z",193.15,196.5,194,196.5,3.35,1.7344033134869274,1.7344033134869274,11300
"2004-04-08T00:00:00.000Z",196.5,198.5,193.5,193.5,-3,-1.5267175572519083,-1.5267175572519083,7900
"2004-04-09T00:00:00.000Z",193.5,200,196,200,6.5,3.359173126614987,3.359173126614987,8600
"2004-04-12T00:00:00.000Z",200,205,200.5,201.25,1.25,0.625,0.625,16700
"2004-04-13T00:00:00.000Z",201.25,210,199,205,3.75,1.8633540372670807,1.8633540372670807,18100
"2004-04-14T00:00:00.000Z",205,212,201.5,211,6,2.9268292682926833,2.9268292682926833,12600
"2004-04-15T00:00:00.000Z",211,226.8,213,225,14,6.6350710900473935,6.6350710900473935,25300
"2004-04-16T00:00:00.000Z",225,235,225,225,0,0,0,16100
"2004-04-19T00:00:00.000Z",225,228,224.5,228,3,1.3333333333333335,1.3333333333333335,15400
"2004-04-20T00:00:00.000Z",228,228,218,218,-10,-4.385964912280701,-4.385964912280701,8300
"2004-04-21T00:00:00.000Z",211,210,201,201.55,-16.45,-7.545871559633027,-7.545871559633027,3500
"2004-04-22T00:00:00.000Z",201.55,210,197,210,8.45,4.192508062515504,4.192508062515504,7400
"2004-04-23T00:00:00.000Z",210,218,199.5,202,-8,-3.8095238095238098,-3.8095238095238098,5800
"2004-04-26T00:00:00.000Z",202,202,192.5,202,0,0,0,1200
"2004-04-27T00:00:00.000Z",202,203.5,202.5,203.5,1.5,0.7425742574257426,0.7425742574257426,800
"2004-04-28T00:00:00.000Z",203.5,202,200,200,-3.5,-1.71990171990172,-1.71990171990172,4300
"2004-04-29T00:00:00.000Z",200,201.5,201.5,201.5,1.5,0.75,0.75,2000
"2004-04-30T00:00:00.000Z",201.5,202.25,200,202.25,0.75,0.37220843672456577,0.37220843672456577,9600
"2004-05-04T00:00:00.000Z",202.25,212.5,201,212.5,10.25,5.067985166872682,5.067985166872682,3700
"2004-05-05T00:00:00.000Z",212.5,208,205,207,-5.5,-2.588235294117647,-2.588235294117647,2300
"2004-05-06T00:00:00.000Z",207,212,210,210.05,3.05,1.4734299516908211,1.4734299516908211,2400
"2004-05-07T00:00:00.000Z",210.05,210.05,209,210,-0.05,-0.023803856224708403,-0.023803856224708403,1800
"2004-05-10T00:00:00.000Z",210,225.6,215,215,5,2.380952380952381,2.380952380952381,13200
"2004-05-11T00:00:00.000Z",215,215,212.05,215,0,0,0,800
"2004-05-12T00:00:00.000Z",215,215,210,210,-5,-2.3255813953488373,-2.3255813953488373,2700
"2004-05-13T00:00:00.000Z",210,210,209,209,-1,-0.4761904761904762,-0.4761904761904762,5600
"2004-05-14T00:00:00.000Z",209,215,213,213,4,1.9138755980861244,1.9138755980861244,1300
"2004-05-17T00:00:00.000Z",213,215,210.25,213,0,0,0,11300
"2004-05-18T00:00:00.000Z",213,211,208,211,-2,-0.9389671361502347,-0.9389671361502347,21000
"2004-05-19T00:00:00.000Z",211,220,213.5,220,9,4.265402843601896,4.265402843601896,13900
"2004-05-20T00:00:00.000Z",220,220,217.5,218,-2,-0.9090909090909091,-0.9090909090909091,3600
"2004-05-21T00:00:00.000Z",218,220,213,219,1,0.45871559633027525,0.45871559633027525,9600
"2004-05-24T00:00:00.000Z",219,219,219,219,0,0,0,200
"2004-05-25T00:00:00.000Z",219,218,212,214.9,-4.1,-1.872146118721461,-1.872146118721461,700
"2004-05-26T00:00:00.000Z",214.9,211.5,211.2,211.5,-3.4,-1.5821312238250347,-1.5821312238250347,600
"2004-05-27T00:00:00.000Z",211.5,210.05,210.05,210.05,-1.45,-0.6855791962174941,-0.6855791962174941,300
"2004-05-28T00:00:00.000Z",210.05,211.25,210,211,0.95,0.45227326826945957,0.45227326826945957,1000
"2004-05-31T00:00:00.000Z",211,210.5,208,210,-1,-0.47393364928909953,-0.47393364928909953,2600
"2004-06-01T00:00:00.000Z",210,211.9,208,208,-2,-0.9523809523809524,-0.9523809523809524,2500
"2004-06-02T00:00:00.000Z",208,213,210,213,5,2.403846153846154,2.403846153846154,3400
"2004-06-03T00:00:00.000Z",213,207.5,204,204,-9,-4.225352112676056,-4.225352112676056,1700
"2004-06-04T00:00:00.000Z",204,206,205.1,205.1,1.1,0.5392156862745099,0.5392156862745099,1500
"2004-06-07T00:00:00.000Z",205.1,210.25,207.5,207.5,2.4,1.1701608971233544,1.1701608971233544,1500
"2004-06-08T00:00:00.000Z",207.5,209,208,208,0.5,0.24096385542168677,0.24096385542168677,3000
"2004-06-09T00:00:00.000Z",208,210,206.1,207.05,-0.95,-0.45673076923076916,-0.45673076923076916,1600
"2004-06-10T00:00:00.000Z",207.05,209,207,207,-0.05,-0.02414875633904854,-0.02414875633904854,3600
"2004-06-14T00:00:00.000Z",207,203,200,203,-4,-1.932367149758454,-1.932367149758454,1200
"2004-06-15T00:00:00.000Z",203,211,208,211,8,3.9408866995073892,3.9408866995073892,1100
"2004-06-16T00:00:00.000Z",211,213.9,209,213.9,2.9,1.3744075829383886,1.3744075829383886,2100
"2004-06-17T00:00:00.000Z",213.9,214,208,208,-5.9,-2.7582982702197287,-2.7582982702197287,4200
"2004-06-18T00:00:00.000Z",208,212,208,208,0,0,0,1700
"2004-06-21T00:00:00.000Z",208,208,207,208,0,0,0,1200
"2004-06-22T00:00:00.000Z",208,210,206.1,206.1,-1.9,-0.9134615384615383,-0.9134615384615383,2500
"2004-06-23T00:00:00.000Z",206.1,206,203,205,-1.1,-0.5337214944201845,-0.5337214944201845,1200
"2004-06-24T00:00:00.000Z",205,211,208,211,6,2.9268292682926833,2.9268292682926833,2800
"2004-06-25T00:00:00.000Z",211,208.1,205,208,-3,-1.4218009478672986,-1.4218009478672986,3600
"2004-06-29T00:00:00.000Z",208,211,208,211,3,1.4423076923076923,1.4423076923076923,5200
"2004-06-30T00:00:00.000Z",211,208,208,208,-3,-1.4218009478672986,-1.4218009478672986,200
"2004-07-01T00:00:00.000Z",208,210,207,207,-1,-0.4807692307692308,-0.4807692307692308,7900
"2004-07-05T00:00:00.000Z",207,208.1,207,208.1,1.1,0.5314009661835749,0.5314009661835749,2500
"2004-07-06T00:00:00.000Z",208.1,208,207,208,-0.1,-0.04805382027871216,-0.04805382027871216,1900
"2004-07-07T00:00:00.000Z",208,207,206.5,206.5,-1.5,-0.7211538461538461,-0.7211538461538461,700
"2004-07-08T00:00:00.000Z",206.5,208,206,207.95,1.45,0.7021791767554479,0.7021791767554479,1500
"2004-07-09T00:00:00.000Z",207.95,207,207,207,-0.95,-0.45684058667949023,-0.45684058667949023,100
"2004-07-12T00:00:00.000Z",207,206.25,206,206,-1,-0.4830917874396135,-0.4830917874396135,1300
"2004-07-13T00:00:00.000Z",206,210,206.5,206.5,0.5,0.24271844660194172,0.24271844660194172,2700
"2004-07-15T00:00:00.000Z",206.5,206.05,206,206,-0.5,-0.24213075060532688,-0.24213075060532688,900
"2004-07-16T00:00:00.000Z",206,206,206,206,0,0,0,500
"2004-07-19T00:00:00.000Z",206,209.9,208,208,2,0.9708737864077669,0.9708737864077669,3000
"2004-07-20T00:00:00.000Z",208,200,200,200,-8,-3.8461538461538463,-3.8461538461538463,100
"2004-07-21T00:00:00.000Z",200,205.5,205,205.5,5.5,2.75,2.75,200
"2004-07-22T00:00:00.000Z",205.5,208.45,206,207.75,2.25,1.094890510948905,1.094890510948905,400
"2004-07-23T00:00:00.000Z",207.75,211.9,209.95,209.95,2.2,1.058965102286402,1.058965102286402,200
"2004-07-26T00:00:00.000Z",209.95,200,200,200,-9.95,-4.739223624672541,-4.739223624672541,200
"2004-07-27T00:00:00.000Z",200,204,200,200,0,0,0,3200
"2004-07-28T00:00:00.000Z",200,211.9,205,210.85,10.85,5.425,5.425,900
"2004-07-29T00:00:00.000Z",210.85,208,205,205,-5.85,-2.774484230495613,-2.774484230495613,31900
"2004-07-30T00:00:00.000Z",205,205,204,205,0,0,0,300
"2004-08-03T00:00:00.000Z",205,206,206,206,1,0.4878048780487805,0.4878048780487805,0
"2004-08-04T00:00:00.000Z",206,207,205,205,-1,-0.48543689320388345,-0.48543689320388345,6500
"2004-08-05T00:00:00.000Z",205,209.1,206.75,209,4,1.951219512195122,1.951219512195122,18900
"2004-08-09T00:00:00.000Z",209,209,206,209,0,0,0,3000
"2004-08-11T00:00:00.000Z",209,207.95,206,207.9,-1.1,-0.5263157894736843,-0.5263157894736843,1600
"2004-08-12T00:00:00.000Z",207.9,209.95,208,209.5,1.6,0.7696007696007696,0.7696007696007696,1000
"2004-08-13T00:00:00.000Z",209.5,210,207,210,0.5,0.23866348448687352,0.23866348448687352,2200
