"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",77.5,76.85,76.85,76.85,0,0,600
"2004-01-02T00:00:00.000Z",76.85,79,77.5,77.5,0.65,0.8458035133376708,15500
"2004-01-05T00:00:00.000Z",77.5,78,77,77,-0.5,-0.6451612903225806,20100
"2004-01-06T00:00:00.000Z",77,78,76,78,1,1.2987012987012987,9100
"2004-01-07T00:00:00.000Z",78,78,77.5,78,0,0,6300
"2004-01-08T00:00:00.000Z",78,83.65,78.85,82.75,4.75,6.089743589743589,105200
"2004-01-09T00:00:00.000Z",82.75,84.6,81.9,83.5,0.75,0.906344410876133,48800
"2004-01-12T00:00:00.000Z",83.5,84,80,84,0.5,0.5988023952095809,1200
"2004-01-13T00:00:00.000Z",84,82,81,81.5,-2.5,-2.976190476190476,8100
"2004-01-14T00:00:00.000Z",81.5,83.75,80.75,82,0.5,0.6134969325153374,56100
"2004-01-15T00:00:00.000Z",82,83.5,80,80.1,-1.9,-2.317073170731707,55000
"2004-01-16T00:00:00.000Z",80.1,82,81,81.8,1.7,2.1223470661672907,15500
"2004-01-19T00:00:00.000Z",81.8,84.5,81.5,82,0.2,0.2444987775061125,14800
"2004-01-20T00:00:00.000Z",82,83,81.05,81.2,-0.8,-0.975609756097561,21600
"2004-01-21T00:00:00.000Z",81.2,84,82,84,2.8,3.4482758620689653,24600
"2004-01-22T00:00:00.000Z",84,84,79.8,79.8,-4.2,-5,75400
"2004-01-23T00:00:00.000Z",79.8,80,75.9,77.25,-2.55,-3.195488721804511,29300
"2004-01-26T00:00:00.000Z",77.25,79,78.9,78.9,1.65,2.1359223300970873,500
"2004-01-27T00:00:00.000Z",78.9,79,78,79,0.1,0.12674271229404308,1000
"2004-01-28T00:00:00.000Z",79,79.8,77,78,-1,-1.2658227848101267,24500
"2004-01-29T00:00:00.000Z",78,78,78,78,0,0,6000
"2004-01-30T00:00:00.000Z",78,79.5,79.1,79.5,1.5,1.9230769230769231,1000
"2004-02-06T00:00:00.000Z",79.5,79.7,77.3,77.3,-2.2,-2.767295597484277,1500
"2004-02-09T00:00:00.000Z",77.3,79,77.3,77.3,0,0,3900
"2004-02-10T00:00:00.000Z",77.3,79,73.5,77,-0.3,-0.38809831824062097,19300
"2004-02-11T00:00:00.000Z",77,77,74.1,76.6,-0.4,-0.5194805194805194,5000
"2004-02-12T00:00:00.000Z",76.6,72.8,72.8,72.8,-3.8,-4.960835509138381,1000
"2004-02-13T00:00:00.000Z",72.8,72,69.2,71.5,-1.3,-1.785714285714286,56500
"2004-02-16T00:00:00.000Z",71.5,76.4,70,70,-1.5,-2.097902097902098,23000
"2004-02-17T00:00:00.000Z",70,69,67,67.25,-2.75,-3.9285714285714284,7900
"2004-02-18T00:00:00.000Z",67.25,69.9,66,69.9,2.65,3.940520446096654,17300
"2004-02-19T00:00:00.000Z",69.9,72,69.9,70,0.1,0.14306151645207438,14500
"2004-02-20T00:00:00.000Z",70,71.5,68,68,-2,-2.857142857142857,27000
"2004-02-23T00:00:00.000Z",68,69,68,68.25,0.25,0.3676470588235294,6100
"2004-02-24T00:00:00.000Z",68.25,68,68,68,-0.25,-0.3663003663003663,4500
"2004-02-25T00:00:00.000Z",68,67.1,67.1,67.1,-0.9,-1.3235294117647058,500
"2004-02-26T00:00:00.000Z",67.1,68,68,68,0.9,1.3412816691505216,500
"2004-02-27T00:00:00.000Z",68,72,68.25,72,4,5.88235294117647,12400
"2004-03-03T00:00:00.000Z",72,76,72,73.5,1.5,2.083333333333333,8600
"2004-03-04T00:00:00.000Z",73.5,74,72.6,73,-0.5,-0.6802721088435374,2500
"2004-03-05T00:00:00.000Z",73,73.25,71.5,71.5,-1.5,-2.054794520547945,3100
"2004-03-08T00:00:00.000Z",71.5,71.5,71.1,71.1,-0.4,-0.5594405594405595,2500
"2004-03-09T00:00:00.000Z",71.1,71.2,69.5,69.55,-1.55,-2.180028129395218,57400
"2004-03-10T00:00:00.000Z",69.55,70.45,69,69,-0.55,-0.7907979870596694,20500
"2004-03-11T00:00:00.000Z",69,70.65,69.75,70.65,1.65,2.3913043478260865,3000
"2004-03-12T00:00:00.000Z",70.65,71,70.1,70.95,0.3,0.42462845010615713,3400
"2004-03-15T00:00:00.000Z",70.95,72.8,71,72.5,1.55,2.1846370683579983,72700
"2004-03-16T00:00:00.000Z",72.5,77.9,72.5,77.9,5.4,7.448275862068966,190600
"2004-03-17T00:00:00.000Z",77.9,83.7,78.75,82.5,4.6,5.905006418485237,145400
"2004-03-18T00:00:00.000Z",82.5,84,82,82,-0.5,-0.6060606060606061,29100
"2004-03-19T00:00:00.000Z",82,84.9,81,82.5,0.5,0.6097560975609756,63500
"2004-03-22T00:00:00.000Z",82.5,81.35,80,80,-2.5,-3.0303030303030303,3600
"2004-03-24T00:00:00.000Z",80,84,81,84,4,5,166300
"2004-03-25T00:00:00.000Z",84,90.3,83.5,90.3,6.3,7.5,260200
"2004-03-26T00:00:00.000Z",90.3,97.05,92.1,93,2.7,2.990033222591362,278600
"2004-03-29T00:00:00.000Z",93,95,91,91,-2,-2.1505376344086025,28100
"2004-03-30T00:00:00.000Z",91,92,86.45,86.45,-4.55,-5,9600
"2004-03-31T00:00:00.000Z",86.45,88.5,87.5,88.5,2.05,2.3713128976286866,20800
"2004-04-01T00:00:00.000Z",88.5,88.5,86,87.5,-1,-1.1299435028248588,4400
"2004-04-02T00:00:00.000Z",87.5,88.5,87,88.5,1,1.1428571428571428,3500
"2004-04-05T00:00:00.000Z",88.5,87,85,85,-3.5,-3.954802259887006,3700
"2004-04-06T00:00:00.000Z",85,88.95,84.05,85,0,0,12100
"2004-04-07T00:00:00.000Z",85,86.5,84,86.5,1.5,1.7647058823529411,7800
"2004-04-08T00:00:00.000Z",86.5,87.25,85.25,85.25,-1.25,-1.4450867052023122,16500
"2004-04-09T00:00:00.000Z",85.25,84.75,84.25,84.75,-0.5,-0.5865102639296188,100
"2004-04-12T00:00:00.000Z",84.75,85,84.8,84.8,0.05,0.058997050147492625,10200
"2004-04-13T00:00:00.000Z",84.8,89,85.1,86,1.2,1.4150943396226416,62600
"2004-04-14T00:00:00.000Z",86,85.9,81.7,82.5,-3.5,-4.069767441860465,20300
"2004-04-15T00:00:00.000Z",82.5,88.5,84,86.9,4.4,5.333333333333334,47100
"2004-04-16T00:00:00.000Z",86.9,87,86.5,87,0.1,0.11507479861910241,14200
"2004-04-19T00:00:00.000Z",87,88,85,85,-2,-2.2988505747126435,21000
"2004-04-20T00:00:00.000Z",85,88,85.2,86.25,1.25,1.4705882352941175,65000
"2004-04-21T00:00:00.000Z",86.25,87,81.95,82.5,-3.75,-4.3478260869565215,12500
"2004-04-22T00:00:00.000Z",82.5,83.95,80,83.95,1.45,1.7575757575757573,17100
"2004-04-23T00:00:00.000Z",83.95,82.5,82.05,82.05,-1.9,-2.2632519356759975,9600
"2004-04-26T00:00:00.000Z",82.05,83,83,83,0.95,1.157830591102986,300
"2004-04-27T00:00:00.000Z",83,82,80.5,80.5,-2.5,-3.0120481927710845,2300
"2004-04-28T00:00:00.000Z",80.5,80,78,78,-2.5,-3.1055900621118013,3800
"2004-04-29T00:00:00.000Z",78,80,78,78,0,0,9400
"2004-04-30T00:00:00.000Z",78,80,79,79,1,1.282051282051282,100
"2004-05-04T00:00:00.000Z",79,81,79.5,81,2,2.5316455696202533,52200
"2004-05-05T00:00:00.000Z",81,80,79.5,80,-1,-1.2345679012345678,2300
"2004-05-06T00:00:00.000Z",80,79.6,79.6,79.6,-0.4,-0.5,500
"2004-05-07T00:00:00.000Z",79.6,81,80.05,81,1.4,1.7587939698492463,6900
"2004-05-10T00:00:00.000Z",81,82,81,81.5,0.5,0.6172839506172839,13200
"2004-05-11T00:00:00.000Z",81.5,82,81,81,-0.5,-0.6134969325153374,5000
"2004-05-12T00:00:00.000Z",81,83,79.5,79.5,-1.5,-1.8518518518518516,8100
"2004-05-13T00:00:00.000Z",79.5,82.5,79.05,79.05,-0.45,-0.5660377358490567,6000
"2004-05-14T00:00:00.000Z",79.05,80.25,79.5,80.25,1.2,1.5180265654648957,7100
"2004-05-17T00:00:00.000Z",80.25,80.5,77,78,-2.25,-2.803738317757009,26700
"2004-05-18T00:00:00.000Z",78,80,78,78.1,0.1,0.1282051282051282,32400
"2004-05-19T00:00:00.000Z",78.1,81,78.9,80,1.9,2.4327784891165174,23200
"2004-05-20T00:00:00.000Z",80,79.5,78.8,79,-1,-1.25,11400
"2004-05-21T00:00:00.000Z",79,79.8,78.5,78.9,-0.1,-0.12658227848101267,3400
"2004-05-24T00:00:00.000Z",78.9,80.5,79,79,0.1,0.12674271229404308,10400
"2004-05-25T00:00:00.000Z",79,79,78,78,-1,-1.2658227848101267,13800
"2004-05-26T00:00:00.000Z",78,78.5,77.5,77.5,-0.5,-0.641025641025641,900
"2004-05-27T00:00:00.000Z",77.5,80,78,78.5,1,1.2903225806451613,19200
"2004-05-28T00:00:00.000Z",78.5,80.5,78,80,1.5,1.910828025477707,21700
"2004-05-31T00:00:00.000Z",80,82.45,80.9,82.45,2.45,3.0625000000000004,19300
"2004-06-01T00:00:00.000Z",82.45,82,80,82,-0.45,-0.5457853244390539,4700
"2004-06-02T00:00:00.000Z",82,83,81.5,81.5,-0.5,-0.6097560975609756,16100
"2004-06-03T00:00:00.000Z",81.5,82.6,81.25,81.5,0,0,18200
"2004-06-04T00:00:00.000Z",81.5,85,82,82,0.5,0.6134969325153374,8900
"2004-06-07T00:00:00.000Z",82,83.5,82,83.5,1.5,1.8292682926829267,8000
"2004-06-08T00:00:00.000Z",79.25,80,77.5,77.75,-5.75,-6.88622754491018,1100
