"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",29,29.5,29.05,29.15,0,0,0,31500
"2004-01-02T00:00:00.000Z",29.15,29.75,29,29.5,0.35,1.2006861063464835,1.2006861063464835,482000
"2004-01-05T00:00:00.000Z",29.5,30.75,29.5,30.6,1.1,3.728813559322034,3.728813559322034,609500
"2004-01-06T00:00:00.000Z",30.6,31.4,30.3,30.6,0,0,0,68000
"2004-01-07T00:00:00.000Z",30.6,30.5,30,30.5,-0.1,-0.32679738562091504,-0.32679738562091504,11500
"2004-01-08T00:00:00.000Z",30.5,30.25,30,30,-0.5,-1.639344262295082,-1.639344262295082,30500
"2004-01-09T00:00:00.000Z",30,30,29.75,29.75,-0.25,-0.8333333333333334,-0.8333333333333334,19000
"2004-01-12T00:00:00.000Z",29.75,30,29.8,30,0.25,0.8403361344537815,0.8403361344537815,173000
"2004-01-13T00:00:00.000Z",30,30,29.75,30,0,0,0,94000
"2004-01-14T00:00:00.000Z",30,30,30,30,0,0,0,38500
"2004-01-15T00:00:00.000Z",30,30.5,30,30.05,0.05,0.16666666666666669,0.16666666666666669,45000
"2004-01-16T00:00:00.000Z",30.05,32.3,30.5,31.6,1.55,5.158069883527454,5.158069883527454,308500
"2004-01-19T00:00:00.000Z",31.6,32.6,31.85,32,0.4,1.2658227848101267,1.2658227848101267,147500
"2004-01-20T00:00:00.000Z",32,32,31.5,31.5,-0.5,-1.5625,-1.5625,49500
"2004-01-21T00:00:00.000Z",31.5,31.9,31.5,31.5,0,0,0,11500
"2004-01-22T00:00:00.000Z",31.5,32.5,31.85,32.1,0.6,1.9047619047619047,1.9047619047619047,67500
"2004-01-23T00:00:00.000Z",32.1,32.85,31.9,32.85,0.75,2.336448598130841,2.336448598130841,516500
"2004-01-26T00:00:00.000Z",32.85,34.9,32.85,34,1.15,3.50076103500761,3.50076103500761,282500
"2004-01-27T00:00:00.000Z",34,35,33.85,34,0,0,0,29500
"2004-01-28T00:00:00.000Z",34,35.2,33.3,34.5,0.5,1.4705882352941175,1.4705882352941175,112000
"2004-01-29T00:00:00.000Z",34.5,37.05,34.5,35.6,1.1,3.1884057971014497,3.1884057971014497,140000
"2004-01-30T00:00:00.000Z",35.6,36.5,35.6,35.8,0.2,0.5617977528089889,0.5617977528089889,13500
"2004-02-06T00:00:00.000Z",35.8,36.5,34.5,36.5,0.7,1.9553072625698324,1.9553072625698324,20000
"2004-02-09T00:00:00.000Z",36.5,36.9,35,35.5,-1,-2.73972602739726,-2.73972602739726,8500
"2004-02-10T00:00:00.000Z",35.5,36.7,34.6,35.4,-0.1,-0.28169014084507044,-0.28169014084507044,66000
"2004-02-11T00:00:00.000Z",35.4,35.55,35,35.55,0.15,0.423728813559322,0.423728813559322,7500
"2004-02-12T00:00:00.000Z",35.55,35.75,33.8,33.8,-1.75,-4.922644163150493,-4.922644163150493,14000
"2004-02-13T00:00:00.000Z",33.8,35.5,34.75,35,1.2,3.5502958579881656,3.5502958579881656,10000
"2004-02-16T00:00:00.000Z",35,35,33.25,35,0,0,0,46500
"2004-02-17T00:00:00.000Z",35,35,34.1,34.1,-0.9,-2.571428571428571,-2.571428571428571,20000
"2004-02-18T00:00:00.000Z",34.1,34.15,33.85,34.05,-0.05,-0.14662756598240473,-0.14662756598240473,86500
"2004-02-19T00:00:00.000Z",34.05,34.7,33.8,34.35,0.3,0.8810572687224669,0.8810572687224669,67000
"2004-02-20T00:00:00.000Z",34.35,34.55,34,34,-0.35,-1.0189228529839882,-1.0189228529839882,26500
"2004-02-23T00:00:00.000Z",34,34.5,33.75,34.45,0.45,1.3235294117647058,1.3235294117647058,45000
"2004-02-24T00:00:00.000Z",34.45,33.1,33,33.05,-1.4,-4.063860667634253,-4.063860667634253,9500
"2004-02-25T00:00:00.000Z",33.05,32.95,32.5,32.6,-0.45,-1.3615733736762479,-1.3615733736762479,101500
"2004-02-26T00:00:00.000Z",32.6,33,33,33,0.4,1.2269938650306749,1.2269938650306749,20000
"2004-02-27T00:00:00.000Z",33,35.45,33,35.45,2.45,7.424242424242425,7.424242424242425,195000
"2004-03-03T00:00:00.000Z",35.45,35.6,34.5,34.5,-0.95,-2.6798307475317347,-2.6798307475317347,17000
"2004-03-04T00:00:00.000Z",34.5,37.05,34.7,36,1.5,4.3478260869565215,4.3478260869565215,23000
"2004-03-05T00:00:00.000Z",36,36.2,35.25,35.75,-0.25,-0.6944444444444444,-0.6944444444444444,51500
"2004-03-08T00:00:00.000Z",35.75,35.75,35,35,-0.75,-2.097902097902098,-2.097902097902098,49000
"2004-03-09T00:00:00.000Z",35,35.75,34.55,35,0,0,0,24000
"2004-03-10T00:00:00.000Z",35,35.5,34.9,35.5,0.5,1.4285714285714286,1.4285714285714286,45000
"2004-03-11T00:00:00.000Z",35.5,35.35,34.7,35.35,-0.15,-0.42253521126760557,-0.42253521126760557,9500
"2004-03-12T00:00:00.000Z",35.35,35.4,35,35,-0.35,-0.99009900990099,-0.99009900990099,42000
"2004-03-15T00:00:00.000Z",35,36,35,35.05,0.05,0.14285714285714285,0.14285714285714285,101000
"2004-03-16T00:00:00.000Z",35.05,35.4,35,35.4,0.35,0.9985734664764622,0.9985734664764622,46000
"2004-03-17T00:00:00.000Z",35.4,36,35,35.5,0.1,0.28248587570621475,0.28248587570621475,109500
"2004-03-18T00:00:00.000Z",35.5,36,35.25,35.25,-0.25,-0.7042253521126761,-0.7042253521126761,101500
"2004-03-19T00:00:00.000Z",35.25,35.9,34.75,34.75,-0.5,-1.4184397163120568,-1.4184397163120568,21500
"2004-03-22T00:00:00.000Z",34.75,35.25,34.5,35.2,0.45,1.2949640287769784,1.2949640287769784,102500
"2004-03-24T00:00:00.000Z",35.2,37.8,35.5,37.8,2.6,7.3863636363636385,7.3863636363636385,419000
"2004-03-25T00:00:00.000Z",37.8,40.5,38.25,39.9,2.1,5.555555555555556,5.555555555555556,126000
"2004-03-26T00:00:00.000Z",39.9,41,39.5,39.5,-0.4,-1.0025062656641606,-1.0025062656641606,128500
"2004-03-29T00:00:00.000Z",39.5,40,39,39,-0.5,-1.2658227848101267,-1.2658227848101267,26000
"2004-03-30T00:00:00.000Z",39,40.75,39.75,40.6,1.6,4.102564102564102,4.102564102564102,445500
"2004-03-31T00:00:00.000Z",40.6,41.5,38.95,39,-1.6,-3.9408866995073892,-3.9408866995073892,181000
"2004-04-01T00:00:00.000Z",39,39.65,38.5,38.5,-0.5,-1.282051282051282,-1.282051282051282,59500
"2004-04-02T00:00:00.000Z",38.5,39,38.4,38.95,0.45,1.1688311688311688,1.1688311688311688,26000
"2004-04-05T00:00:00.000Z",38.95,38.45,38,38.05,-0.9,-2.3106546854942236,-2.3106546854942236,31000
"2004-04-06T00:00:00.000Z",38.05,38.5,37.85,37.85,-0.2,-0.5256241787122208,-0.5256241787122208,83500
"2004-04-07T00:00:00.000Z",37.85,39.85,37.85,39.1,1.25,3.302509907529722,3.302509907529722,106500
"2004-04-08T00:00:00.000Z",39.1,40,38.7,38.8,-0.3,-0.7672634271099745,-0.7672634271099745,113000
"2004-04-09T00:00:00.000Z",38.8,39.5,38.25,39.5,0.7,1.8041237113402064,1.8041237113402064,28000
"2004-04-12T00:00:00.000Z",39.5,40.3,39.3,40,0.5,1.2658227848101267,1.2658227848101267,151500
"2004-04-13T00:00:00.000Z",40,41,38.9,38.9,-1.1,-2.7500000000000004,-2.7500000000000004,608000
"2004-04-14T00:00:00.000Z",38.9,41,39,39.5,0.6,1.5424164524421593,1.5424164524421593,204500
"2004-04-15T00:00:00.000Z",39.5,40,39.25,39.5,0,0,0,49000
"2004-04-16T00:00:00.000Z",39.5,40,39.25,39.5,0,0,0,34000
"2004-04-19T00:00:00.000Z",39.5,40,39.25,39.5,0,0,0,67500
"2004-04-20T00:00:00.000Z",39.5,39.05,38.75,38.75,-0.75,-1.89873417721519,-1.89873417721519,43000
"2004-04-21T00:00:00.000Z",38.75,39.45,38,38,-0.75,-1.935483870967742,-1.935483870967742,48000
"2004-04-22T00:00:00.000Z",38,38,37.5,38,0,0,0,3000
"2004-04-23T00:00:00.000Z",38,39.4,38.25,38.5,0.5,1.3157894736842104,1.3157894736842104,75000
"2004-04-26T00:00:00.000Z",38.5,38,37.05,37.25,-1.25,-3.2467532467532463,-3.2467532467532463,909000
"2004-04-27T00:00:00.000Z",37.25,38.5,37.45,38,0.75,2.013422818791946,2.013422818791946,51000
"2004-04-28T00:00:00.000Z",38,37.6,36.5,36.5,-1.5,-3.9473684210526314,-3.9473684210526314,61000
"2004-04-29T00:00:00.000Z",36.5,37.7,36.6,36.6,0.1,0.273972602739726,0.273972602739726,39000
"2004-04-30T00:00:00.000Z",36.6,37.7,36.75,37,0.4,1.092896174863388,1.092896174863388,40500
"2004-05-04T00:00:00.000Z",37,37.9,37.5,37.9,0.9,2.4324324324324325,2.4324324324324325,82000
"2004-05-05T00:00:00.000Z",37.9,38,37.1,37.25,-0.65,-1.7150395778364118,-1.7150395778364118,39500
"2004-05-06T00:00:00.000Z",37.25,37.5,37.25,37.25,0,0,0,74000
"2004-05-07T00:00:00.000Z",37.25,38,37,38,0.75,2.013422818791946,2.013422818791946,66500
"2004-05-10T00:00:00.000Z",38,38,37.25,37.25,-0.75,-1.9736842105263157,-1.9736842105263157,14000
"2004-05-11T00:00:00.000Z",37.25,37.5,37.1,37.2,-0.05,-0.13422818791946312,-0.13422818791946312,20500
"2004-05-12T00:00:00.000Z",37.2,38,37,37.5,0.3,0.8064516129032258,0.8064516129032258,78000
"2004-05-13T00:00:00.000Z",37.5,37.2,37.1,37.1,-0.4,-1.0666666666666669,-1.0666666666666669,19500
"2004-05-14T00:00:00.000Z",37.1,37.5,37.25,37.5,0.4,1.078167115902965,1.078167115902965,6500
"2004-05-17T00:00:00.000Z",37.5,37,36,37,-0.5,-1.3333333333333335,-1.3333333333333335,12000
"2004-05-18T00:00:00.000Z",37,39.75,37,39.75,2.75,7.4324324324324325,7.4324324324324325,67500
"2004-05-19T00:00:00.000Z",39.75,39.3,37.85,37.85,-1.9,-4.779874213836478,-4.779874213836478,23500
"2004-05-20T00:00:00.000Z",37.85,38.9,38,38.25,0.4,1.0568031704095113,1.0568031704095113,7500
"2004-05-21T00:00:00.000Z",38.25,39.25,38.5,38.5,0.25,0.6535947712418301,0.6535947712418301,32500
"2004-05-24T00:00:00.000Z",38.5,39.95,39,39,0.5,1.2987012987012987,1.2987012987012987,15000
"2004-05-25T00:00:00.000Z",39,39.5,39.25,39.25,0.25,0.641025641025641,0.641025641025641,11000
"2004-05-26T00:00:00.000Z",39.25,40.5,38.6,38.6,-0.65,-1.6560509554140128,-1.6560509554140128,54500
"2004-05-27T00:00:00.000Z",38.6,40.5,38.5,39.95,1.35,3.4974093264248705,3.4974093264248705,61000
"2004-05-28T00:00:00.000Z",39.95,41,40,40.55,0.6,1.5018773466833544,1.5018773466833544,178500
"2004-05-31T00:00:00.000Z",40.55,41.4,40.5,41.05,0.5,1.2330456226880395,1.2330456226880395,58500
"2004-06-01T00:00:00.000Z",41.05,41.85,40.55,40.55,-0.5,-1.218026796589525,-1.218026796589525,7000
"2004-06-02T00:00:00.000Z",40.55,40.95,40,40,-0.55,-1.3563501849568438,-1.3563501849568438,31500
"2004-06-03T00:00:00.000Z",40,40.1,39.25,39.25,-0.75,-1.875,-1.875,21500
"2004-06-04T00:00:00.000Z",39.25,39.3,39.3,39.3,0.05,0.12738853503184716,0.12738853503184716,500
"2004-06-07T00:00:00.000Z",39.3,40.5,39.25,39.35,0.05,0.1272264631043257,0.1272264631043257,24500
"2004-06-08T00:00:00.000Z",39.35,40.5,39,40.2,0.85,2.1601016518424396,2.1601016518424396,9000
"2004-06-09T00:00:00.000Z",40.2,40.2,39.3,39.5,-0.7,-1.741293532338308,-1.741293532338308,14000
"2004-06-10T00:00:00.000Z",39.5,39.1,38.25,38.25,-1.25,-3.1645569620253164,-3.1645569620253164,4000
"2004-06-11T00:00:00.000Z",38.25,39.15,39.15,39.15,0.9,2.3529411764705883,2.3529411764705883,500
"2004-06-14T00:00:00.000Z",39.15,40,37.5,38,-1.15,-2.937420178799489,-2.937420178799489,13500
"2004-06-15T00:00:00.000Z",38,40,38.6,40,2,5.263157894736842,5.263157894736842,10000
"2004-06-16T00:00:00.000Z",40,42.95,39,40.8,0.8,2,2,138000
"2004-06-17T00:00:00.000Z",40.8,41.2,40.3,40.55,-0.25,-0.6127450980392157,-0.6127450980392157,20000
"2004-06-18T00:00:00.000Z",40.55,43,39.9,40,-0.55,-1.3563501849568438,-1.3563501849568438,81000
"2004-06-21T00:00:00.000Z",40,39.5,39.25,39.25,-0.75,-1.875,-1.875,2000
"2004-06-22T00:00:00.000Z",39.25,40.4,39.35,39.35,0.1,0.2547770700636943,0.2547770700636943,178500
"2004-06-23T00:00:00.000Z",39.35,40,38,39,-0.35,-0.8894536213468869,-0.8894536213468869,80500
"2004-06-24T00:00:00.000Z",39,39,39,39,0,0,0,500
"2004-06-25T00:00:00.000Z",39,41.9,39.5,39.65,0.65,1.6666666666666667,1.6666666666666667,76000
"2004-06-28T00:00:00.000Z",39.65,42.6,39.75,42,2.35,5.926860025220682,5.926860025220682,129000
"2004-06-29T00:00:00.000Z",42,44,40.3,40.35,-1.65,-3.9285714285714284,-3.9285714285714284,8500
"2004-06-30T00:00:00.000Z",40.35,42,40,41.5,1.15,2.850061957868649,2.850061957868649,38500
"2004-07-01T00:00:00.000Z",41.5,42,40.6,40.65,-0.85,-2.0481927710843375,-2.0481927710843375,17500
"2004-07-02T00:00:00.000Z",40.65,42,41,41,0.35,0.8610086100861009,0.8610086100861009,70500
"2004-07-05T00:00:00.000Z",41,41.5,40.5,41.5,0.5,1.2195121951219512,1.2195121951219512,2000
"2004-07-06T00:00:00.000Z",41.5,41.7,40.2,41.5,0,0,0,2500
"2004-07-07T00:00:00.000Z",41.5,41.85,40.8,40.8,-0.7,-1.6867469879518073,-1.6867469879518073,3500
"2004-07-08T00:00:00.000Z",40.8,41.05,40.8,40.8,0,0,0,4000
"2004-07-09T00:00:00.000Z",40.8,42,40.15,40.25,-0.55,-1.3480392156862748,-1.3480392156862748,4500
"2004-07-12T00:00:00.000Z",40.25,42,40.65,40.65,0.4,0.9937888198757764,0.9937888198757764,28500
"2004-07-13T00:00:00.000Z",40.65,41,40,40.65,0,0,0,92500
"2004-07-14T00:00:00.000Z",40.65,41.25,39.95,40.95,0.3,0.7380073800738006,0.7380073800738006,22000
"2004-07-15T00:00:00.000Z",40.95,40.8,40.75,40.8,-0.15,-0.36630036630036633,-0.36630036630036633,1000
"2004-07-16T00:00:00.000Z",40.8,40.15,40,40,-0.8,-1.9607843137254906,-1.9607843137254906,2500
"2004-07-19T00:00:00.000Z",40,43,40.1,40.1,0.1,0.25,0.25,40500
"2004-07-20T00:00:00.000Z",40.1,40,40,40,-0.1,-0.24937655860349126,-0.24937655860349126,6000
"2004-07-21T00:00:00.000Z",40,41.5,40.5,40.5,0.5,1.25,1.25,8500
"2004-07-22T00:00:00.000Z",40.5,42.5,41,41.45,0.95,2.3456790123456788,2.3456790123456788,45000
"2004-07-23T00:00:00.000Z",41.45,41.25,41.2,41.25,-0.2,-0.48250904704463204,-0.48250904704463204,4000
"2004-07-26T00:00:00.000Z",41.25,42.45,41.1,41.1,-0.15,-0.36363636363636365,-0.36363636363636365,25500
"2004-07-27T00:00:00.000Z",41.1,44,41,41,-0.1,-0.24330900243309003,-0.24330900243309003,143500
"2004-07-28T00:00:00.000Z",41,41,40,40,-1,-2.4390243902439024,-2.4390243902439024,210000
"2004-07-29T00:00:00.000Z",40,42.5,40,40.95,0.95,2.375,2.375,45000
