"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",100,104,99,104,0,0,0,2100
"2004-01-02T00:00:00.000Z",104,106,101,106,2,1.9230769230769231,1.9230769230769231,300
"2004-01-05T00:00:00.000Z",106,105.5,103,105.5,-0.5,-0.4716981132075472,-0.4716981132075472,300
"2004-01-06T00:00:00.000Z",105.5,104.5,104.5,104.5,-1,-0.9478672985781991,-0.9478672985781991,0
"2004-01-07T00:00:00.000Z",104.5,105,103,105,0.5,0.4784688995215311,0.4784688995215311,200
"2004-01-08T00:00:00.000Z",105,109,105,109,4,3.8095238095238098,3.8095238095238098,300
"2004-01-09T00:00:00.000Z",109,112,108,112,3,2.7522935779816518,2.7522935779816518,300
"2004-01-12T00:00:00.000Z",112,110,108,110,-2,-1.7857142857142856,-1.7857142857142856,400
"2004-01-13T00:00:00.000Z",110,115,111,115,5,4.545454545454546,4.545454545454546,2500
"2004-01-14T00:00:00.000Z",115,115,110.1,110.1,-4.9,-4.260869565217392,-4.260869565217392,200
"2004-01-15T00:00:00.000Z",110.1,118.25,115,118.25,8.15,7.402361489554951,7.402361489554951,1700
"2004-01-16T00:00:00.000Z",118.25,121.9,117,117,-1.25,-1.0570824524312896,-1.0570824524312896,2200
"2004-01-19T00:00:00.000Z",117,120,118,118,1,0.8547008547008548,0.8547008547008548,1700
"2004-01-20T00:00:00.000Z",118,120,120,120,2,1.694915254237288,1.694915254237288,500
"2004-01-21T00:00:00.000Z",120,122,119.5,119.5,-0.5,-0.4166666666666667,-0.4166666666666667,1200
"2004-01-22T00:00:00.000Z",119.5,119,118,118,-1.5,-1.2552301255230125,-1.2552301255230125,1200
"2004-01-23T00:00:00.000Z",118,121,119,119,1,0.847457627118644,0.847457627118644,4100
"2004-01-26T00:00:00.000Z",119,120,117,118,-1,-0.8403361344537815,-0.8403361344537815,1000
"2004-01-27T00:00:00.000Z",118,118,117.95,117.95,-0.05,-0.04237288135593221,-0.04237288135593221,1100
"2004-01-28T00:00:00.000Z",117.95,117,117,117,-0.95,-0.8054260279779566,-0.8054260279779566,500
"2004-01-29T00:00:00.000Z",117,119,117,118,1,0.8547008547008548,0.8547008547008548,1300
"2004-01-30T00:00:00.000Z",118,118,117.5,117.5,-0.5,-0.423728813559322,-0.423728813559322,900
"2004-02-06T00:00:00.000Z",117.5,117,116,117,-0.5,-0.425531914893617,-0.425531914893617,2000
"2004-02-09T00:00:00.000Z",117,117,116.5,117,0,0,0,1800
"2004-02-10T00:00:00.000Z",117,119,117.5,119,2,1.7094017094017095,1.7094017094017095,800
"2004-02-11T00:00:00.000Z",119,122,118,118,-1,-0.8403361344537815,-0.8403361344537815,800
"2004-02-12T00:00:00.000Z",118,118,115,117,-1,-0.847457627118644,-0.847457627118644,4600
"2004-02-16T00:00:00.000Z",117,124,120,124,7,5.982905982905983,5.982905982905983,500
"2004-02-17T00:00:00.000Z",124,125,120,125,1,0.8064516129032258,0.8064516129032258,500
"2004-02-19T00:00:00.000Z",125,128.6,126,126,1,0.8,0.8,1400
"2004-02-24T00:00:00.000Z",123.5,124,124,124,-2,-1.5873015873015872,-1.5873015873015872,300
"2004-03-03T00:00:00.000Z",124,124.25,124.25,124.25,0.25,0.20161290322580644,0.20161290322580644,0
"2004-03-04T00:00:00.000Z",124.25,125,125,125,0.75,0.6036217303822937,0.6036217303822937,200
"2004-03-08T00:00:00.000Z",125,125,125,125,0,0,0,200
"2004-03-09T00:00:00.000Z",125,122.1,122,122.1,-2.9,-2.32,-2.32,100
"2004-03-17T00:00:00.000Z",122.1,125,125,125,2.9,2.375102375102375,2.375102375102375,500
"2004-03-18T00:00:00.000Z",125,130,125.5,130,5,4,4,150500
"2004-03-19T00:00:00.000Z",130,133,130,133,3,2.307692307692308,2.307692307692308,1300
"2004-03-22T00:00:00.000Z",133,127,126.35,127,-6,-4.511278195488721,-4.511278195488721,200
"2004-03-24T00:00:00.000Z",127,132,130,131,4,3.149606299212598,3.149606299212598,1400
"2004-03-25T00:00:00.000Z",131,137,130.5,137,6,4.580152671755725,4.580152671755725,1700
"2004-03-26T00:00:00.000Z",137,136,131.05,131.05,-5.95,-4.343065693430657,-4.343065693430657,2100
"2004-03-29T00:00:00.000Z",131.05,134.9,131.05,134.9,3.85,2.937809996184662,2.937809996184662,1400
"2004-03-30T00:00:00.000Z",134.9,135,133,134.75,-0.15,-0.1111934766493699,-0.1111934766493699,1600
"2004-03-31T00:00:00.000Z",134.75,133,133,133,-1.75,-1.2987012987012987,-1.2987012987012987,400
"2004-04-01T00:00:00.000Z",133,133.9,132.5,133.9,0.9,0.6766917293233082,0.6766917293233082,700
"2004-04-02T00:00:00.000Z",133.9,135,135,135,1.1,0.8215085884988798,0.8215085884988798,0
"2004-04-06T00:00:00.000Z",135,137,137,137,2,1.4814814814814816,1.4814814814814816,100
"2004-04-07T00:00:00.000Z",137,139,136,136,-1,-0.7299270072992701,-0.7299270072992701,600
"2004-04-08T00:00:00.000Z",136,140,140,140,4,2.941176470588235,2.941176470588235,200
"2004-04-09T00:00:00.000Z",140,137,137,137,-3,-2.142857142857143,-2.142857142857143,100
"2004-04-13T00:00:00.000Z",137,137,137,137,0,0,0,200
"2004-04-16T00:00:00.000Z",137,144,135,144,7,5.109489051094891,5.109489051094891,700
"2004-04-19T00:00:00.000Z",144,138,138,138,-6,-4.166666666666666,-4.166666666666666,100
"2004-04-20T00:00:00.000Z",138,139,137,137,-1,-0.7246376811594203,-0.7246376811594203,500
"2004-04-21T00:00:00.000Z",137,139,134,139,2,1.4598540145985401,1.4598540145985401,700
"2004-04-23T00:00:00.000Z",139,145.5,145.5,145.5,6.5,4.676258992805756,4.676258992805756,100
"2004-04-26T00:00:00.000Z",145.5,149.5,144,144,-1.5,-1.0309278350515463,-1.0309278350515463,1000
"2004-04-27T00:00:00.000Z",144,149,143,143,-1,-0.6944444444444444,-0.6944444444444444,1200
"2004-04-28T00:00:00.000Z",143,142,141,141,-2,-1.3986013986013985,-1.3986013986013985,800
"2004-04-29T00:00:00.000Z",141,140,135,135,-6,-4.25531914893617,-4.25531914893617,800
"2004-04-30T00:00:00.000Z",135,140,140,140,5,3.7037037037037033,3.7037037037037033,4000
"2004-05-04T00:00:00.000Z",140,146,145,146,6,4.285714285714286,4.285714285714286,800
"2004-05-05T00:00:00.000Z",146,148,145.5,145.5,-0.5,-0.3424657534246575,-0.3424657534246575,800
"2004-05-06T00:00:00.000Z",145.5,151.95,145,151.95,6.45,4.43298969072165,4.43298969072165,1200
"2004-05-10T00:00:00.000Z",151.95,154,151.5,154,2.05,1.3491280026324448,1.3491280026324448,600
"2004-05-11T00:00:00.000Z",154,165.55,165.55,165.55,11.55,7.500000000000001,7.500000000000001,100
"2004-05-12T00:00:00.000Z",165.55,160.5,157.6,157.6,-7.95,-4.80217456961643,-4.80217456961643,1900
"2004-05-17T00:00:00.000Z",157.6,150.1,150,150,-7.6,-4.822335025380711,-4.822335025380711,400
"2004-05-18T00:00:00.000Z",150,150,150,150,0,0,0,200
"2004-05-19T00:00:00.000Z",150,152,152,152,2,1.3333333333333335,1.3333333333333335,0
"2004-05-20T00:00:00.000Z",152,150,147,150,-2,-1.3157894736842104,-1.3157894736842104,100
"2004-05-21T00:00:00.000Z",150,152,149.95,152,2,1.3333333333333335,1.3333333333333335,100
"2004-05-25T00:00:00.000Z",152,154,154,154,2,1.3157894736842104,1.3157894736842104,800
"2004-05-26T00:00:00.000Z",154,159,157,157,3,1.948051948051948,1.948051948051948,700
"2004-05-31T00:00:00.000Z",157,155,152,153,-4,-2.547770700636943,-2.547770700636943,800
"2004-06-01T00:00:00.000Z",153,155,155,155,2,1.3071895424836601,1.3071895424836601,200
"2004-06-04T00:00:00.000Z",155,155,155,155,0,0,0,100
"2004-06-07T00:00:00.000Z",155,166.6,160,166.6,11.6,7.483870967741934,7.483870967741934,2700
"2004-06-08T00:00:00.000Z",166.6,173,170,170.5,3.9,2.34093637454982,2.34093637454982,75200
"2004-06-09T00:00:00.000Z",170.5,175,169.25,174,3.5,2.0527859237536656,2.0527859237536656,3600
"2004-06-10T00:00:00.000Z",174,173,173,173,-1,-0.5747126436781609,-0.5747126436781609,500
"2004-06-11T00:00:00.000Z",173,174,174,174,1,0.5780346820809248,0.5780346820809248,200
"2004-06-14T00:00:00.000Z",174,172,172,172,-2,-1.1494252873563218,-1.1494252873563218,0
"2004-06-18T00:00:00.000Z",172,178,174.9,174.9,2.9,1.6860465116279069,1.6860465116279069,200
"2004-06-21T00:00:00.000Z",174.9,172,166.2,166.2,-8.7,-4.974271012006861,-4.974271012006861,1600
"2004-06-22T00:00:00.000Z",166.2,166,157.9,157.9,-8.3,-4.993983152827918,-4.993983152827918,54100
"2004-06-23T00:00:00.000Z",157.9,161,154,161,3.1,1.9632678910702976,1.9632678910702976,4800
"2004-06-24T00:00:00.000Z",161,163,159.9,163,2,1.2422360248447204,1.2422360248447204,200
"2004-06-30T00:00:00.000Z",163,165,156.5,165,2,1.2269938650306749,1.2269938650306749,3300
"2004-07-01T00:00:00.000Z",165,169,168,169,4,2.4242424242424243,2.4242424242424243,600
"2004-07-05T00:00:00.000Z",169,163,163,163,-6,-3.5502958579881656,-3.5502958579881656,500
"2004-07-06T00:00:00.000Z",163,165,162,162,-1,-0.6134969325153374,-0.6134969325153374,1000
"2004-07-07T00:00:00.000Z",162,166,162,163.55,1.55,0.9567901234567902,0.9567901234567902,6700
"2004-07-08T00:00:00.000Z",163.55,163,160.25,162.75,-0.8,-0.4891470498318557,-0.4891470498318557,1100
"2004-07-13T00:00:00.000Z",162.75,158,158,158,-4.75,-2.9185867895545314,-2.9185867895545314,100
"2004-07-14T00:00:00.000Z",158,162,160,162,4,2.5316455696202533,2.5316455696202533,1000
"2004-07-19T00:00:00.000Z",162,163,160,160.05,-1.95,-1.2037037037037037,-1.2037037037037037,1300
"2004-07-20T00:00:00.000Z",160.05,170.5,166,166,5.95,3.7175882536707276,3.7175882536707276,200
"2004-07-21T00:00:00.000Z",166,175,172,175,9,5.421686746987952,5.421686746987952,1800
"2004-07-22T00:00:00.000Z",175,188,185,188,13,7.428571428571429,7.428571428571429,2200
"2004-07-23T00:00:00.000Z",188,181,180.6,180.6,-7.4,-3.9361702127659575,-3.9361702127659575,200
"2004-07-26T00:00:00.000Z",180.6,179,179,179,-1.6,-0.8859357696567001,-0.8859357696567001,200
"2004-07-27T00:00:00.000Z",179,178,175,178,-1,-0.5586592178770949,-0.5586592178770949,200
"2004-07-28T00:00:00.000Z",178,191.35,185,191.35,13.35,7.5,7.5,2600
"2004-07-29T00:00:00.000Z",191.35,205.7,195,205.7,14.35,7.49934674679906,7.49934674679906,10600
"2004-07-30T00:00:00.000Z",205.7,221,207.5,213.25,7.55,3.6703937773456494,3.6703937773456494,4200
"2004-08-02T00:00:00.000Z",213.25,209.6,206,209.6,-3.65,-1.711606096131301,-1.711606096131301,4700
"2004-08-03T00:00:00.000Z",209.6,210,207,207,-2.6,-1.2404580152671758,-1.2404580152671758,2800
"2004-08-04T00:00:00.000Z",207,207.1,207.1,207.1,0.1,0.04830917874396136,0.04830917874396136,200
"2004-08-06T00:00:00.000Z",207.1,222.6,212,222.6,15.5,7.48430709802028,7.48430709802028,800
"2004-08-09T00:00:00.000Z",222.6,226,220,220,-2.6,-1.1680143755615455,-1.1680143755615455,1700
"2004-08-10T00:00:00.000Z",220,230,220,225,5,2.272727272727273,2.272727272727273,10000
"2004-08-11T00:00:00.000Z",225,221,220,220,-5,-2.2222222222222223,-2.2222222222222223,8800
"2004-08-12T00:00:00.000Z",220,220.05,220,220,0,0,0,4700
"2004-08-13T00:00:00.000Z",220,225,221,221,1,0.45454545454545453,0.45454545454545453,11600
"2004-08-16T00:00:00.000Z",221,230,225,225.25,4.25,1.9230769230769231,1.9230769230769231,7200
"2004-08-17T00:00:00.000Z",225.25,229.5,222.1,225,-0.25,-0.11098779134295228,-0.11098779134295228,600
