"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2005-04-18T00:00:00.000Z",52.8,52.8,50.4,50.5,0,0,3356000
"2005-04-19T00:00:00.000Z",50.5,51.5,48,48,-2.5,-4.9504950495049505,3272500
"2005-04-20T00:00:00.000Z",48,50.25,45.75,49.35,1.35,2.8125,6014500
"2005-04-21T00:00:00.000Z",49.35,50.7,48.1,48.75,-0.6,-1.21580547112462,2759500
"2005-04-25T00:00:00.000Z",48.75,50.1,48.15,48.2,-0.55,-1.1282051282051282,1867000
"2005-04-26T00:00:00.000Z",48.2,49.5,47.5,49.05,0.85,1.7634854771784232,1709000
"2005-04-27T00:00:00.000Z",49.05,49.5,48.5,48.75,-0.3,-0.6116207951070336,943500
"2005-04-28T00:00:00.000Z",48.75,48.9,48.1,48.35,-0.4,-0.8205128205128205,771500
"2005-04-29T00:00:00.000Z",48.35,48.45,47.25,47.7,-0.65,-1.344364012409514,692500
"2005-05-02T00:00:00.000Z",47.7,48.45,46.65,47,-0.7,-1.4675052410901466,1182300
"2005-05-03T00:00:00.000Z",47,47.6,46.25,47.5,0.5,1.0638297872340425,1355800
"2005-05-04T00:00:00.000Z",47.5,48.1,47,47.25,-0.25,-0.5263157894736842,1060400
"2005-05-05T00:00:00.000Z",47.25,49,47.15,48.9,1.65,3.492063492063492,2701500
"2005-05-06T00:00:00.000Z",45.4,46.35,44.8,45.25,-3.65,-7.464212678936605,2361600
"2005-05-09T00:00:00.000Z",45.25,46.8,44.1,45.8,0.55,1.2154696132596687,7201500
"2005-05-10T00:00:00.000Z",45.8,46.35,45.05,45.3,-0.5,-1.091703056768559,2504800
"2005-05-11T00:00:00.000Z",45.3,45.7,44.9,45.05,-0.25,-0.5518763796909493,2131900
"2005-05-12T00:00:00.000Z",45.05,45.25,44,44.05,-1,-2.219755826859046,1990900
"2005-05-13T00:00:00.000Z",44.05,44.35,42.9,42.95,-1.1,-2.4971623155505105,1274900
"2005-05-16T00:00:00.000Z",42.95,43,40.85,40.85,-2.1,-4.8894062863795105,1548800
"2005-05-17T00:00:00.000Z",40.85,40.5,39.1,40,-0.85,-2.08078335373317,3302600
"2005-05-18T00:00:00.000Z",40,40.25,38.1,38.25,-1.75,-4.375,2314700
"2005-05-19T00:00:00.000Z",38.25,39.6,37.25,39.5,1.25,3.2679738562091507,3837000
"2005-05-20T00:00:00.000Z",39.5,39.55,38.45,38.75,-0.75,-1.89873417721519,1359000
"2005-05-23T00:00:00.000Z",38.75,38.05,36.85,36.85,-1.9,-4.903225806451612,2338100
"2005-05-24T00:00:00.000Z",36.85,37,35.35,36.65,-0.2,-0.542740841248304,2766600
"2005-05-25T00:00:00.000Z",36.65,37.85,36.4,36.65,0,0,2329300
"2005-05-26T00:00:00.000Z",36.65,37.2,35.1,35.1,-1.55,-4.229195088676672,2018000
"2005-05-27T00:00:00.000Z",35.1,36.4,34.7,35.4,0.3,0.8547008547008547,2206400
