"dates_","open_value","high_value","low_value","close_value","change_value","volume_value"
"2000-12-31T19:00:00.000Z",1511.46,1520.67,1500.68,1517.95,10.36,152402832
"2001-01-01T19:00:00.000Z",1524.65,1551.7,1517.94,1522.16,4.21,243470880
"2001-01-02T19:00:00.000Z",1517.94,1550.42,1517.94,1550.42,28.26,221411648
"2001-01-03T19:00:00.000Z",1552.91,1561.64,1546.08,1550.04,-0.38,213918640
"2001-01-04T19:00:00.000Z",1551.7,1565.67,1543.96,1545.9,-4.14,196956064
"2001-01-07T19:00:00.000Z",1546.15,1563.8,1521.77,1522.04,-23.86,221139840
"2001-01-08T19:00:00.000Z",1518.86,1530.68,1513.5,1528.31,6.27,168450752
"2001-01-09T19:00:00.000Z",1529.15,1534.94,1515.93,1529.51,1.2,136434944
"2001-01-10T19:00:00.000Z",1530.15,1530.15,1504.64,1504.8,-24.71,125994200
"2001-01-11T19:00:00.000Z",1502.98,1506.11,1468.67,1470.72,-34.08,154733424
"2001-01-14T19:00:00.000Z",1465.75,1465.75,1455.61,1456.28,-14.44,128887240
"2001-01-15T19:00:00.000Z",1453.34,1466.59,1449.41,1465.22,8.94,100846336
"2001-01-16T19:00:00.000Z",1450.6,1464.39,1448.48,1464.39,-0.83,125117104
"2001-01-17T19:00:00.000Z",1464.65,1471.56,1440.27,1444.39,-20,143128832
"2001-01-18T19:00:00.000Z",1444.68,1453.92,1438.06,1452.31,7.92,105047936
"2001-01-21T19:00:00.000Z",1458.06,1478.17,1458.06,1474.69,22.38,136473376
"2001-01-22T19:00:00.000Z",1472.2,1482.68,1470.78,1478.63,3.94,151188832
"2001-01-23T19:00:00.000Z",1478.94,1485.16,1463.85,1466.64,-11.99,139716960
"2001-01-24T19:00:00.000Z",1465.81,1470.39,1436.21,1437.21,-29.43,139272416
"2001-01-25T19:00:00.000Z",1429.46,1439.68,1410.61,1417.54,-19.67,181341024
"2001-01-28T19:00:00.000Z",1419.45,1425.23,1405.95,1408.11,-9.43,100520632
"2001-01-29T19:00:00.000Z",1406.57,1440.83,1406.51,1440.83,32.72,138836176
"2001-01-30T19:00:00.000Z",1442.53,1462.2,1438.75,1461.6,20.77,200969184
"2001-01-31T19:00:00.000Z",1465.23,1478.17,1455.33,1458.09,-3.51,170660960
"2001-02-01T19:00:00.000Z",1457.84,1479.68,1456.75,1478.96,20.87,101529184
"2001-02-05T19:00:00.000Z",1479.83,1498.19,1478.96,1485.93,6.97,134993136
"2001-02-06T19:00:00.000Z",1485.83,1491.29,1477.46,1485.38,-0.55,127249400
"2001-02-07T19:00:00.000Z",1485.47,1497.43,1485.38,1488.59,3.21,132395936
"2001-02-08T19:00:00.000Z",1488.59,1498.29,1485.05,1496.94,8.35,98402096
"2001-02-11T19:00:00.000Z",1506.39,1529.56,1506.39,1522.18,25.24,191015792
"2001-02-12T19:00:00.000Z",1523.75,1527.33,1501.68,1501.84,-20.34,129028048
"2001-02-13T19:00:00.000Z",1502.23,1513.71,1499.92,1509.51,7.67,140720384
"2001-02-14T19:00:00.000Z",1512.04,1517.95,1502.42,1503.97,-5.54,174661280
"2001-02-15T19:00:00.000Z",1502.43,1513.71,1499.64,1512.83,8.86,104380176
"2001-02-18T19:00:00.000Z",1515.57,1519.35,1506.57,1511.61,-1.22,174048656
"2001-02-19T19:00:00.000Z",1509.06,1516.81,1487.45,1491.83,-19.78,181756352
"2001-02-20T19:00:00.000Z",1493.39,1495.81,1463.56,1488.03,-3.8,275235456
"2001-02-21T19:00:00.000Z",1491.68,1491.68,1465.59,1468.88,-19.15,200204256
"2001-02-22T19:00:00.000Z",1464.93,1464.93,1433.48,1440.43,-28.45,129691936
"2001-02-25T19:00:00.000Z",1428.7,1428.7,1417.34,1430.36,-10.07,120919824
"2001-02-26T19:00:00.000Z",1434.66,1440.81,1424.14,1438.15,7.79,156512544
"2001-02-27T19:00:00.000Z",1436.66,1436.66,1419.31,1423.18,-14.97,129125832
"2001-02-28T19:00:00.000Z",1418.1,1430.88,1415.51,1425.76,2.58,97604392
"2001-03-01T19:00:00.000Z",1423.4,1430.88,1415.51,1433.03,7.27,183482640
"2001-03-08T19:00:00.000Z",1432.23,1439.38,1412.31,1419.72,-13.31,118771344
"2001-03-11T19:00:00.000Z",1418.83,1423.97,1407.06,1421.22,1.5,96941560
"2001-03-12T19:00:00.000Z",1419.57,1421.22,1393.92,1406.56,-14.66,106537056
"2001-03-13T19:00:00.000Z",1405.66,1414.45,1398.07,1401.06,-5.5,106184840
"2001-03-14T19:00:00.000Z",1399.61,1407.48,1387.93,1390.06,-11,108670704
"2001-03-15T19:00:00.000Z",1392.15,1399.61,1385.41,1396.29,6.23,45011440
"2001-03-18T19:00:00.000Z",1398.56,1401.8,1386.51,1390.64,-5.65,46847560
"2001-03-19T19:00:00.000Z",1389.19,1394.23,1387.46,1391.51,0.87,45484740
"2001-03-20T19:00:00.000Z",1393.7,1394.43,1378.82,1380.27,-11.24,66966940
"2001-03-21T19:00:00.000Z",1380.17,1380.17,1343.81,1350.92,-29.35,128153080
"2001-03-25T19:00:00.000Z",1345,1350.92,1329.68,1330.45,-20.47,90428896
"2001-03-26T19:00:00.000Z",1330.43,1354.69,1323.81,1353.75,23.3,117652568
"2001-03-27T19:00:00.000Z",1355.06,1355.06,1340.43,1340.76,-12.99,103386808
"2001-03-28T19:00:00.000Z",1341,1342.48,1316.39,1324.36,-16.4,114688656
"2001-03-29T19:00:00.000Z",1320.22,1334.75,1316.43,1324.41,0.05,97667760
"2001-04-01T19:00:00.000Z",1323.55,1339.9,1321.79,1338.01,13.6,58213300
"2001-04-02T19:00:00.000Z",1342.48,1348.9,1325.56,1329.17,-8.84,116433136
"2001-04-05T19:00:00.000Z",1327.96,1330.68,1319.66,1322.81,-6.36,77638592
"2001-04-08T19:00:00.000Z",1327.96,1335.47,1316.66,1333.06,10.25,105847400
"2001-04-09T19:00:00.000Z",1331.79,1338.57,1324.4,1325.7,-7.36,69088760
"2001-04-10T19:00:00.000Z",1325.06,1333.88,1324.29,1327.43,1.73,46774920
"2001-04-11T19:00:00.000Z",1326.7,1354,1323.17,1353.88,26.45,130918080
"2001-04-12T19:00:00.000Z",1349.31,1372.51,1348.65,1371.71,17.83,144915872
"2001-04-15T19:00:00.000Z",1376.2,1390.22,1375.68,1382.08,10.37,132259088
"2001-04-16T19:00:00.000Z",1382.11,1396.38,1377.64,1390.48,8.4,122096496
"2001-04-17T19:00:00.000Z",1390.3,1394.52,1380.2,1389.14,-1.34,80999264
"2001-04-18T19:00:00.000Z",1389.58,1406.47,1369.84,1370.13,-19.01,178778976
"2001-04-19T19:00:00.000Z",1371.27,1399.28,1371.27,1387.72,17.59,173052976
"2001-04-22T19:00:00.000Z",1388.57,1403.56,1387.72,1393.16,5.44,96736288
"2001-04-23T19:00:00.000Z",1394.05,1396.16,1375.56,1377.76,-15.4,107410352
"2001-04-24T19:00:00.000Z",1377.01,1384.71,1369.55,1378.32,0.56,113616440
"2001-04-25T19:00:00.000Z",1380.82,1384.44,1377.55,1380.95,2.63,59777488
"2001-04-26T19:00:00.000Z",1381.06,1384.31,1360.39,1364.44,-16.51,124351880
"2001-04-29T19:00:00.000Z",1364.6,1369.45,1356.82,1367.05,2.61,60391760
"2001-05-01T19:00:00.000Z",1368.66,1378.01,1368.66,1378.01,10.96,62291900
"2001-05-02T19:00:00.000Z",1378.85,1381.45,1371.92,1374.31,-3.7,48870020
"2001-05-03T19:00:00.000Z",1373.98,1374.15,1362.95,1370.79,-3.52,57555680
"2001-05-06T19:00:00.000Z",1373.84,1378.02,1371.15,1377.84,7.05,36633088
"2001-05-07T19:00:00.000Z",1376.57,1376.57,1359.65,1359.65,-18.19,67294168
"2001-05-08T19:00:00.000Z",1359.31,1360.23,1343.17,1348.93,-10.72,85329880
"2001-05-09T19:00:00.000Z",1348.93,1351.79,1342.13,1347.76,-1.17,45601540
"2001-05-10T19:00:00.000Z",1347.56,1348.55,1340.05,1346.65,-1.11,50472520
"2001-05-13T19:00:00.000Z",1347.56,1350.56,1335.16,1339.94,-6.71,35264920
"2001-05-14T19:00:00.000Z",1340.14,1343.4,1334.31,1339.61,-0.33,36491760
"2001-05-15T19:00:00.000Z",1339.82,1367.52,1339.82,1366.53,26.92,139996832
"2001-05-16T19:00:00.000Z",1365.88,1375.4,1363.07,1371.92,5.39,100827696
"2001-05-17T19:00:00.000Z",1376.65,1378.18,1361.27,1362.41,-9.51,101622224
"2001-05-20T19:00:00.000Z",1362.18,1374.31,1362.18,1373.75,11.34,43012632
"2001-05-21T19:00:00.000Z",1374.01,1375.65,1358.93,1359.02,-14.73,48375352
"2001-05-22T19:00:00.000Z",1357.97,1359.6,1342.96,1343.79,-15.23,80218360
"2001-05-23T19:00:00.000Z",1345.1,1359.1,1345.1,1357.93,14.14,77815712
"2001-05-24T19:00:00.000Z",1357.06,1359.43,1347.17,1349.6,-8.33,57601000
"2001-05-27T19:00:00.000Z",1348.57,1362.19,1348.05,1359.5,9.9,23816080
"2001-05-28T19:00:00.000Z",1359.36,1371.1,1356.82,1367.43,7.93,55955000
"2001-05-29T19:00:00.000Z",1370.69,1377.47,1366,1374.98,7.55,81830400
"2001-05-30T19:00:00.000Z",1374.71,1378.61,1369.76,1377.61,2.63,73061368
"2001-05-31T19:00:00.000Z",1379.55,1388.68,1379.04,1381.83,4.22,83339768
"2001-06-03T19:00:00.000Z",1394.07,1415.76,1392.98,1415.76,33.93,139650368
"2001-06-04T19:00:00.000Z",1415,1420.73,1378.46,1379.45,-36.31,190374736
"2001-06-05T19:00:00.000Z",1416.04,1420.72,1378.45,1379.44,-0.01,190374736
"2001-06-06T19:00:00.000Z",1378.31,1388.13,1368.19,1374.86,-4.58,190374736
"2001-06-07T19:00:00.000Z",1376.22,1378.19,1362.11,1367.3,-7.56,100570464
"2001-06-10T19:00:00.000Z",1368.05,1380.81,1366.42,1379.79,12.49,72452464
"2001-06-11T19:00:00.000Z",1377.68,1383.28,1375.41,1379.47,-0.32,70512280
"2001-06-12T19:00:00.000Z",1379.08,1384.57,1377.19,1384.32,4.85,45226340
"2001-06-13T19:00:00.000Z",1386.58,1390.09,1380.63,1380.67,-3.65,71167440
"2001-06-14T19:00:00.000Z",1380.65,1390.61,1378.22,1390.06,9.39,79618800
"2001-06-17T19:00:00.000Z",1393.59,1397.29,1386.93,1390.18,0.12,57332500
"2001-06-18T19:00:00.000Z",1387.89,1387.89,1360.56,1361.56,-28.62,92893984
"2001-06-19T19:00:00.000Z",1360.96,1370.1,1342.93,1368.85,7.29,93825520
"2001-06-20T19:00:00.000Z",1370.21,1372.67,1347.05,1351.16,-17.69,92132488
"2001-06-21T19:00:00.000Z",1351.13,1353.84,1343.8,1353.16,2,63802380
"2001-06-24T19:00:00.000Z",1353.63,1360.82,1351.77,1355.28,2.12,36490020
"2001-06-25T19:00:00.000Z",1353.81,1358.31,1346.78,1355.33,0.05,45433072
"2001-06-26T19:00:00.000Z",1355.67,1363.81,1351.25,1362.77,7.44,53219552
"2001-06-27T19:00:00.000Z",1362.81,1370.53,1358.81,1368.96,6.19,66814368
"2001-06-28T19:00:00.000Z",1368.96,1374.32,1362.92,1366.43,-2.53,43880420
"2001-07-02T19:00:00.000Z",1362.18,1362.18,1334.48,1334.48,-31.95,96283072
"2001-07-03T19:00:00.000Z",1334.67,1346.72,1333.67,1337.45,2.97,61152808
"2001-07-04T19:00:00.000Z",1338.75,1341.7,1314.21,1320.71,-16.74,88053288
"2001-07-05T19:00:00.000Z",1320.78,1321.89,1304.3,1306.29,-14.42,48425560
"2001-07-08T19:00:00.000Z",1310.95,1319.07,1300.19,1300.19,-6.1,58910968
"2001-07-09T19:00:00.000Z",1300.52,1309.18,1296.41,1297.91,-2.28,77446224
"2001-07-10T19:00:00.000Z",1297.21,1315.77,1287.79,1311.76,13.85,77446224
"2001-07-11T19:00:00.000Z",1311.76,1319.83,1303.09,1319.83,8.07,66004072
"2001-07-12T19:00:00.000Z",1315.55,1324.01,1307.18,1312.1,-7.73,66286660
"2001-07-15T19:00:00.000Z",1315.1,1321.78,1313.63,1314.76,2.66,29743880
"2001-07-16T19:00:00.000Z",1314.41,1314.41,1279.46,1288.27,-26.49,77521432
"2001-07-17T19:00:00.000Z",1289.11,1291.92,1283.71,1290.17,1.9,32505740
"2001-07-18T19:00:00.000Z",1289.41,1295.88,1281.04,1283.81,-6.36,30701540
"2001-07-19T19:00:00.000Z",1283.57,1283.57,1258.81,1260.58,-23.23,72132640
"2001-07-22T19:00:00.000Z",1260.05,1262.52,1247.34,1261.93,1.35,45292600
"2001-07-23T19:00:00.000Z",1262.27,1278.29,1260.35,1276.8,14.87,53757248
"2001-07-24T19:00:00.000Z",1276.59,1277.46,1258.59,1258.76,-18.04,43258980
"2001-07-25T19:00:00.000Z",1258.18,1258.6,1246.55,1252.21,-6.55,60685980
"2001-07-26T19:00:00.000Z",1251.6,1252.85,1239.77,1242.83,-9.38,40884040
"2001-07-29T19:00:00.000Z",1241.9,1242.88,1231.51,1240.58,-2.25,44283440
"2001-07-30T19:00:00.000Z",1241.96,1244.38,1224.01,1228.89,-11.69,53554408
"2001-07-31T19:00:00.000Z",1227.57,1247.51,1227.11,1247.51,18.62,56883600
"2001-08-01T19:00:00.000Z",1245.73,1250.23,1240.95,1248.18,0.67,73075696
"2001-08-02T19:00:00.000Z",1252.39,1256.64,1243.13,1252.58,4.4,75308416
"2001-08-05T19:00:00.000Z",1254.07,1259.94,1241.26,1241.43,-11.15,67597480
"2001-08-06T19:00:00.000Z",1240.64,1248.18,1235.42,1246.44,5.01,51546712
"2001-08-07T19:00:00.000Z",1245.91,1246.31,1232.21,1234.09,-12.35,56719440
"2001-08-08T19:00:00.000Z",1231.75,1234.95,1222.48,1223,-11.09,55278680
"2001-08-09T19:00:00.000Z",1222.72,1227.94,1210.81,1226.84,3.84,71252016
"2001-08-12T19:00:00.000Z",1226.84,1257.46,1226.84,1256.81,29.97,100451936
"2001-08-14T19:00:00.000Z",1257.71,1278.5,1257.71,1267.8,10.99,142705216
"2001-08-15T19:00:00.000Z",1268.05,1291.76,1268.05,1290.75,22.95,117399240
"2001-08-16T19:00:00.000Z",1290.31,1300.8,1282.36,1290.25,-0.5,110109184
"2001-08-19T19:00:00.000Z",1285.09,1291.06,1276.97,1281.55,-8.7,92247504
"2001-08-20T19:00:00.000Z",1282.92,1283.46,1267.06,1283.38,1.83,84089440
"2001-08-21T19:00:00.000Z",1283.52,1286.58,1271.67,1274.59,-8.79,83036552
"2001-08-22T19:00:00.000Z",1273.96,1276.25,1264.25,1265.13,-9.46,61604280
"2001-08-23T19:00:00.000Z",1264.93,1272.01,1260.35,1268.61,3.48,52131040
"2001-08-26T19:00:00.000Z",1272.08,1274.43,1267.42,1270.41,1.8,32131400
