"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",23.5,23.9,23.2,23.7,0,0,348500
"2004-01-02T00:00:00.000Z",23.7,24,23.5,23.5,-0.2,-0.8438818565400845,221500
"2004-01-05T00:00:00.000Z",23.5,24.1,23.65,23.8,0.3,1.276595744680851,424500
"2004-01-06T00:00:00.000Z",23.8,24.35,23.4,24.1,0.3,1.2605042016806722,343000
"2004-01-07T00:00:00.000Z",24.1,25.9,24.25,25.15,1.05,4.356846473029046,1761000
"2004-01-08T00:00:00.000Z",25.15,26.3,25,26,0.85,3.3797216699801194,4602000
"2004-01-09T00:00:00.000Z",26,27.8,25.6,27.75,1.75,6.730769230769231,1886500
"2004-01-12T00:00:00.000Z",27.75,28.5,27.55,27.7,-0.05,-0.18018018018018017,1054000
"2004-01-13T00:00:00.000Z",27.7,28.3,27.05,27.75,0.05,0.18050541516245489,434500
"2004-01-14T00:00:00.000Z",27.75,28,27,27,-0.75,-2.7027027027027026,275500
"2004-01-15T00:00:00.000Z",27,27.45,25.8,25.85,-1.15,-4.2592592592592595,235500
"2004-01-16T00:00:00.000Z",25.85,27.15,26,27.05,1.2,4.6421663442940035,526500
"2004-01-19T00:00:00.000Z",27.05,28.2,27.3,27.75,0.7,2.587800369685767,667000
"2004-01-20T00:00:00.000Z",27.75,29,26.9,28.95,1.2,4.324324324324324,1002500
"2004-01-21T00:00:00.000Z",28.95,29.7,28.85,29.7,0.75,2.590673575129534,834000
"2004-01-22T00:00:00.000Z",29.7,31.1,29.5,30,0.3,1.01010101010101,844500
"2004-01-23T00:00:00.000Z",30,31.25,29.8,31,1,3.3333333333333335,770000
"2004-01-26T00:00:00.000Z",31,32.75,30.75,31.45,0.45,1.4516129032258065,914500
"2004-01-27T00:00:00.000Z",31.45,32.25,31.55,32,0.55,1.7488076311605725,275000
"2004-01-28T00:00:00.000Z",32,34.4,31.65,34.4,2.4,7.5,1676500
"2004-01-29T00:00:00.000Z",34.4,36.95,34.8,36.95,2.55,7.412790697674416,1577000
"2004-01-30T00:00:00.000Z",36.95,39.6,37.5,38.75,1.8,4.871447902571042,1120500
"2004-02-06T00:00:00.000Z",38.75,39.5,37.85,38,-0.75,-1.935483870967742,792500
"2004-02-09T00:00:00.000Z",38,38.5,36.65,37,-1,-2.631578947368421,837500
"2004-02-10T00:00:00.000Z",37,39.45,36.5,38.5,1.5,4.054054054054054,754500
"2004-02-11T00:00:00.000Z",38.5,40.2,38.1,40.2,1.7,4.415584415584416,1240500
"2004-02-12T00:00:00.000Z",40.2,40,38.25,38.75,-1.45,-3.606965174129353,322000
"2004-02-13T00:00:00.000Z",38.75,40.1,38.65,40,1.25,3.225806451612903,461000
"2004-02-16T00:00:00.000Z",40,40.5,38.25,38.75,-1.25,-3.125,331500
"2004-02-17T00:00:00.000Z",38.75,38.7,37.5,37.9,-0.85,-2.193548387096774,566500
"2004-02-18T00:00:00.000Z",37.9,38.9,37.95,38.5,0.6,1.58311345646438,284000
"2004-02-19T00:00:00.000Z",38.5,39.25,38.5,38.55,0.05,0.12987012987012986,246000
"2004-02-20T00:00:00.000Z",38.55,38.45,37.5,37.75,-0.8,-2.0752269779507135,230000
"2004-02-23T00:00:00.000Z",37.75,38.5,36.5,37.25,-0.5,-1.3245033112582782,273000
"2004-02-24T00:00:00.000Z",37.25,38.75,36.6,38.55,1.3,3.4899328859060406,398000
"2004-02-25T00:00:00.000Z",38.55,39,38,38.5,-0.05,-0.1297016861219196,156500
"2004-02-26T00:00:00.000Z",38.5,39.2,38.25,38.3,-0.2,-0.5194805194805194,360000
"2004-02-27T00:00:00.000Z",38.3,39.75,38.35,39.6,1.3,3.394255874673629,470000
"2004-03-03T00:00:00.000Z",39.6,39.95,38.6,38.6,-1,-2.525252525252525,84500
"2004-03-04T00:00:00.000Z",38.6,40.75,38.7,39.95,1.35,3.4974093264248705,872500
"2004-03-05T00:00:00.000Z",39.95,40.85,39.5,39.75,-0.2,-0.5006257822277848,189000
"2004-03-08T00:00:00.000Z",39.75,39.9,38.5,38.75,-1,-2.515723270440252,830500
"2004-03-09T00:00:00.000Z",38.75,39,37.8,38.5,-0.25,-0.6451612903225806,191500
"2004-03-10T00:00:00.000Z",38.5,39.5,38.1,38.25,-0.25,-0.6493506493506493,46000
"2004-03-11T00:00:00.000Z",38.25,38.6,37.8,37.9,-0.35,-0.915032679738562,69500
"2004-03-12T00:00:00.000Z",37.9,39.9,38.35,39.5,1.6,4.221635883905014,913000
"2004-03-15T00:00:00.000Z",39.5,40.8,39.25,40,0.5,1.2658227848101267,899000
"2004-03-16T00:00:00.000Z",40,41.45,40.05,40.05,0.05,0.125,138000
"2004-03-17T00:00:00.000Z",40.05,40.25,39.55,39.75,-0.3,-0.7490636704119851,64000
"2004-03-18T00:00:00.000Z",39.75,40.7,39.25,39.75,0,0,1169000
"2004-03-19T00:00:00.000Z",39.75,40.7,40,40.45,0.7,1.7610062893081762,329000
"2004-03-22T00:00:00.000Z",40.45,40.6,39.5,39.75,-0.7,-1.73053152039555,102000
"2004-03-24T00:00:00.000Z",39.75,40.4,39.55,40,0.25,0.628930817610063,233500
"2004-03-25T00:00:00.000Z",40,41.4,40.25,40.75,0.75,1.875,825500
"2004-03-26T00:00:00.000Z",40.75,41.45,40.3,40.3,-0.45,-1.1042944785276074,488000
"2004-03-29T00:00:00.000Z",40.3,42,40.9,41.35,1.05,2.6054590570719602,1149500
"2004-03-30T00:00:00.000Z",41.35,42.95,41.5,41.85,0.5,1.2091898428053205,615000
"2004-03-31T00:00:00.000Z",41.85,44,42,43.7,1.85,4.4205495818399045,1398000
"2004-04-01T00:00:00.000Z",43.7,46.95,43.5,46.55,2.85,6.521739130434784,1737500
"2004-04-02T00:00:00.000Z",46.55,47,44.25,45,-1.55,-3.3297529538131045,567000
"2004-04-05T00:00:00.000Z",45,46.4,44.65,45.8,0.8,1.7777777777777777,474000
"2004-04-06T00:00:00.000Z",45.8,46,43.55,44.8,-1,-2.183406113537118,146500
"2004-04-07T00:00:00.000Z",44.8,48.15,44.5,46.8,2,4.464285714285714,1748500
"2004-04-08T00:00:00.000Z",46.8,48.35,46.5,46.5,-0.3,-0.641025641025641,208000
"2004-04-09T00:00:00.000Z",46.5,47.45,45,46.35,-0.15,-0.3225806451612903,238000
"2004-04-12T00:00:00.000Z",46.35,49.25,47,49,2.65,5.717367853290183,470500
"2004-04-13T00:00:00.000Z",49,52,48.15,50,1,2.0408163265306123,1424000
"2004-04-14T00:00:00.000Z",50,51.5,49,49.5,-0.5,-1,532000
"2004-04-15T00:00:00.000Z",49.5,50.55,48.5,49.5,0,0,1069500
"2004-04-16T00:00:00.000Z",49.5,51.65,49.3,51.5,2,4.040404040404041,1696000
"2004-04-19T00:00:00.000Z",51.5,51.7,50,50.1,-1.4,-2.7184466019417477,334500
"2004-04-20T00:00:00.000Z",50.1,51,48.75,49.95,-0.15,-0.2994011976047904,211500
"2004-04-21T00:00:00.000Z",49.95,50.1,47.5,47.5,-2.45,-4.904904904904905,229000
"2004-04-22T00:00:00.000Z",47.5,47.5,45.2,46.5,-1,-2.1052631578947367,24000
"2004-04-23T00:00:00.000Z",46.5,48,44.4,45,-1.5,-3.225806451612903,271500
"2004-04-26T00:00:00.000Z",45,48.25,44,45,0,0,107000
"2004-04-27T00:00:00.000Z",45,46.6,45.1,46,1,2.2222222222222223,140500
"2004-04-28T00:00:00.000Z",46,45,43.7,43.7,-2.3,-5,166500
"2004-04-29T00:00:00.000Z",43.7,46.4,41.55,46.4,2.7,6.1784897025171635,774000
"2004-04-30T00:00:00.000Z",46.4,49.7,47,47.55,1.15,2.4784482758620685,1845000
"2004-05-04T00:00:00.000Z",47.55,48.95,47.05,48.15,0.6,1.2618296529968454,48500
"2004-05-05T00:00:00.000Z",48.15,49.4,46.8,48.65,0.5,1.0384215991692627,224500
"2004-05-06T00:00:00.000Z",48.65,50.5,48.5,49,0.35,0.7194244604316546,1263000
"2004-05-07T00:00:00.000Z",49,49.5,47.7,48.25,-0.75,-1.530612244897959,70500
"2004-05-10T00:00:00.000Z",48.25,49,47.5,48.25,0,0,79000
"2004-05-11T00:00:00.000Z",48.25,50,48,49.75,1.5,3.1088082901554404,268000
"2004-05-12T00:00:00.000Z",49.75,49.45,47.3,48.9,-0.85,-1.7085427135678393,147500
"2004-05-13T00:00:00.000Z",48.9,48.95,47,48.5,-0.4,-0.81799591002045,164000
"2004-05-14T00:00:00.000Z",48.5,51.85,48.65,51.8,3.3,6.804123711340206,863000
"2004-05-17T00:00:00.000Z",51.8,52.1,49.5,51.3,-0.5,-0.9652509652509652,291500
"2004-05-18T00:00:00.000Z",51.3,50.45,49.65,49.65,-1.65,-3.216374269005848,139000
"2004-05-19T00:00:00.000Z",49.65,51.5,48.9,50.5,0.85,1.7119838872104733,261500
"2004-05-20T00:00:00.000Z",50.5,52.2,50.4,50.95,0.45,0.8910891089108912,852500
"2004-05-21T00:00:00.000Z",50.95,53,50.75,53,2.05,4.023552502453385,733000
"2004-05-24T00:00:00.000Z",53,55.8,53.75,55,2,3.7735849056603774,2070500
"2004-05-25T00:00:00.000Z",55,57.75,53.65,56.9,1.9,3.4545454545454546,8942500
"2004-05-26T00:00:00.000Z",56.9,57.9,55.9,56.25,-0.65,-1.1423550087873462,2023000
"2004-05-27T00:00:00.000Z",56.25,58.1,56,57.9,1.65,2.933333333333333,3201500
"2004-05-28T00:00:00.000Z",57.9,58.7,57.3,57.3,-0.6,-1.0362694300518136,927500
"2004-05-31T00:00:00.000Z",57.3,57,56.4,56.95,-0.35,-0.6108202443280977,211500
