"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",79.4,85.35,80.9,85.35,0,0,0,50600
"2004-01-02T00:00:00.000Z",85.35,89,84.1,85.05,-0.3,-0.351493848857645,-0.351493848857645,8100
"2004-01-05T00:00:00.000Z",85.05,91,86,87.5,2.45,2.880658436213992,2.880658436213992,13200
"2004-01-06T00:00:00.000Z",87.5,87,84,87,-0.5,-0.5714285714285714,-0.5714285714285714,7700
"2004-01-07T00:00:00.000Z",87,90,86.5,86.5,-0.5,-0.5747126436781609,-0.5747126436781609,6700
"2004-01-08T00:00:00.000Z",86.5,90,83.75,85,-1.5,-1.7341040462427744,-1.7341040462427744,14300
"2004-01-09T00:00:00.000Z",85,87,84,85.5,0.5,0.5882352941176471,0.5882352941176471,20500
"2004-01-12T00:00:00.000Z",85.5,86.5,85.75,85.75,0.25,0.29239766081871343,0.29239766081871343,7400
"2004-01-13T00:00:00.000Z",85.75,87,84,85,-0.75,-0.8746355685131195,-0.8746355685131195,7000
"2004-01-14T00:00:00.000Z",85,84.5,83,84.5,-0.5,-0.5882352941176471,-0.5882352941176471,10000
"2004-01-15T00:00:00.000Z",84.5,85.95,83,83.5,-1,-1.183431952662722,-1.183431952662722,12600
"2004-01-16T00:00:00.000Z",83.5,83.5,82,83.5,0,0,0,12200
"2004-01-19T00:00:00.000Z",83.5,86,83,85.5,2,2.3952095808383236,2.3952095808383236,28400
"2004-01-20T00:00:00.000Z",85.5,85.5,84.4,85,-0.5,-0.5847953216374269,-0.5847953216374269,5300
"2004-01-21T00:00:00.000Z",85,85.95,84.5,84.5,-0.5,-0.5882352941176471,-0.5882352941176471,6700
"2004-01-22T00:00:00.000Z",84.5,89,83.5,84,-0.5,-0.591715976331361,-0.591715976331361,5200
"2004-01-23T00:00:00.000Z",84,83.8,83.5,83.5,-0.5,-0.5952380952380952,-0.5952380952380952,1000
"2004-01-26T00:00:00.000Z",83.5,83,81,81,-2.5,-2.9940119760479043,-2.9940119760479043,5200
"2004-01-27T00:00:00.000Z",81,83,82.5,82.6,1.6,1.9753086419753085,1.9753086419753085,2700
"2004-01-28T00:00:00.000Z",82.6,82.5,81.55,82.5,-0.1,-0.12106537530266344,-0.12106537530266344,9000
"2004-01-29T00:00:00.000Z",82.5,83.5,82.55,82.55,0.05,0.06060606060606061,0.06060606060606061,1000
"2004-01-30T00:00:00.000Z",82.55,83.65,82.25,82.25,-0.3,-0.36341611144760755,-0.36341611144760755,1900
"2004-02-06T00:00:00.000Z",82.25,85,84,84,1.75,2.127659574468085,2.127659574468085,600
"2004-02-09T00:00:00.000Z",84,82,81.5,82,-2,-2.380952380952381,-2.380952380952381,1900
"2004-02-10T00:00:00.000Z",82,82,81.15,81.15,-0.85,-1.0365853658536586,-1.0365853658536586,1400
"2004-02-11T00:00:00.000Z",81.15,82,81,81,-0.15,-0.18484288354898334,-0.18484288354898334,8800
"2004-02-12T00:00:00.000Z",81,81.05,79.9,80,-1,-1.2345679012345678,-1.2345679012345678,1500
"2004-02-13T00:00:00.000Z",80,80.05,78.05,79,-1,-1.25,-1.25,8000
"2004-02-16T00:00:00.000Z",79,80.95,80,80.1,1.1,1.3924050632911393,1.3924050632911393,6100
"2004-02-17T00:00:00.000Z",80.1,80.25,77.8,79.95,-0.15,-0.18726591760299624,-0.18726591760299624,4200
"2004-02-18T00:00:00.000Z",79.95,80.9,79.6,80.9,0.95,1.1882426516572857,1.1882426516572857,10600
"2004-02-19T00:00:00.000Z",80.9,80.5,80,80.5,-0.4,-0.4944375772558714,-0.4944375772558714,4000
"2004-02-20T00:00:00.000Z",80.5,80,78.1,78.1,-2.4,-2.981366459627329,-2.981366459627329,6000
"2004-02-23T00:00:00.000Z",78.1,80,77.5,78.5,0.4,0.5121638924455827,0.5121638924455827,19800
"2004-02-24T00:00:00.000Z",78.5,79.05,78.5,78.5,0,0,0,6400
"2004-02-25T00:00:00.000Z",78.5,79.5,79,79,0.5,0.6369426751592357,0.6369426751592357,1700
"2004-02-26T00:00:00.000Z",79,79.1,79.1,79.1,0.1,0.12658227848101267,0.12658227848101267,1000
"2004-02-27T00:00:00.000Z",79.1,79.5,79,79,-0.1,-0.12642225031605564,-0.12642225031605564,1600
"2004-03-03T00:00:00.000Z",79,80,79,79,0,0,0,6800
"2004-03-04T00:00:00.000Z",79,78.75,78.55,78.6,-0.4,-0.5063291139240507,-0.5063291139240507,1600
"2004-03-05T00:00:00.000Z",78.6,80,78.1,79,0.4,0.5089058524173028,0.5089058524173028,8500
"2004-03-08T00:00:00.000Z",79,79.75,78.5,79.5,0.5,0.6329113924050633,0.6329113924050633,24100
"2004-03-09T00:00:00.000Z",79.5,81.25,79.5,81.25,1.75,2.20125786163522,2.20125786163522,12800
"2004-03-10T00:00:00.000Z",81.25,81.9,80,81.9,0.65,0.8,0.8,25000
"2004-03-11T00:00:00.000Z",81.9,80.1,79.5,79.8,-2.1,-2.5641025641025643,-2.5641025641025643,7100
"2004-03-12T00:00:00.000Z",79.8,80,79.5,80,0.2,0.25062656641604014,0.25062656641604014,11900
"2004-03-15T00:00:00.000Z",80,81.75,79.6,81,1,1.25,1.25,4100
"2004-03-16T00:00:00.000Z",81,87,81.25,87,6,7.4074074074074066,7.4074074074074066,199000
"2004-03-17T00:00:00.000Z",84.99,85.5,81.75,83,-4,-4.597701149425287,-4.597701149425287,58000
"2004-03-18T00:00:00.000Z",83,83.8,82.05,82.05,-0.95,-1.144578313253012,-1.144578313253012,19800
"2004-03-19T00:00:00.000Z",82.05,84,81.5,83.5,1.45,1.7672151127361364,1.7672151127361364,53600
