"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",15.5,15.4,15.1,15.25,0,0,0,19500
"2004-01-02T00:00:00.000Z",15.25,15.5,15.4,15.4,0.15,0.983606557377049,0.983606557377049,23000
"2004-01-05T00:00:00.000Z",15.4,15.4,14.8,14.95,-0.45,-2.9220779220779223,-2.9220779220779223,34000
"2004-01-06T00:00:00.000Z",14.95,15,14.9,14.9,-0.05,-0.33444816053511706,-0.33444816053511706,11500
"2004-01-07T00:00:00.000Z",14.9,15.3,15,15.2,0.3,2.0134228187919465,2.0134228187919465,16000
"2004-01-08T00:00:00.000Z",15.2,16,15.5,15.8,0.6,3.9473684210526314,3.9473684210526314,212000
"2004-01-09T00:00:00.000Z",15.8,15.85,15.5,15.85,0.05,0.31645569620253167,0.31645569620253167,60000
"2004-01-12T00:00:00.000Z",15.85,15.9,15.7,15.9,0.05,0.3154574132492114,0.3154574132492114,89500
"2004-01-13T00:00:00.000Z",15.9,15.8,15.75,15.75,-0.15,-0.9433962264150944,-0.9433962264150944,23500
"2004-01-14T00:00:00.000Z",15.75,16.1,15.7,15.9,0.15,0.9523809523809523,0.9523809523809523,96500
"2004-01-15T00:00:00.000Z",15.9,16.25,15.75,16,0.1,0.628930817610063,0.628930817610063,29000
"2004-01-16T00:00:00.000Z",16,16.1,15.65,15.65,-0.35,-2.1875,-2.1875,41500
"2004-01-19T00:00:00.000Z",15.65,15.8,15.6,15.75,0.1,0.6389776357827477,0.6389776357827477,30500
"2004-01-20T00:00:00.000Z",15.75,16.25,15.4,16.25,0.5,3.1746031746031744,3.1746031746031744,68000
"2004-01-21T00:00:00.000Z",16.25,16.5,15.85,16.5,0.25,1.5384615384615385,1.5384615384615385,100500
"2004-01-22T00:00:00.000Z",16.5,17,16.05,17,0.5,3.0303030303030303,3.0303030303030303,150000
"2004-01-23T00:00:00.000Z",17,17,16,16.6,-0.4,-2.3529411764705883,-2.3529411764705883,104000
"2004-01-26T00:00:00.000Z",16.6,16.7,16.25,16.25,-0.35,-2.108433734939759,-2.108433734939759,28500
"2004-01-27T00:00:00.000Z",16.25,16.6,16.25,16.25,0,0,0,82000
"2004-01-28T00:00:00.000Z",16.25,16.6,16.3,16.5,0.25,1.5384615384615385,1.5384615384615385,20500
"2004-01-29T00:00:00.000Z",16.5,16.8,16.5,16.5,0,0,0,36500
"2004-01-30T00:00:00.000Z",16.5,16.75,16.2,16.55,0.05,0.30303030303030304,0.30303030303030304,17000
"2004-02-06T00:00:00.000Z",16.55,16.55,16.1,16.1,-0.45,-2.719033232628399,-2.719033232628399,67000
"2004-02-09T00:00:00.000Z",16.1,16.05,15.5,15.8,-0.3,-1.8633540372670805,-1.8633540372670805,600500
"2004-02-10T00:00:00.000Z",15.8,15.9,15.5,15.6,-0.2,-1.2658227848101267,-1.2658227848101267,55500
"2004-02-11T00:00:00.000Z",15.6,16.95,16,16,0.4,2.5641025641025643,2.5641025641025643,195000
"2004-02-12T00:00:00.000Z",16,16.45,15.8,15.95,-0.05,-0.3125,-0.3125,176000
"2004-02-13T00:00:00.000Z",15.95,16.05,15.9,16,0.05,0.31347962382445144,0.31347962382445144,137000
"2004-02-16T00:00:00.000Z",16,16.5,15.95,16,0,0,0,454000
"2004-02-17T00:00:00.000Z",16,16.2,15.75,15.9,-0.1,-0.625,-0.625,80500
"2004-02-18T00:00:00.000Z",15.9,16.25,15.9,16,0.1,0.628930817610063,0.628930817610063,315500
"2004-02-19T00:00:00.000Z",16,16.45,16,16.2,0.2,1.25,1.25,1814500
"2004-02-20T00:00:00.000Z",16.2,17.45,16.5,17,0.8,4.938271604938272,4.938271604938272,3338500
"2004-02-23T00:00:00.000Z",17,18.5,17.25,18.15,1.15,6.764705882352941,6.764705882352941,3910000
"2004-02-24T00:00:00.000Z",18.15,19,18,18.9,0.75,4.132231404958678,4.132231404958678,2089500
"2004-02-25T00:00:00.000Z",18.9,19.2,18.15,18.5,-0.4,-2.1164021164021167,-2.1164021164021167,1388500
"2004-02-26T00:00:00.000Z",18.5,18.8,18.35,18.8,0.3,1.6216216216216217,1.6216216216216217,645000
"2004-02-27T00:00:00.000Z",18.8,19.3,18.65,19,0.2,1.0638297872340425,1.0638297872340425,576000
"2004-03-03T00:00:00.000Z",19,19.3,18.6,19.1,0.1,0.5263157894736842,0.5263157894736842,556000
"2004-03-04T00:00:00.000Z",19.1,19.8,18.1,18.1,-1,-5.235602094240837,-5.235602094240837,2044000
"2004-03-05T00:00:00.000Z",18.1,18,17.4,17.7,-0.4,-2.2099447513812156,-2.2099447513812156,494500
"2004-03-08T00:00:00.000Z",17.7,17.95,17.5,17.5,-0.2,-1.129943502824859,-1.129943502824859,203500
"2004-03-09T00:00:00.000Z",17.5,17.65,17.3,17.5,0,0,0,129500
"2004-03-10T00:00:00.000Z",17.5,17.6,17.4,17.45,-0.05,-0.2857142857142857,-0.2857142857142857,180500
"2004-03-11T00:00:00.000Z",17.45,17.8,17.4,17.75,0.3,1.7191977077363898,1.7191977077363898,633000
"2004-03-12T00:00:00.000Z",17.75,17.8,17.6,17.75,0,0,0,151000
"2004-03-15T00:00:00.000Z",17.75,17.95,17.6,17.7,-0.05,-0.28169014084507044,-0.28169014084507044,158000
"2004-03-16T00:00:00.000Z",17.7,17.9,17.7,17.8,0.1,0.5649717514124295,0.5649717514124295,374500
"2004-03-17T00:00:00.000Z",17.8,17.9,17.55,17.8,0,0,0,152000
"2004-03-18T00:00:00.000Z",17.8,17.8,17.5,17.75,-0.05,-0.2808988764044944,-0.2808988764044944,133500
"2004-03-19T00:00:00.000Z",17.75,17.9,17.6,17.75,0,0,0,93000
"2004-03-22T00:00:00.000Z",15.68,16.1,15.7,15.7,-2.05,-11.549295774647886,-11.549295774647886,66500
"2004-03-24T00:00:00.000Z",15.7,16,15.3,15.9,0.2,1.2738853503184715,1.2738853503184715,59500
"2004-03-25T00:00:00.000Z",15.9,15.9,15.8,15.8,-0.1,-0.628930817610063,-0.628930817610063,49000
"2004-03-26T00:00:00.000Z",15.8,15.75,15.65,15.75,-0.05,-0.31645569620253167,-0.31645569620253167,48000
"2004-03-29T00:00:00.000Z",15.75,15.7,15.55,15.65,-0.1,-0.6349206349206349,-0.6349206349206349,35000
"2004-03-30T00:00:00.000Z",15.65,15.95,15.5,15.55,-0.1,-0.6389776357827477,-0.6389776357827477,71000
"2004-03-31T00:00:00.000Z",15.55,15.65,15.2,15.3,-0.25,-1.607717041800643,-1.607717041800643,70500
"2004-04-01T00:00:00.000Z",15.3,15.45,15.2,15.35,0.05,0.3267973856209151,0.3267973856209151,34500
"2004-04-02T00:00:00.000Z",15.35,15.55,15.25,15.25,-0.1,-0.6514657980456027,-0.6514657980456027,86000
"2004-04-05T00:00:00.000Z",15.25,15.55,15.25,15.55,0.3,1.967213114754098,1.967213114754098,137000
"2004-04-06T00:00:00.000Z",15.55,15.95,15.5,15.8,0.25,1.607717041800643,1.607717041800643,56500
"2004-04-07T00:00:00.000Z",15.8,16.1,15.55,15.6,-0.2,-1.2658227848101267,-1.2658227848101267,119000
"2004-04-08T00:00:00.000Z",15.6,15.7,15.5,15.5,-0.1,-0.6410256410256411,-0.6410256410256411,165500
"2004-04-09T00:00:00.000Z",15.5,15.65,15.5,15.65,0.15,0.967741935483871,0.967741935483871,167500
"2004-04-12T00:00:00.000Z",15.65,15.95,15.4,15.65,0,0,0,1239500
"2004-04-13T00:00:00.000Z",15.65,16.2,15.7,15.95,0.3,1.916932907348243,1.916932907348243,899000
"2004-04-14T00:00:00.000Z",15.95,16.25,15.75,16,0.05,0.31347962382445144,0.31347962382445144,522500
"2004-04-15T00:00:00.000Z",16,17.5,15.8,17.25,1.25,7.8125,7.8125,2059500
"2004-04-16T00:00:00.000Z",17.25,17.5,16.3,16.6,-0.65,-3.768115942028986,-3.768115942028986,651000
"2004-04-19T00:00:00.000Z",16.6,17.3,16.5,16.5,-0.1,-0.6024096385542168,-0.6024096385542168,324500
"2004-04-20T00:00:00.000Z",16.5,16.9,16.45,16.5,0,0,0,221500
"2004-04-21T00:00:00.000Z",16.5,16.6,16.05,16.1,-0.4,-2.4242424242424243,-2.4242424242424243,108000
"2004-04-22T00:00:00.000Z",16.1,16.3,15.6,16.3,0.2,1.2422360248447204,1.2422360248447204,111500
"2004-04-23T00:00:00.000Z",16.3,17.05,16.05,16.5,0.2,1.2269938650306749,1.2269938650306749,435500
"2004-04-26T00:00:00.000Z",16.5,16.95,16,16.3,-0.2,-1.2121212121212122,-1.2121212121212122,145500
"2004-04-27T00:00:00.000Z",16.3,16.5,16.15,16.4,0.1,0.6134969325153375,0.6134969325153375,95000
"2004-04-28T00:00:00.000Z",16.4,16.85,15.5,15.7,-0.7,-4.2682926829268295,-4.2682926829268295,206000
"2004-04-29T00:00:00.000Z",15.7,16.25,15.25,15.7,0,0,0,894000
"2004-04-30T00:00:00.000Z",15.7,16,15.3,15.8,0.1,0.6369426751592357,0.6369426751592357,203000
"2004-05-04T00:00:00.000Z",15.8,16.4,16,16,0.2,1.2658227848101267,1.2658227848101267,388000
