"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",31.3,32.1,31.2,31.45,0,0,0,5340500
"2004-01-02T00:00:00.000Z",31.45,31.7,30.95,31.1,-0.35,-1.1128775834658184,-1.1128775834658184,3077000
"2004-01-05T00:00:00.000Z",31.1,31.9,31.1,31.2,0.1,0.3215434083601287,0.3215434083601287,5258000
"2004-01-06T00:00:00.000Z",31.2,32,30.8,32,0.8,2.5641025641025643,2.5641025641025643,10514000
"2004-01-07T00:00:00.000Z",32,33.4,32.35,33.25,1.25,3.90625,3.90625,30084000
"2004-01-08T00:00:00.000Z",33.25,33.45,32.6,32.8,-0.45,-1.3533834586466165,-1.3533834586466165,7663000
"2004-01-09T00:00:00.000Z",32.8,32.95,32.15,32.65,-0.15,-0.4573170731707318,-0.4573170731707318,3922000
"2004-01-12T00:00:00.000Z",32.65,33.4,32.8,33.15,0.5,1.5313935681470139,1.5313935681470139,9733000
"2004-01-13T00:00:00.000Z",33.15,33.2,32.75,32.9,-0.25,-0.7541478129713424,-0.7541478129713424,3505000
"2004-01-14T00:00:00.000Z",32.9,33.25,32.5,32.65,-0.25,-0.7598784194528876,-0.7598784194528876,5268500
"2004-01-15T00:00:00.000Z",32.65,32.85,32.35,32.5,-0.15,-0.45941807044410415,-0.45941807044410415,1953500
"2004-01-16T00:00:00.000Z",32.5,33.55,32.25,33.4,0.9,2.769230769230769,2.769230769230769,11326000
"2004-01-19T00:00:00.000Z",33.4,34.55,33.75,33.85,0.45,1.347305389221557,1.347305389221557,13832500
"2004-01-20T00:00:00.000Z",33.85,34.75,33.4,34.7,0.85,2.5110782865583454,2.5110782865583454,21219500
"2004-01-21T00:00:00.000Z",34.7,35.25,34.55,34.8,0.1,0.2881844380403459,0.2881844380403459,13042500
"2004-01-22T00:00:00.000Z",34.8,35.2,34.7,34.8,0,0,0,8188000
"2004-01-23T00:00:00.000Z",34.8,35.75,34.5,35.1,0.3,0.8620689655172412,0.8620689655172412,15723500
"2004-01-26T00:00:00.000Z",35.1,35.3,33.9,34.15,-0.95,-2.7065527065527064,-2.7065527065527064,4766000
"2004-01-27T00:00:00.000Z",34.15,35.15,33.9,34.8,0.65,1.903367496339678,1.903367496339678,6165000
"2004-01-28T00:00:00.000Z",34.8,36.25,35.1,36.2,1.4,4.022988505747126,4.022988505747126,15263000
"2004-01-29T00:00:00.000Z",36.2,37.25,36.2,36.4,0.2,0.5524861878453039,0.5524861878453039,19236500
"2004-01-30T00:00:00.000Z",36.4,36.95,36.25,36.3,-0.1,-0.27472527472527475,-0.27472527472527475,6726500
"2004-02-06T00:00:00.000Z",36.3,36.65,35.8,36.05,-0.25,-0.6887052341597797,-0.6887052341597797,4507000
"2004-02-09T00:00:00.000Z",36.05,36.3,34.25,34.35,-1.7,-4.715672676837725,-4.715672676837725,5815500
"2004-02-10T00:00:00.000Z",34.35,35.8,33.6,35.6,1.25,3.6390101892285296,3.6390101892285296,7838000
"2004-02-11T00:00:00.000Z",35.6,36.4,35.45,36.1,0.5,1.4044943820224718,1.4044943820224718,16580000
"2004-02-12T00:00:00.000Z",36.1,36,34.85,35.1,-1,-2.7700831024930745,-2.7700831024930745,7655000
"2004-02-13T00:00:00.000Z",35.1,35.95,34.9,35.6,0.5,1.4245014245014245,1.4245014245014245,9124000
"2004-02-16T00:00:00.000Z",35.6,36.1,34.25,34.6,-1,-2.8089887640449436,-2.8089887640449436,13437500
"2004-02-17T00:00:00.000Z",34.6,35.35,34.2,34.8,0.2,0.578034682080925,0.578034682080925,7561500
"2004-02-18T00:00:00.000Z",34.8,35.2,34.5,34.85,0.05,0.14367816091954022,0.14367816091954022,2464500
"2004-02-19T00:00:00.000Z",34.85,35.15,34.25,34.3,-0.55,-1.5781922525107608,-1.5781922525107608,4631000
"2004-02-20T00:00:00.000Z",34.3,34.4,32.85,33.7,-0.6,-1.7492711370262388,-1.7492711370262388,8482500
"2004-02-23T00:00:00.000Z",33.7,34,32.05,32.1,-1.6,-4.747774480712167,-4.747774480712167,2890500
"2004-02-24T00:00:00.000Z",32.1,34.35,32,34,1.9,5.919003115264797,5.919003115264797,16602500
"2004-02-25T00:00:00.000Z",34,34.5,33.35,33.55,-0.45,-1.3235294117647058,-1.3235294117647058,7830000
"2004-02-26T00:00:00.000Z",33.55,33.75,32.95,33.1,-0.45,-1.3412816691505216,-1.3412816691505216,2081000
"2004-02-27T00:00:00.000Z",33.1,33.9,32.7,33.45,0.35,1.0574018126888216,1.0574018126888216,4132500
"2004-03-03T00:00:00.000Z",33.45,33.7,33.25,33.45,0,0,0,1347000
"2004-03-04T00:00:00.000Z",33.45,34.45,33.5,34.4,0.95,2.840059790732437,2.840059790732437,9727500
"2004-03-05T00:00:00.000Z",34.4,35.6,34.5,35.35,0.95,2.761627906976744,2.761627906976744,21986000
"2004-03-08T00:00:00.000Z",35.35,35.9,35.05,35.1,-0.25,-0.7072135785007072,-0.7072135785007072,7753500
"2004-03-09T00:00:00.000Z",35.1,35.85,34.8,35.6,0.5,1.4245014245014245,1.4245014245014245,12584000
"2004-03-10T00:00:00.000Z",35.6,35.85,35,35.3,-0.3,-0.8426966292134833,-0.8426966292134833,4485500
"2004-03-11T00:00:00.000Z",35.3,35.7,34.75,35.6,0.3,0.8498583569405098,0.8498583569405098,8293500
"2004-03-12T00:00:00.000Z",35.6,37.35,35.75,37.1,1.5,4.213483146067416,4.213483146067416,45992000
"2004-03-15T00:00:00.000Z",37.1,37.4,36.5,36.7,-0.4,-1.078167115902965,-1.078167115902965,15125500
"2004-03-16T00:00:00.000Z",36.7,37.15,36.5,36.75,0.05,0.13623978201634876,0.13623978201634876,11157500
"2004-03-17T00:00:00.000Z",36.75,37.1,36.45,36.85,0.1,0.272108843537415,0.272108843537415,8869000
"2004-03-18T00:00:00.000Z",36.85,37.65,36.95,37.3,0.45,1.221166892808684,1.221166892808684,22476000
"2004-03-19T00:00:00.000Z",37.3,38.2,37.15,37.85,0.55,1.4745308310991956,1.4745308310991956,21682000
"2004-03-22T00:00:00.000Z",37.85,38,37.25,37.45,-0.4,-1.0568031704095113,-1.0568031704095113,7839500
"2004-03-24T00:00:00.000Z",37.45,38.25,37.5,37.95,0.5,1.3351134846461947,1.3351134846461947,12259500
"2004-03-25T00:00:00.000Z",37.95,38.45,37.85,38.05,0.1,0.26350461133069836,0.26350461133069836,10235000
"2004-03-26T00:00:00.000Z",38.05,38.9,37.95,38.45,0.4,1.0512483574244416,1.0512483574244416,19521000
"2004-03-29T00:00:00.000Z",38.45,39.1,37.9,38.7,0.25,0.6501950585175552,0.6501950585175552,20966000
"2004-03-30T00:00:00.000Z",38.7,39.15,38.35,38.45,-0.25,-0.6459948320413437,-0.6459948320413437,10745000
"2004-03-31T00:00:00.000Z",38.45,38.7,38.05,38.6,0.15,0.39011703511053314,0.39011703511053314,7495000
"2004-04-01T00:00:00.000Z",38.6,39.1,38.6,38.65,0.05,0.1295336787564767,0.1295336787564767,9870500
"2004-04-02T00:00:00.000Z",38.65,41.45,38.75,41.1,2.45,6.338939197930143,6.338939197930143,50429000
"2004-04-05T00:00:00.000Z",41.1,41.35,40.5,40.7,-0.4,-0.9732360097323601,-0.9732360097323601,13225000
"2004-04-06T00:00:00.000Z",40.7,40.95,40.2,40.6,-0.1,-0.2457002457002457,-0.2457002457002457,12032000
"2004-04-07T00:00:00.000Z",40.6,41.85,40.75,41.1,0.5,1.231527093596059,1.231527093596059,30656000
"2004-04-08T00:00:00.000Z",41.1,41.4,40.7,40.9,-0.2,-0.48661800486618007,-0.48661800486618007,5447000
"2004-04-09T00:00:00.000Z",40.9,41.1,38.9,40.3,-0.6,-1.466992665036675,-1.466992665036675,11851000
"2004-04-12T00:00:00.000Z",40.3,41.5,40.5,41.15,0.85,2.109181141439206,2.109181141439206,16892500
"2004-04-13T00:00:00.000Z",41.15,43.7,41.25,42.45,1.3,3.1591737545565004,3.1591737545565004,59755000
"2004-04-14T00:00:00.000Z",42.45,43.3,41.1,42.3,-0.15,-0.35335689045936397,-0.35335689045936397,18984500
"2004-04-15T00:00:00.000Z",42.3,43.6,42.4,43.6,1.3,3.0732860520094563,3.0732860520094563,24070500
"2004-04-16T00:00:00.000Z",43.6,46.15,44,45,1.4,3.211009174311926,3.211009174311926,44161000
"2004-04-19T00:00:00.000Z",45,46.45,44.25,45.4,0.4,0.8888888888888888,0.8888888888888888,40972000
"2004-04-20T00:00:00.000Z",45.4,45.9,44.35,44.7,-0.7,-1.541850220264317,-1.541850220264317,16678500
"2004-04-21T00:00:00.000Z",44.7,45,42.5,42.5,-2.2,-4.921700223713646,-4.921700223713646,9125000
"2004-04-22T00:00:00.000Z",42.5,42.75,40.4,42,-0.5,-1.1764705882352942,-1.1764705882352942,16247000
"2004-04-23T00:00:00.000Z",42,41.5,39.9,39.9,-2.1,-5,-5,5219500
"2004-04-26T00:00:00.000Z",39.9,39.1,38,38.5,-1.4,-3.508771929824561,-3.508771929824561,7114000
"2004-04-27T00:00:00.000Z",38.5,39.95,38.4,39.2,0.7,1.8181818181818181,1.8181818181818181,16767500
"2004-04-28T00:00:00.000Z",39.2,39.45,37.25,37.45,-1.75,-4.4642857142857135,-4.4642857142857135,6473500
"2004-04-29T00:00:00.000Z",37.45,38,36.6,37.8,0.35,0.9345794392523366,0.9345794392523366,6337000
"2004-04-30T00:00:00.000Z",37.8,39.7,37.95,39.2,1.4,3.703703703703703,3.703703703703703,14035500
"2004-05-04T00:00:00.000Z",39.2,40.65,38.9,40.3,1.1,2.8061224489795924,2.8061224489795924,18083000
"2004-05-05T00:00:00.000Z",40.3,41.05,39.7,40.5,0.2,0.4962779156327544,0.4962779156327544,25435500
"2004-05-06T00:00:00.000Z",40.5,41.25,40.35,40.6,0.1,0.24691358024691357,0.24691358024691357,17036500
"2004-05-07T00:00:00.000Z",40.6,40.55,38.75,40.2,-0.4,-0.9852216748768473,-0.9852216748768473,10416500
"2004-05-10T00:00:00.000Z",40.2,41.15,40.35,40.5,0.3,0.7462686567164178,0.7462686567164178,19141000
"2004-05-11T00:00:00.000Z",40.5,42,40,41.4,0.9,2.2222222222222223,2.2222222222222223,44036000
