"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",240.55,245,240.6,241,0,0,600
"2004-01-02T00:00:00.000Z",241,250,249,250,9,3.7344398340248963,2200
"2004-01-05T00:00:00.000Z",250,243.05,243.05,243.05,-6.95,-2.7800000000000002,100
"2004-01-06T00:00:00.000Z",243.05,248,243.05,248,4.95,2.0366179798395394,1500
"2004-01-07T00:00:00.000Z",248,253,248.05,248.05,0.05,0.020161290322580645,400
"2004-01-08T00:00:00.000Z",248.05,250.5,248.1,248.1,0.05,0.02015722636565209,900
"2004-01-12T00:00:00.000Z",248.1,252,247.05,252,3.9,1.5719467956469164,1300
"2004-01-13T00:00:00.000Z",252,251.95,251.5,251.95,-0.05,-0.01984126984126984,1100
"2004-01-14T00:00:00.000Z",251.95,252,251,251,-0.95,-0.3770589402659258,400
"2004-01-15T00:00:00.000Z",251,255,255,255,4,1.593625498007968,200
"2004-01-16T00:00:00.000Z",255,250,250,250,-5,-1.9607843137254901,3300
"2004-01-19T00:00:00.000Z",250,252.15,252,252.15,2.15,0.86,300
"2004-01-21T00:00:00.000Z",252.15,259.75,255,259.75,7.6,3.0140789212770174,3300
"2004-01-22T00:00:00.000Z",259.75,263,259.75,259.75,0,0,200
"2004-01-23T00:00:00.000Z",259.75,259,255,259,-0.75,-0.28873917228103946,2100
"2004-01-26T00:00:00.000Z",259,258,246.5,258,-1,-0.3861003861003861,200
"2004-01-27T00:00:00.000Z",258,246,245.55,246,-12,-4.651162790697675,200
"2004-01-28T00:00:00.000Z",246,252.05,242,252.05,6.05,2.459349593495935,20500
"2004-01-29T00:00:00.000Z",252.05,258,257,258,5.95,2.3606427296171395,200
"2004-02-09T00:00:00.000Z",258,248.15,248.15,248.15,-9.85,-3.817829457364341,100
"2004-02-10T00:00:00.000Z",248.15,255,250,255,6.85,2.760427160991336,23600
"2004-02-12T00:00:00.000Z",255,250.5,250,250.05,-4.95,-1.9411764705882355,3800
"2004-02-16T00:00:00.000Z",250.05,250,250,250,-0.05,-0.01999600079984003,3300
"2004-02-17T00:00:00.000Z",250,253,250,250,0,0,7800
"2004-02-18T00:00:00.000Z",250,250.05,247,250,0,0,12400
"2004-02-19T00:00:00.000Z",250,240.1,240.1,240.1,-9.9,-3.9600000000000004,100
"2004-02-20T00:00:00.000Z",240.1,240.1,240.1,240.1,0,0,100
"2004-02-23T00:00:00.000Z",240.1,249,240,240.1,0,0,1200
"2004-02-25T00:00:00.000Z",240.1,240.25,240.25,240.25,0.15,0.06247396917950853,100
"2004-02-26T00:00:00.000Z",240.25,250,248,250,9.75,4.0582726326742975,1400
"2004-02-27T00:00:00.000Z",250,255,250,253,3,1.2,13400
"2004-03-03T00:00:00.000Z",253,255.5,254,254,1,0.3952569169960474,3800
"2004-03-04T00:00:00.000Z",254,255,253,254,0,0,1900
"2004-03-05T00:00:00.000Z",254,257,254.25,255.05,1.05,0.41338582677165353,16000
"2004-03-08T00:00:00.000Z",255.05,259,257,258,2.95,1.1566359537345619,2300
"2004-03-09T00:00:00.000Z",258,260,258,260,2,0.7751937984496124,1600
"2004-03-10T00:00:00.000Z",260,268,260,268,8,3.076923076923077,800
"2004-03-11T00:00:00.000Z",268,268,264,264,-4,-1.4925373134328357,600
"2004-03-12T00:00:00.000Z",264,270,267,270,6,2.272727272727273,1300
"2004-03-15T00:00:00.000Z",270,275,266,270,0,0,1100
"2004-03-16T00:00:00.000Z",270,275,270,275,5,1.8518518518518516,4200
"2004-03-17T00:00:00.000Z",275,273,272,273,-2,-0.7272727272727273,600
"2004-03-18T00:00:00.000Z",273,275,274,275,2,0.7326007326007326,1600
"2004-03-19T00:00:00.000Z",275,278,275,275,0,0,600
"2004-03-22T00:00:00.000Z",275,280,275,276,1,0.36363636363636365,2900
"2004-03-24T00:00:00.000Z",268,266,265,265,-11,-3.985507246376811,1000
"2004-03-26T00:00:00.000Z",265,265,263,264,-1,-0.37735849056603776,6300
"2004-03-29T00:00:00.000Z",264,263,263,263,-1,-0.3787878787878788,600
"2004-03-30T00:00:00.000Z",263,263,262,263,0,0,1000
"2004-03-31T00:00:00.000Z",263,263,261,263,0,0,5400
"2004-04-01T00:00:00.000Z",263,265,261,265,2,0.7604562737642585,1400
"2004-04-02T00:00:00.000Z",265,265,264.25,264.25,-0.75,-0.2830188679245283,400
"2004-04-05T00:00:00.000Z",264.25,267,266,267,2.75,1.0406811731315044,600
"2004-04-07T00:00:00.000Z",267,274,267,269.5,2.5,0.9363295880149813,2600
"2004-04-08T00:00:00.000Z",269.5,270,265,270,0.5,0.1855287569573284,2100
"2004-04-09T00:00:00.000Z",270,270,268,270,0,0,2500
"2004-04-13T00:00:00.000Z",270,273,272,272,2,0.7407407407407408,1700
"2004-04-14T00:00:00.000Z",272,270,270,270,-2,-0.7352941176470588,900
"2004-04-15T00:00:00.000Z",270,275,272,275,5,1.8518518518518516,4600
"2004-04-16T00:00:00.000Z",275,278,276,278,3,1.090909090909091,1000
"2004-04-20T00:00:00.000Z",278,289,282,285,7,2.5179856115107913,2500
"2004-04-21T00:00:00.000Z",285,285,285,285,0,0,5000
"2004-04-23T00:00:00.000Z",285,278,278,278,-7,-2.456140350877193,500
"2004-04-26T00:00:00.000Z",278,278,275,278,0,0,1000
"2004-04-27T00:00:00.000Z",278,278,277,277,-1,-0.3597122302158274,800
"2004-04-28T00:00:00.000Z",277,275,270.05,275,-2,-0.7220216606498195,1100
"2004-04-29T00:00:00.000Z",275,275,274,275,0,0,1500
"2004-04-30T00:00:00.000Z",275,275,275,275,0,0,100
"2004-05-04T00:00:00.000Z",275,275.5,275.5,275.5,0.5,0.18181818181818182,300
"2004-05-05T00:00:00.000Z",275.5,279,273,279,3.5,1.2704174228675136,300
"2004-05-06T00:00:00.000Z",279,280,275,280,1,0.35842293906810035,1200
"2004-05-10T00:00:00.000Z",280,281.25,280,280,0,0,500
"2004-05-11T00:00:00.000Z",280,280,274,280,0,0,1400
"2004-05-12T00:00:00.000Z",280,280,280,280,0,0,600
"2004-05-13T00:00:00.000Z",280,281,281,281,1,0.35714285714285715,2000
"2004-05-14T00:00:00.000Z",281,282,281,282,1,0.3558718861209964,3000
"2004-05-18T00:00:00.000Z",282,277.05,277.05,277.05,-4.95,-1.7553191489361704,100
"2004-05-19T00:00:00.000Z",277.05,282,281,282,4.95,1.7866811044937738,2800
