"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",50,50,50,50,0,0,0,500
"2004-01-02T00:00:00.000Z",50,50,50,50,0,0,0,4500
"2004-01-05T00:00:00.000Z",50,51,50,50,0,0,0,2500
"2004-01-07T00:00:00.000Z",50,52,52,52,2,4,4,500
"2004-01-08T00:00:00.000Z",52,52,52,52,0,0,0,1000
"2004-01-12T00:00:00.000Z",52,52,52,52,0,0,0,1000
"2004-01-13T00:00:00.000Z",52,50,49.45,50,-2,-3.8461538461538463,-3.8461538461538463,6000
"2004-01-15T00:00:00.000Z",50,51.5,50,51,1,2,2,2000
"2004-01-16T00:00:00.000Z",51,52.5,52.5,52.5,1.5,2.941176470588235,2.941176470588235,500
"2004-01-19T00:00:00.000Z",52.5,53,52.75,52.75,0.25,0.4761904761904762,0.4761904761904762,1000
"2004-01-20T00:00:00.000Z",52.75,54,52.5,54,1.25,2.3696682464454977,2.3696682464454977,1000
"2004-01-22T00:00:00.000Z",54,53.5,53.5,53.5,-0.5,-0.9259259259259258,-0.9259259259259258,1000
"2004-01-23T00:00:00.000Z",53.5,54,53.5,54,0.5,0.9345794392523363,0.9345794392523363,1000
"2004-01-27T00:00:00.000Z",54,51.3,51.3,51.3,-2.7,-5,-5,500
"2004-01-29T00:00:00.000Z",51.3,50,49,49,-2.3,-4.483430799220272,-4.483430799220272,3500
"2004-01-30T00:00:00.000Z",49,51.9,49,51.9,2.9,5.918367346938775,5.918367346938775,4000
"2004-02-11T00:00:00.000Z",51.9,50.5,50.5,50.5,-1.4,-2.697495183044316,-2.697495183044316,1000
"2004-02-16T00:00:00.000Z",50.5,50.5,50.5,50.5,0,0,0,2000
"2004-02-17T00:00:00.000Z",50.5,50,50,50,-0.5,-0.9900990099009901,-0.9900990099009901,0
"2004-02-18T00:00:00.000Z",50,50.5,50.05,50.05,0.05,0.1,0.1,1500
"2004-02-19T00:00:00.000Z",50.05,53,53,53,2.95,5.894105894105895,5.894105894105895,500
"2004-02-23T00:00:00.000Z",53,51.1,51.1,51.1,-1.9,-3.5849056603773586,-3.5849056603773586,500
"2004-02-25T00:00:00.000Z",51.1,49.55,49.5,49.5,-1.6,-3.131115459882583,-3.131115459882583,5500
"2004-02-26T00:00:00.000Z",49.5,49,47.05,47.05,-2.45,-4.94949494949495,-4.94949494949495,3000
"2004-02-27T00:00:00.000Z",47.05,50,49,50,2.95,6.269925611052073,6.269925611052073,2000
"2004-03-04T00:00:00.000Z",50,48.5,48.5,48.5,-1.5,-3,-3,3500
"2004-03-05T00:00:00.000Z",48.5,48.5,48.5,48.5,0,0,0,9000
"2004-03-08T00:00:00.000Z",48.5,49.55,48.5,48.55,0.05,0.10309278350515465,0.10309278350515465,19000
"2004-03-09T00:00:00.000Z",48.55,50,48.05,50,1.45,2.9866117404737382,2.9866117404737382,3000
"2004-03-11T00:00:00.000Z",50,50.5,48.5,48.5,-1.5,-3,-3,2000
"2004-03-12T00:00:00.000Z",48.5,50,50,50,1.5,3.0927835051546393,3.0927835051546393,500
"2004-03-16T00:00:00.000Z",50,50,50,50,0,0,0,1000
"2004-03-18T00:00:00.000Z",50,49.2,49.2,49.2,-0.8,-1.6,-1.6,1000
"2004-03-24T00:00:00.000Z",49.2,50,50,50,0.8,1.6260162601626014,1.6260162601626014,1000
"2004-03-26T00:00:00.000Z",50,50,50,50,0,0,0,500
"2004-03-29T00:00:00.000Z",50,51,51,51,1,2,2,500
"2004-03-30T00:00:00.000Z",51,50,50,50,-1,-1.9607843137254901,-1.9607843137254901,500
"2004-04-05T00:00:00.000Z",50,50,50,50,0,0,0,500
"2004-04-06T00:00:00.000Z",50,51,50,50.5,0.5,1,1,14500
"2004-04-07T00:00:00.000Z",50.5,53,52,52.9,2.4,4.752475247524752,4.752475247524752,3500
"2004-04-08T00:00:00.000Z",52.9,55,52,52,-0.9,-1.7013232514177694,-1.7013232514177694,8000
"2004-04-09T00:00:00.000Z",52,55,52,55,3,5.769230769230769,5.769230769230769,2500
