"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-08T00:00:00.000Z",67,67,67,67,0,0,300
"2004-01-13T00:00:00.000Z",67,67,67,67,0,0,100
"2004-01-26T00:00:00.000Z",67,67.25,67.25,67.25,0.25,0.3731343283582089,0
"2004-02-09T00:00:00.000Z",67.25,67.25,67.25,67.25,0,0,100
"2004-02-13T00:00:00.000Z",67.25,67.25,67.25,67.25,0,0,100
"2004-02-16T00:00:00.000Z",67.25,67.2,67.2,67.2,-0.05,-0.07434944237918216,500
"2004-02-25T00:00:00.000Z",67.2,68,68,68,0.8,1.1904761904761905,0
"2004-02-26T00:00:00.000Z",68,69,69,69,1,1.4705882352941175,0
"2004-02-27T00:00:00.000Z",69,69.5,69.5,69.5,0.5,0.7246376811594203,0
"2004-03-03T00:00:00.000Z",69.5,70.5,70,70.5,1,1.4388489208633095,1000
"2004-03-05T00:00:00.000Z",70.5,75.75,72,75.75,5.25,7.446808510638298,400
"2004-03-08T00:00:00.000Z",75.75,79.5,79.5,79.5,3.75,4.9504950495049505,100
"2004-03-09T00:00:00.000Z",79.5,82,82,82,2.5,3.1446540880503147,500
"2004-03-10T00:00:00.000Z",82,88.15,88,88.15,6.15,7.500000000000001,200
"2004-03-11T00:00:00.000Z",88.15,94.75,93,94.75,6.6,7.487237663074304,400
"2004-03-12T00:00:00.000Z",94.75,97,97,97,2.25,2.3746701846965697,100
"2004-03-15T00:00:00.000Z",97,104.25,104,104,7,7.216494845360824,1700
"2004-03-17T00:00:00.000Z",104,103.25,103.25,103.25,-0.75,-0.7211538461538461,1000
"2004-03-22T00:00:00.000Z",103.25,101,101,101,-2.25,-2.1791767554479415,0
"2004-04-02T00:00:00.000Z",101,100,100,100,-1,-0.9900990099009901,0
"2004-04-06T00:00:00.000Z",100,100,100,100,0,0,100
"2004-04-07T00:00:00.000Z",100,106,100,105,5,5,3300
"2004-04-08T00:00:00.000Z",105,104,104,104,-1,-0.9523809523809524,0
"2004-04-09T00:00:00.000Z",104,100,100,100,-4,-3.8461538461538463,500
"2004-04-13T00:00:00.000Z",100,107,105,105,5,5,2100
"2004-04-14T00:00:00.000Z",105,106.5,106.5,106.5,1.5,1.4285714285714286,1000
"2004-04-15T00:00:00.000Z",106.5,106,105.9,106,-0.5,-0.4694835680751174,500
"2004-04-16T00:00:00.000Z",106,109,101,101,-5,-4.716981132075472,1100
"2004-04-19T00:00:00.000Z",101,107,105,107,6,5.9405940594059405,1600
"2004-04-20T00:00:00.000Z",107,105,102,105,-2,-1.8691588785046727,700
"2004-04-22T00:00:00.000Z",105,107,100,100,-5,-4.761904761904762,1500
"2004-04-23T00:00:00.000Z",100,107.5,106.05,106.05,6.05,6.05,2100
"2004-04-27T00:00:00.000Z",106.05,107.5,107.5,107.5,1.45,1.3672795851013673,500
"2004-04-28T00:00:00.000Z",107.5,107.5,106,106,-1.5,-1.3953488372093024,1500
"2004-04-30T00:00:00.000Z",106,113.95,111,113.95,7.95,7.5,3600
"2004-05-04T00:00:00.000Z",113.95,122,121.95,121.95,8,7.020623080298376,200
"2004-05-10T00:00:00.000Z",121.95,125,124.95,125,3.05,2.5010250102501024,600
"2004-05-11T00:00:00.000Z",125,125,125,125,0,0,2000
"2004-05-14T00:00:00.000Z",125,128.25,119,119,-6,-4.8,900
"2004-05-17T00:00:00.000Z",119,123.5,120,123.5,4.5,3.7815126050420167,500
"2004-05-18T00:00:00.000Z",123.5,125,119.9,123.95,0.45,0.3643724696356275,4600
"2004-05-20T00:00:00.000Z",123.95,123.9,123.9,123.9,-0.05,-0.04033884630899556,500
"2004-05-21T00:00:00.000Z",123.9,122,122,122,-1.9,-1.5334947538337367,0
"2004-05-26T00:00:00.000Z",122,116,116,116,-6,-4.918032786885246,1000
"2004-06-02T00:00:00.000Z",116,120,120,120,4,3.4482758620689653,100
"2004-06-03T00:00:00.000Z",120,116,116,116,-4,-3.3333333333333335,1000
"2004-06-08T00:00:00.000Z",116,117,116,116,0,0,100
"2004-06-09T00:00:00.000Z",116,110.9,110.9,110.9,-5.1,-4.396551724137931,1400
"2004-06-18T00:00:00.000Z",110.9,114.9,105.4,114.9,4,3.606853020739405,200
"2004-06-21T00:00:00.000Z",114.9,110,110,110,-4.9,-4.2645778938207135,200
"2004-06-22T00:00:00.000Z",110,108,108,108,-2,-1.8181818181818181,1000
"2004-06-24T00:00:00.000Z",108,103,102.6,103,-5,-4.62962962962963,100
"2004-06-28T00:00:00.000Z",103,106,106,106,3,2.912621359223301,100
"2004-06-29T00:00:00.000Z",106,105,105,105,-1,-0.9433962264150944,500
"2004-06-30T00:00:00.000Z",105,111.9,111.9,111.9,6.9,6.571428571428571,100
"2004-07-06T00:00:00.000Z",111.9,114,113.9,113.9,2,1.7873100983020553,100
"2004-07-07T00:00:00.000Z",113.9,112,112,112,-1.9,-1.668129938542581,0
"2004-07-09T00:00:00.000Z",112,112,112,112,0,0,1000
"2004-07-12T00:00:00.000Z",112,111,111,111,-1,-0.8928571428571428,400
"2004-07-15T00:00:00.000Z",111,113,108,113,2,1.8018018018018018,1600
"2004-07-19T00:00:00.000Z",113,115.8,115.8,115.8,2.8,2.47787610619469,400
"2004-07-21T00:00:00.000Z",115.8,116,116,116,0.2,0.17271157167530227,300
"2004-07-27T00:00:00.000Z",116,112,112,112,-4,-3.4482758620689653,200
"2004-08-06T00:00:00.000Z",112,108,108,108,-4,-3.571428571428571,500
"2004-08-11T00:00:00.000Z",108,106,106,106,-2,-1.8518518518518516,100
"2004-08-16T00:00:00.000Z",106,113.95,113.9,113.95,7.95,7.5,200
"2004-08-17T00:00:00.000Z",113.95,110,110,110,-3.95,-3.466432645897324,500
"2004-08-24T00:00:00.000Z",110,116,114.75,116,6,5.454545454545454,400
"2004-08-25T00:00:00.000Z",116,112,112,112,-4,-3.4482758620689653,500
"2004-08-30T00:00:00.000Z",112,112,110,110,-2,-1.7857142857142856,2400
"2004-09-03T00:00:00.000Z",110,116,110,116,6,5.454545454545454,400
"2004-09-08T00:00:00.000Z",116,118,117.9,118,2,1.7241379310344827,400
"2004-09-09T00:00:00.000Z",118,118,118,118,0,0,500
"2004-09-10T00:00:00.000Z",118,124.9,124,124.9,6.9,5.8474576271186445,2000
"2004-09-14T00:00:00.000Z",124.9,125,121,121,-3.9,-3.122497998398719,700
"2004-09-15T00:00:00.000Z",121,124,115,124,3,2.479338842975207,1800
"2004-09-20T00:00:00.000Z",124,126,121,126,2,1.6129032258064515,200
"2004-09-21T00:00:00.000Z",126,128,127.5,128,2,1.5873015873015872,600
"2004-09-22T00:00:00.000Z",128,126,125,126,-2,-1.5625,600
"2004-09-24T00:00:00.000Z",126,129,127,129,3,2.380952380952381,400
"2004-09-27T00:00:00.000Z",129,132,132,132,3,2.3255813953488373,200
"2004-09-28T00:00:00.000Z",132,134,133.5,134,2,1.5151515151515151,2500
"2004-09-29T00:00:00.000Z",134,135.5,135.5,135.5,1.5,1.1194029850746268,600
"2004-09-30T00:00:00.000Z",135.5,128.75,128.75,128.75,-6.75,-4.981549815498155,500
"2004-10-01T00:00:00.000Z",128.75,122.35,122.35,122.35,-6.4,-4.9708737864077674,1000
"2004-10-04T00:00:00.000Z",122.35,116.25,116.25,116.25,-6.1,-4.985696771557008,0
"2004-10-05T00:00:00.000Z",116.25,115,115,115,-1.25,-1.0752688172043012,200
"2004-10-06T00:00:00.000Z",115,109.25,109.25,109.25,-5.75,-5,0
"2004-10-07T00:00:00.000Z",109.25,103.8,103.8,103.8,-5.45,-4.988558352402746,4500
"2004-10-08T00:00:00.000Z",103.8,100,100,100,-3.8,-3.6608863198458574,100
"2004-10-11T00:00:00.000Z",100,104.5,104.5,104.5,4.5,4.5,300
"2004-10-12T00:00:00.000Z",104.5,110,108,108,3.5,3.349282296650718,800
"2004-10-13T00:00:00.000Z",108,113,108,113,5,4.62962962962963,2000
"2004-10-14T00:00:00.000Z",113,121.4,114,114,1,0.8849557522123894,600
"2004-10-18T00:00:00.000Z",114,114.75,114.7,114.7,0.7,0.6140350877192983,200
"2004-10-19T00:00:00.000Z",114.7,120,115,118,3.3,2.8770706190061026,1400
"2004-10-21T00:00:00.000Z",114,115,115,115,-3,-2.5423728813559325,0
"2004-10-26T00:00:00.000Z",115,115,115,115,0,0,1000
"2004-10-27T00:00:00.000Z",115,123.6,115,123.6,8.6,7.478260869565218,2100
"2004-10-29T00:00:00.000Z",123.6,120,120,120,-3.6,-2.912621359223301,500
"2004-11-01T00:00:00.000Z",120,129,129,129,9,7.5,500
"2004-11-02T00:00:00.000Z",129,135,124,124,-5,-3.875968992248062,800
"2004-11-03T00:00:00.000Z",124,128,124,124,0,0,500
"2004-11-04T00:00:00.000Z",124,125,124,124,0,0,500
"2004-11-08T00:00:00.000Z",124,124.95,124.95,124.95,0.95,0.7661290322580645,200
