"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",36,36.3,36,36.3,0,0,6000
"2004-01-02T00:00:00.000Z",36.3,36.4,36,36,-0.3,-0.8264462809917356,32500
"2004-01-05T00:00:00.000Z",36,36,36,36,0,0,3500
"2004-01-06T00:00:00.000Z",36,36,35.55,35.55,-0.45,-1.25,9000
"2004-01-07T00:00:00.000Z",35.55,35.55,35.55,35.55,0,0,5000
"2004-01-08T00:00:00.000Z",35.55,37.25,35.55,37.25,1.7,4.781997187060479,80000
"2004-01-09T00:00:00.000Z",37.25,37.25,36.5,36.5,-0.75,-2.013422818791946,44000
"2004-01-12T00:00:00.000Z",36.5,36.7,36.6,36.6,0.1,0.273972602739726,20500
"2004-01-13T00:00:00.000Z",36.6,36.5,36,36.25,-0.35,-0.9562841530054643,21500
"2004-01-14T00:00:00.000Z",36.25,38.9,36.5,36.5,0.25,0.6896551724137931,28500
"2004-01-15T00:00:00.000Z",36.5,38.95,36.1,36.5,0,0,26000
"2004-01-16T00:00:00.000Z",36.5,36.75,36,36.5,0,0,17000
"2004-01-19T00:00:00.000Z",36.5,37.8,37,37.3,0.8,2.191780821917808,38500
"2004-01-20T00:00:00.000Z",37.3,39.7,37,39,1.7,4.557640750670242,45500
"2004-01-21T00:00:00.000Z",39,40.9,38.75,39.1,0.1,0.2564102564102564,32500
"2004-01-22T00:00:00.000Z",39.1,39.5,38.7,38.7,-0.4,-1.0230179028132993,15000
"2004-01-23T00:00:00.000Z",38.7,39.5,38.95,39.25,0.55,1.421188630490956,87500
"2004-01-26T00:00:00.000Z",39.25,39,38.25,39,-0.25,-0.6369426751592357,2500
"2004-01-27T00:00:00.000Z",39,39.95,38.5,39,0,0,13500
"2004-01-28T00:00:00.000Z",39,39.5,38.5,39.25,0.25,0.641025641025641,27500
"2004-01-29T00:00:00.000Z",39.25,42.15,40,42.15,2.9,7.388535031847134,135500
"2004-01-30T00:00:00.000Z",42.15,45.3,43.75,45.3,3.15,7.473309608540925,362000
"2004-02-06T00:00:00.000Z",45.3,47.95,43.95,46.5,1.2,2.6490066225165565,186500
"2004-02-09T00:00:00.000Z",46.5,47,45.1,45.45,-1.05,-2.2580645161290325,49000
"2004-02-10T00:00:00.000Z",45.45,46.05,45,46.05,0.6,1.3201320132013201,41000
"2004-02-11T00:00:00.000Z",46.05,45.95,44.75,44.75,-1.3,-2.8230184581976117,91500
"2004-02-12T00:00:00.000Z",44.75,45.4,42.55,44.5,-0.25,-0.5586592178770949,34500
"2004-02-13T00:00:00.000Z",44.5,47.5,44,45.35,0.85,1.9101123595505618,80500
"2004-02-16T00:00:00.000Z",45.35,48.75,45.2,45.2,-0.15,-0.330760749724366,36500
"2004-02-17T00:00:00.000Z",45.2,45,44.8,44.8,-0.4,-0.8849557522123895,5500
"2004-02-18T00:00:00.000Z",44.8,46,44.55,46,1.2,2.678571428571429,56000
"2004-02-19T00:00:00.000Z",46,46.5,45,46.1,0.1,0.21739130434782608,40000
"2004-02-20T00:00:00.000Z",46.1,45.25,45,45,-1.1,-2.3861171366594363,18000
"2004-02-23T00:00:00.000Z",45,45,44,44,-1,-2.2222222222222223,7500
"2004-02-24T00:00:00.000Z",44,44.2,41.8,44.2,0.2,0.4545454545454546,34500
