"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",148.5,154.9,146.5,150,0,0,95700
"2004-01-02T00:00:00.000Z",150,153.5,148.3,148.3,-1.7,-1.1333333333333333,89400
"2004-01-05T00:00:00.000Z",148.3,154.85,152,153,4.7,3.169251517194875,99500
"2004-01-06T00:00:00.000Z",153,155,150,153.5,0.5,0.32679738562091504,31200
"2004-01-07T00:00:00.000Z",153.5,156.9,153.75,156.25,2.75,1.7915309446254073,43600
"2004-01-08T00:00:00.000Z",156.25,162,157,158,1.75,1.1199999999999999,151800
"2004-01-09T00:00:00.000Z",158,160,153.5,154,-4,-2.5316455696202533,32200
"2004-01-12T00:00:00.000Z",154,159.5,156,157.9,3.9,2.5324675324675323,9100
"2004-01-13T00:00:00.000Z",157.9,159.75,155,155,-2.9,-1.8366054464851171,21900
"2004-01-14T00:00:00.000Z",155,156,148,151,-4,-2.5806451612903225,39600
"2004-01-15T00:00:00.000Z",151,155,148,149.95,-1.05,-0.6953642384105961,71300
"2004-01-16T00:00:00.000Z",149.95,151.9,148.35,148.35,-1.6,-1.0670223407802601,13100
"2004-01-19T00:00:00.000Z",148.35,155,149.75,149.9,1.55,1.0448264239973037,16400
"2004-01-20T00:00:00.000Z",149.9,149.95,149.95,149.95,0.05,0.03335557038025351,500
"2004-01-21T00:00:00.000Z",149.95,152.95,150,150,0.05,0.03334444814938313,20800
"2004-01-22T00:00:00.000Z",150,151.45,149.1,150,0,0,11700
"2004-01-23T00:00:00.000Z",150,159,150,152,2,1.3333333333333335,6700
"2004-01-26T00:00:00.000Z",152,152,148,148,-4,-2.631578947368421,4500
"2004-01-27T00:00:00.000Z",148,148,143.05,143.05,-4.95,-3.3445945945945943,1400
"2004-01-28T00:00:00.000Z",143.05,153.75,145.9,151.8,8.75,6.116742397763019,10100
"2004-01-29T00:00:00.000Z",151.8,160,153,154.95,3.15,2.075098814229249,36500
"2004-01-30T00:00:00.000Z",154.95,159,153,158,3.05,1.96837689577283,10900
"2004-02-06T00:00:00.000Z",158,156.5,152,156.5,-1.5,-0.949367088607595,4700
"2004-02-09T00:00:00.000Z",156.5,168.2,157,168.2,11.7,7.476038338658146,624600
