"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",30,30.25,30,30.25,0,0,0,1000
"2004-01-02T00:00:00.000Z",30.25,30.5,30.5,30.5,0.25,0.8264462809917356,0.8264462809917356,2500
"2004-01-05T00:00:00.000Z",30.5,32,30.5,31,0.5,1.639344262295082,1.639344262295082,2500
"2004-01-06T00:00:00.000Z",31,30,30,30,-1,-3.225806451612903,-3.225806451612903,4000
"2004-01-07T00:00:00.000Z",30,30.25,30.15,30.15,0.15,0.5,0.5,2500
"2004-01-08T00:00:00.000Z",30.15,31.25,30.85,31.25,1.1,3.6484245439469327,3.6484245439469327,4000
"2004-01-09T00:00:00.000Z",31.25,31.9,31,31.9,0.65,2.08,2.08,8000
"2004-01-12T00:00:00.000Z",31.9,34.25,31,32,0.1,0.31347962382445144,0.31347962382445144,15000
"2004-01-13T00:00:00.000Z",32,32,31.75,31.75,-0.25,-0.78125,-0.78125,2000
"2004-01-14T00:00:00.000Z",31.75,34.1,32.6,34.1,2.35,7.4015748031496065,7.4015748031496065,33500
"2004-01-15T00:00:00.000Z",34.1,36.65,33.75,36.65,2.55,7.478005865102638,7.478005865102638,559500
"2004-01-16T00:00:00.000Z",36.65,39.35,35.1,39.35,2.7,7.366984993178718,7.366984993178718,80000
"2004-01-19T00:00:00.000Z",39.35,42.3,40.05,42.3,2.95,7.496823379923763,7.496823379923763,14000
"2004-01-20T00:00:00.000Z",42.3,45.45,41,42.9,0.6,1.4184397163120568,1.4184397163120568,164500
"2004-01-21T00:00:00.000Z",42.9,43.9,40.8,41.25,-1.65,-3.8461538461538463,-3.8461538461538463,34000
"2004-01-22T00:00:00.000Z",41.25,43.9,40,43.9,2.65,6.424242424242424,6.424242424242424,50000
"2004-01-23T00:00:00.000Z",43.9,42,41.75,41.75,-2.15,-4.89749430523918,-4.89749430523918,19500
"2004-01-26T00:00:00.000Z",41.75,44,40.2,43.5,1.75,4.191616766467066,4.191616766467066,144500
"2004-01-27T00:00:00.000Z",43.5,46.5,43.25,43.25,-0.25,-0.5747126436781609,-0.5747126436781609,77000
"2004-01-28T00:00:00.000Z",43.25,46,43.3,44.6,1.35,3.121387283236994,3.121387283236994,77000
"2004-01-29T00:00:00.000Z",44.6,44.75,43.6,44,-0.6,-1.3452914798206277,-1.3452914798206277,14000
"2004-01-30T00:00:00.000Z",44,45,43.5,44,0,0,0,23500
"2004-02-06T00:00:00.000Z",44,46.95,44.1,46,2,4.545454545454546,4.545454545454546,30000
"2004-02-09T00:00:00.000Z",46,47.95,44.25,44.25,-1.75,-3.804347826086957,-3.804347826086957,362000
"2004-02-10T00:00:00.000Z",44.25,47.55,44.55,47.55,3.3,7.457627118644067,7.457627118644067,61000
"2004-02-11T00:00:00.000Z",47.55,50.85,47.9,50,2.45,5.152471083070453,5.152471083070453,116000
"2004-02-12T00:00:00.000Z",50,53.75,49.65,50,0,0,0,453000
"2004-02-13T00:00:00.000Z",50,53.7,49.75,51.7,1.7,3.4000000000000004,3.4000000000000004,155500
"2004-02-16T00:00:00.000Z",51.7,54.3,51,51,-0.7,-1.3539651837524176,-1.3539651837524176,44500
"2004-02-17T00:00:00.000Z",51,53,51,51,0,0,0,57500
"2004-02-18T00:00:00.000Z",51,53.65,51.6,52.5,1.5,2.941176470588235,2.941176470588235,33500
"2004-02-19T00:00:00.000Z",52.5,52.6,52,52.6,0.1,0.19047619047619047,0.19047619047619047,28000
"2004-02-20T00:00:00.000Z",52.6,53.9,51,51,-1.6,-3.041825095057034,-3.041825095057034,7000
"2004-02-23T00:00:00.000Z",51,51.75,48.45,48.45,-2.55,-5,-5,30500
"2004-02-24T00:00:00.000Z",48.45,52,48,48,-0.45,-0.9287925696594427,-0.9287925696594427,14000
"2004-02-25T00:00:00.000Z",48,49.5,47.5,47.5,-0.5,-1.0416666666666665,-1.0416666666666665,11000
"2004-02-26T00:00:00.000Z",47.5,47,46,46,-1.5,-3.1578947368421053,-3.1578947368421053,8000
"2004-02-27T00:00:00.000Z",46,48,46.95,47,1,2.1739130434782608,2.1739130434782608,5000
"2004-03-03T00:00:00.000Z",47,49,48,49,2,4.25531914893617,4.25531914893617,34000
"2004-03-04T00:00:00.000Z",49,52.25,49.9,52.25,3.25,6.63265306122449,6.63265306122449,82000
