"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",9.75,10.55,9.9,10.25,0,0,476000
"2004-01-02T00:00:00.000Z",10.25,10.5,10.1,10.15,-0.1,-0.975609756097561,171000
"2004-01-05T00:00:00.000Z",10.15,10.35,10,10.1,-0.05,-0.49261083743842365,85500
"2004-01-06T00:00:00.000Z",10.1,10.1,9.9,10.05,-0.05,-0.495049504950495,65500
"2004-01-07T00:00:00.000Z",10.05,10.35,10.05,10.15,0.1,0.9950248756218906,131000
"2004-01-08T00:00:00.000Z",10.15,10.8,9.95,10.3,0.15,1.477832512315271,362000
"2004-01-09T00:00:00.000Z",10.3,10.55,10.1,10.4,0.1,0.9708737864077669,306500
"2004-01-12T00:00:00.000Z",10.4,10.6,10.35,10.4,0,0,386500
"2004-01-13T00:00:00.000Z",10.4,10.7,10.3,10.55,0.15,1.4423076923076923,667500
"2004-01-14T00:00:00.000Z",10.55,10.65,10.4,10.5,-0.05,-0.47393364928909953,112000
"2004-01-15T00:00:00.000Z",10.5,10.5,10.25,10.45,-0.05,-0.4761904761904762,100000
"2004-01-16T00:00:00.000Z",10.45,10.7,10.2,10.6,0.15,1.4354066985645932,239500
"2004-01-19T00:00:00.000Z",10.6,11.5,10.7,11.15,0.55,5.18867924528302,1437000
"2004-01-20T00:00:00.000Z",11.15,11.25,10.85,11.1,-0.05,-0.4484304932735426,197000
"2004-01-21T00:00:00.000Z",11.1,11.4,11,11.05,-0.05,-0.45045045045045046,163500
"2004-01-22T00:00:00.000Z",11.05,12.55,11.15,12.55,1.5,13.574660633484163,1461000
"2004-01-23T00:00:00.000Z",12.55,13.1,12,12.45,-0.1,-0.7968127490039842,936000
"2004-01-26T00:00:00.000Z",12.45,12.2,11.75,11.75,-0.7,-5.622489959839357,324000
"2004-01-27T00:00:00.000Z",11.75,12.3,11.85,12.3,0.55,4.680851063829787,142500
"2004-01-28T00:00:00.000Z",12.3,12.5,12.1,12.2,-0.1,-0.8130081300813009,153000
"2004-01-29T00:00:00.000Z",12.2,12.95,12.1,12.3,0.1,0.819672131147541,888500
"2004-01-30T00:00:00.000Z",12.3,12.7,12.2,12.2,-0.1,-0.8130081300813009,244000
"2004-02-06T00:00:00.000Z",12.2,12.65,12.15,12.2,0,0,91000
"2004-02-09T00:00:00.000Z",12.2,12.4,11.5,11.65,-0.55,-4.508196721311475,284000
"2004-02-10T00:00:00.000Z",11.65,12,10.9,11.75,0.1,0.8583690987124464,590000
"2004-02-11T00:00:00.000Z",11.75,11.8,11.25,11.25,-0.5,-4.25531914893617,190000
"2004-02-12T00:00:00.000Z",11.25,11.45,10.95,11.1,-0.15,-1.3333333333333333,174500
"2004-02-13T00:00:00.000Z",11.1,11.45,11,11.2,0.1,0.9009009009009009,162500
"2004-02-16T00:00:00.000Z",11.2,11.75,10.8,10.95,-0.25,-2.232142857142857,241500
"2004-02-17T00:00:00.000Z",10.95,10.95,10.5,10.75,-0.2,-1.8264840182648405,111500
"2004-02-18T00:00:00.000Z",10.75,11.15,10.7,11,0.25,2.3255813953488373,52500
"2004-02-19T00:00:00.000Z",11,11,10.7,10.95,-0.05,-0.4545454545454546,35000
"2004-02-20T00:00:00.000Z",10.95,11,10.55,11,0.05,0.45662100456621013,37500
"2004-02-23T00:00:00.000Z",11,11.4,10.4,10.55,-0.45,-4.090909090909091,44000
