"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-02T00:00:00.000Z",167.9,165,162,162,0,0,800
"2004-01-05T00:00:00.000Z",162,162.05,162,162,0,0,800
"2004-01-06T00:00:00.000Z",162,164.95,162,162,0,0,900
"2004-01-07T00:00:00.000Z",162,168.9,162.05,166,4,2.4691358024691357,1800
"2004-01-08T00:00:00.000Z",166,167.5,165,167.5,1.5,0.9036144578313252,2200
"2004-01-09T00:00:00.000Z",167.5,169,167,167.95,0.45,0.26865671641791045,2200
"2004-01-12T00:00:00.000Z",167.95,174,170,174,6.05,3.6022625781482582,2900
"2004-01-13T00:00:00.000Z",174,179,174,175,1,0.5747126436781609,15000
"2004-01-14T00:00:00.000Z",175,174,171.05,171.05,-3.95,-2.257142857142857,300
"2004-01-15T00:00:00.000Z",171.05,180,174.9,174.9,3.85,2.2508038585209005,3900
"2004-01-16T00:00:00.000Z",174.9,176,175.75,175.75,0.85,0.48599199542595767,6300
"2004-01-19T00:00:00.000Z",175.75,176,176,176,0.25,0.1422475106685633,1000
"2004-01-20T00:00:00.000Z",176,171.8,171.8,171.8,-4.2,-2.3863636363636367,200
"2004-01-22T00:00:00.000Z",171.8,170,165,165,-6.8,-3.9580908032596036,4600
"2004-01-23T00:00:00.000Z",165,166.45,162,162,-3,-1.8181818181818181,1000
"2004-01-27T00:00:00.000Z",162,165,158,162,0,0,8000
"2004-01-28T00:00:00.000Z",162,170,162.95,168,6,3.7037037037037033,4900
"2004-01-29T00:00:00.000Z",168,170,169,169,1,0.5952380952380952,5500
"2004-01-30T00:00:00.000Z",169,168.95,166,168.95,-0.05,-0.02958579881656805,2300
"2004-02-06T00:00:00.000Z",168.95,180,170,180,11.05,6.540396567031667,11700
"2004-02-09T00:00:00.000Z",180,188,180,184.25,4.25,2.361111111111111,7800
"2004-02-10T00:00:00.000Z",184.25,195,185.55,192,7.75,4.2062415196743554,27300
"2004-02-11T00:00:00.000Z",192,195,186.6,188,-4,-2.083333333333333,41700
"2004-02-12T00:00:00.000Z",188,190.95,183,187,-1,-0.5319148936170213,5900
"2004-02-13T00:00:00.000Z",187,189.75,185.3,185.3,-1.7,-0.9090909090909091,3300
"2004-02-16T00:00:00.000Z",185.3,199.15,190,192.5,7.2,3.8855909336211547,21200
"2004-02-17T00:00:00.000Z",184,190,181,182.25,-10.25,-5.324675324675324,32300
"2004-02-18T00:00:00.000Z",182.25,185,182,185,2.75,1.5089163237311385,12800
"2004-02-19T00:00:00.000Z",185,190,183,184.75,-0.25,-0.13513513513513514,8300
"2004-02-20T00:00:00.000Z",184.75,185,182,182,-2.75,-1.4884979702300407,16200
"2004-02-23T00:00:00.000Z",182,180,175.5,175.5,-6.5,-3.571428571428571,9000
"2004-02-24T00:00:00.000Z",175.5,175,174,175,-0.5,-0.2849002849002849,11700
"2004-02-26T00:00:00.000Z",175,174,174,174,-1,-0.5714285714285714,1000
"2004-02-27T00:00:00.000Z",174,174,170,174,0,0,7200
"2004-03-03T00:00:00.000Z",174,175,175,175,1,0.5747126436781609,2200
"2004-03-04T00:00:00.000Z",175,182,176,177,2,1.1428571428571428,8300
"2004-03-05T00:00:00.000Z",177,176,175.5,176,-1,-0.5649717514124294,1000
"2004-03-08T00:00:00.000Z",176,175,168,174,-2,-1.1363636363636365,8600
"2004-03-09T00:00:00.000Z",174,170.1,170,170.1,-3.9,-2.2413793103448274,500
"2004-03-10T00:00:00.000Z",170.1,173,170.1,170.1,0,0,2300
"2004-03-11T00:00:00.000Z",170.1,174,171,174,3.9,2.2927689594356258,3300
"2004-03-12T00:00:00.000Z",174,172,170,170.1,-3.9,-2.2413793103448274,500
"2004-03-15T00:00:00.000Z",170.1,172,171.5,172,1.9,1.1169900058788949,1100
"2004-03-16T00:00:00.000Z",172,175,170,174,2,1.1627906976744187,700
"2004-03-17T00:00:00.000Z",174,184,172.05,184,10,5.747126436781609,3500
"2004-03-18T00:00:00.000Z",184,196,177.5,177.5,-6.5,-3.532608695652174,12400
"2004-03-19T00:00:00.000Z",177.5,177.5,176,177.5,0,0,2500
"2004-03-22T00:00:00.000Z",177.5,178.5,174,175,-2.5,-1.4084507042253522,7500
"2004-03-24T00:00:00.000Z",175,179,176,179,4,2.2857142857142856,8800
"2004-03-25T00:00:00.000Z",179,179,179,179,0,0,200
"2004-03-26T00:00:00.000Z",179,179,178.5,179,0,0,500
"2004-03-29T00:00:00.000Z",179,175,175,175,-4,-2.2346368715083798,131900
"2004-03-30T00:00:00.000Z",175,180,178,180,5,2.857142857142857,11200
"2004-03-31T00:00:00.000Z",180,186,179,186,6,3.3333333333333335,153700
"2004-04-01T00:00:00.000Z",186,182,181.75,182,-4,-2.1505376344086025,2500
"2004-04-02T00:00:00.000Z",182,180.25,180,180,-2,-1.098901098901099,1100
"2004-04-05T00:00:00.000Z",180,179.1,176,179.1,-0.9,-0.5,2000
"2004-04-06T00:00:00.000Z",179.1,175,174,174,-5.1,-2.8475711892797317,600
"2004-04-07T00:00:00.000Z",174,182,182,182,8,4.597701149425287,100
"2004-04-09T00:00:00.000Z",182,187,175,182.2,0.2,0.10989010989010989,5100
"2004-04-12T00:00:00.000Z",182.2,184.9,183,183,0.8,0.43907793633369924,20100
"2004-04-13T00:00:00.000Z",183,195,183,185,2,1.092896174863388,27300
"2004-04-14T00:00:00.000Z",185,184,183,183,-2,-1.0810810810810811,2200
"2004-04-15T00:00:00.000Z",183,184,180,180,-3,-1.639344262295082,900
"2004-04-16T00:00:00.000Z",180,188,180,186.1,6.1,3.3888888888888884,126800
"2004-04-19T00:00:00.000Z",186.1,193,189,193,6.9,3.707684040838259,113400
"2004-04-20T00:00:00.000Z",193,192.9,185,192.9,-0.1,-0.05181347150259067,103700
"2004-04-21T00:00:00.000Z",192.9,193,188,188,-4.9,-2.5401762571280457,2600
"2004-04-22T00:00:00.000Z",188,190,189.5,190,2,1.0638297872340425,6100
"2004-04-23T00:00:00.000Z",190,190,190,190,0,0,24000
"2004-04-26T00:00:00.000Z",190,191,189,190,0,0,17500
