"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-02-09T00:00:00.000Z",18.9,18.5,18.5,18.5,0,0,0
"2004-02-10T00:00:00.000Z",18.5,20,19,20,1.5,8.108108108108109,5000
"2004-02-18T00:00:00.000Z",20,19.95,19.95,19.95,-0.05,-0.25,0
"2004-02-20T00:00:00.000Z",19.95,19.9,19.9,19.9,-0.05,-0.25062656641604014,0
"2004-02-23T00:00:00.000Z",19.9,19.25,19.25,19.25,-0.65,-3.2663316582914574,0
"2004-02-24T00:00:00.000Z",19.25,19,19,19,-0.25,-1.2987012987012987,0
"2004-03-26T00:00:00.000Z",19,18.9,18.9,18.9,-0.1,-0.5263157894736842,0
"2004-03-30T00:00:00.000Z",18.9,18.5,18.5,18.5,-0.4,-2.1164021164021167,500
"2004-04-13T00:00:00.000Z",18.5,18,18,18,-0.5,-2.7027027027027026,0
"2004-04-16T00:00:00.000Z",18,17.9,17.9,17.9,-0.1,-0.5555555555555556,0
"2004-04-19T00:00:00.000Z",17.9,19.4,17,18,0.1,0.558659217877095,6000
"2004-05-07T00:00:00.000Z",18,19.5,19,19.5,1.5,8.333333333333332,2000
"2004-05-11T00:00:00.000Z",19.5,21,19.5,20.5,1,5.128205128205128,7500
"2004-05-12T00:00:00.000Z",20.5,22,21.95,21.95,1.45,7.073170731707316,1000
"2004-05-13T00:00:00.000Z",21.95,22.25,22.25,22.25,0.3,1.366742596810934,500
"2004-05-14T00:00:00.000Z",22.25,23.75,23.75,23.75,1.5,6.741573033707865,500
"2004-05-17T00:00:00.000Z",23.75,25.5,25.5,25.5,1.75,7.368421052631578,1000
"2004-05-18T00:00:00.000Z",25.5,27.4,27.4,27.4,1.9,7.450980392156863,1000
"2004-05-19T00:00:00.000Z",27.4,29.45,28,28,0.6,2.18978102189781,5000
"2004-05-31T00:00:00.000Z",28,28.5,28.5,28.5,0.5,1.7857142857142856,500
"2004-06-03T00:00:00.000Z",28.5,28,28,28,-0.5,-1.7543859649122806,0
"2004-06-04T00:00:00.000Z",28,27.5,27.5,27.5,-0.5,-1.7857142857142856,0
"2004-06-07T00:00:00.000Z",27.5,27,27,27,-0.5,-1.8181818181818181,0
"2004-06-10T00:00:00.000Z",27,26,26,26,-1,-3.7037037037037033,0
"2004-06-24T00:00:00.000Z",26,25.45,25.45,25.45,-0.55,-2.1153846153846154,0
