"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",145.05,147.9,145,145,0,0,76200
"2004-01-02T00:00:00.000Z",145,146,144.1,145,0,0,6400
"2004-01-05T00:00:00.000Z",145,149,146.5,146.5,1.5,1.0344827586206897,22900
"2004-01-06T00:00:00.000Z",146.5,153.45,147.1,152.95,6.45,4.402730375426621,187000
"2004-01-07T00:00:00.000Z",152.95,158,154.85,157.95,5,3.2690421706440014,132600
"2004-01-08T00:00:00.000Z",157.95,166.8,159,163.5,5.55,3.5137701804368473,470300
"2004-01-09T00:00:00.000Z",163.5,169.9,161,165,1.5,0.9174311926605505,143300
"2004-01-12T00:00:00.000Z",165,166.9,160,162.95,-2.05,-1.2424242424242422,87800
"2004-01-13T00:00:00.000Z",162.95,162.1,157,157.25,-5.7,-3.4980055231666163,117600
"2004-01-14T00:00:00.000Z",157.25,160.9,156.1,158.5,1.25,0.7949125596184419,119800
"2004-01-15T00:00:00.000Z",158.5,158.5,152.05,156,-2.5,-1.5772870662460567,116300
"2004-01-16T00:00:00.000Z",156,162,157,160,4,2.564102564102564,194200
"2004-01-19T00:00:00.000Z",160,162.9,159.1,159.1,-0.9,-0.5625,103500
"2004-01-20T00:00:00.000Z",159.1,159.9,156.5,159,-0.1,-0.06285355122564425,23900
"2004-01-21T00:00:00.000Z",159,160.5,157.5,157.5,-1.5,-0.9433962264150944,58600
"2004-01-22T00:00:00.000Z",157.5,159.95,158,158.25,0.75,0.4761904761904762,34900
"2004-01-23T00:00:00.000Z",158.25,160,157.5,158.55,0.3,0.1895734597156398,64200
"2004-01-26T00:00:00.000Z",158.55,160.75,156.25,158.5,-0.05,-0.031535793125197095,65100
"2004-01-27T00:00:00.000Z",158.5,160.5,157,160.5,2,1.2618296529968454,20200
"2004-01-28T00:00:00.000Z",160.5,164.75,158.75,161.45,0.95,0.5919003115264798,118300
"2004-01-29T00:00:00.000Z",161.45,160.9,159.25,160.5,-0.95,-0.5884174667079591,24400
"2004-01-30T00:00:00.000Z",160.5,161,159,160.95,0.45,0.28037383177570097,21900
"2004-02-06T00:00:00.000Z",160.95,164.5,160.1,161.4,0.45,0.2795899347623485,97700
"2004-02-09T00:00:00.000Z",161.4,161.8,158,158,-3.4,-2.1065675340768277,43900
"2004-02-10T00:00:00.000Z",158,159.8,157.25,157.3,-0.7,-0.4430379746835442,26500
"2004-02-11T00:00:00.000Z",157.3,161,157,158,0.7,0.4450095359186268,35300
"2004-02-12T00:00:00.000Z",158,152,150.1,150.1,-7.9,-5,1182000
"2004-02-13T00:00:00.000Z",150.1,151,142.6,146,-4.1,-2.7315123251165887,1151600
"2004-02-16T00:00:00.000Z",146,148.45,145,145,-1,-0.684931506849315,35700
"2004-02-17T00:00:00.000Z",145,145,142,142,-3,-2.0689655172413794,50900
"2004-02-18T00:00:00.000Z",142,152.65,143,144.5,2.5,1.7605633802816902,216400
"2004-02-19T00:00:00.000Z",144.5,149,145,148,3.5,2.422145328719723,31200
"2004-02-20T00:00:00.000Z",148,151,145,146,-2,-1.3513513513513513,25900
"2004-02-23T00:00:00.000Z",146,149.5,144,144,-2,-1.36986301369863,878300
"2004-02-24T00:00:00.000Z",144,147.75,142,145.25,1.25,0.8680555555555556,16300
"2004-02-25T00:00:00.000Z",145.25,145,142,142.5,-2.75,-1.8932874354561102,23400
"2004-02-26T00:00:00.000Z",142.5,145,144,144.5,2,1.4035087719298245,28500
"2004-02-27T00:00:00.000Z",144.5,146,144,145.6,1.1,0.7612456747404844,29500
"2004-03-03T00:00:00.000Z",145.6,149.9,144,146,0.4,0.27472527472527475,28200
"2004-03-04T00:00:00.000Z",146,147.9,145.1,147,1,0.684931506849315,40300
"2004-03-05T00:00:00.000Z",147,150,147.75,147.75,0.75,0.5102040816326531,65000
"2004-03-08T00:00:00.000Z",147.75,148.5,143,144.8,-2.95,-1.996615905245347,1004600
"2004-03-09T00:00:00.000Z",144.8,147,140,140,-4.8,-3.314917127071823,125100
"2004-03-10T00:00:00.000Z",140,144,139,139.1,-0.9,-0.6428571428571428,71600
"2004-03-11T00:00:00.000Z",139.1,142,139.5,140.5,1.4,1.0064701653486698,112000
"2004-03-12T00:00:00.000Z",140.5,147,141.3,142.5,2,1.4234875444839856,247700
"2004-03-15T00:00:00.000Z",142.5,143,141.05,141.05,-1.45,-1.0175438596491229,94600
"2004-03-16T00:00:00.000Z",141.05,143,142.05,143,1.95,1.3824884792626728,17400
"2004-03-17T00:00:00.000Z",143,144.8,140,141,-2,-1.3986013986013985,81300
"2004-03-18T00:00:00.000Z",141,142.5,136.55,140,-1,-0.7092198581560284,45700
"2004-03-19T00:00:00.000Z",140,146.75,138,145.45,5.45,3.8928571428571432,416300
"2004-03-22T00:00:00.000Z",145.45,147,144,144.45,-1,-0.6875214850464078,73900
"2004-03-24T00:00:00.000Z",144.45,144.5,139,139,-5.45,-3.7729318103149883,325300
"2004-03-25T00:00:00.000Z",139,142,135.65,138.5,-0.5,-0.3597122302158274,319500
"2004-03-26T00:00:00.000Z",138.5,141.65,138,138.55,0.05,0.03610108303249098,101800
"2004-03-29T00:00:00.000Z",138.55,142,134.5,134.5,-4.05,-2.9231324431613133,119200
"2004-03-30T00:00:00.000Z",134.5,137,129,130.15,-4.35,-3.2342007434944233,230500
"2004-03-31T00:00:00.000Z",130.15,136,126.4,135,4.85,3.726469458317326,169100
"2004-04-01T00:00:00.000Z",135,136,131.75,133,-2,-1.4814814814814816,46000
"2004-04-02T00:00:00.000Z",133,134.8,131.6,131.6,-1.4,-1.0526315789473684,26700
"2004-04-05T00:00:00.000Z",131.6,135.5,132,132.7,1.1,0.8358662613981764,44100
"2004-04-06T00:00:00.000Z",132.7,136,133,133.05,0.35,0.2637528259231348,48800
"2004-04-07T00:00:00.000Z",133.05,137,134,137,3.95,2.9688087185268697,739700
"2004-04-08T00:00:00.000Z",137,138,135,135.25,-1.75,-1.2773722627737227,24900
"2004-04-09T00:00:00.000Z",135.25,135.5,134,134.9,-0.35,-0.25878003696857665,34200
"2004-04-12T00:00:00.000Z",134.9,137,133,134.5,-0.4,-0.2965159377316531,20400
"2004-04-13T00:00:00.000Z",134.5,142,136,136,1.5,1.1152416356877324,197000
"2004-04-14T00:00:00.000Z",136,137.25,132,136,0,0,22200
"2004-04-15T00:00:00.000Z",136,137,135,135.1,-0.9,-0.6617647058823529,24000
"2004-04-16T00:00:00.000Z",135.1,137,134.45,135,-0.1,-0.07401924500370097,25900
"2004-04-19T00:00:00.000Z",135,136.95,134.5,135,0,0,20100
"2004-04-20T00:00:00.000Z",132,134,131.5,133.5,-1.5,-1.1111111111111112,10600
"2004-04-21T00:00:00.000Z",133.5,134.8,128.65,128.65,-4.85,-3.632958801498127,27400
"2004-04-22T00:00:00.000Z",128.65,131,125,126,-2.65,-2.059852312475709,14900
"2004-04-23T00:00:00.000Z",126,130,127,129,3,2.380952380952381,7800
"2004-04-26T00:00:00.000Z",129,129,122.55,125,-4,-3.10077519379845,9700
"2004-04-27T00:00:00.000Z",125,126,122.05,123.5,-1.5,-1.2,22200
"2004-04-28T00:00:00.000Z",123.5,129,123,123,-0.5,-0.4048582995951417,28300
"2004-04-29T00:00:00.000Z",123,126,124,124,1,0.8130081300813009,51200
"2004-04-30T00:00:00.000Z",124,124,122.1,123.9,-0.1,-0.08064516129032258,17600
"2004-05-04T00:00:00.000Z",123.9,130,125,129,5.1,4.116222760290556,153400
"2004-05-05T00:00:00.000Z",129,131,128.5,131,2,1.550387596899225,18200
"2004-05-06T00:00:00.000Z",131,132,127.5,130,-1,-0.7633587786259541,9900
"2004-05-07T00:00:00.000Z",130,130,128,130,0,0,3300
"2004-05-10T00:00:00.000Z",130,132,128.1,130.75,0.75,0.576923076923077,17700
"2004-05-11T00:00:00.000Z",130.75,130.5,128,130,-0.75,-0.5736137667304015,9900
"2004-05-12T00:00:00.000Z",130,128.75,127,128.5,-1.5,-1.153846153846154,9400
"2004-05-13T00:00:00.000Z",128.5,128.5,126.75,128,-0.5,-0.38910505836575876,5400
"2004-05-14T00:00:00.000Z",128,129.5,129,129.05,1.05,0.8203125,2600
"2004-05-17T00:00:00.000Z",129.05,131,126.95,127,-2.05,-1.5885315769081747,17400
"2004-05-18T00:00:00.000Z",127,128,125,127.5,0.5,0.39370078740157477,11000
"2004-05-19T00:00:00.000Z",127.5,131,127,128,0.5,0.39215686274509803,17200
"2004-05-20T00:00:00.000Z",128,130,128.25,128.25,0.25,0.1953125,2200
"2004-05-21T00:00:00.000Z",128.25,128,126,127,-1.25,-0.9746588693957114,2100
"2004-05-24T00:00:00.000Z",127,127,124,124,-3,-2.3622047244094486,3100
"2004-05-25T00:00:00.000Z",124,126.9,124,125,1,0.8064516129032258,4700
"2004-05-26T00:00:00.000Z",125,125,124,125,0,0,5500
"2004-05-27T00:00:00.000Z",125,126.9,122.1,124.1,-0.9,-0.72,8700
"2004-05-28T00:00:00.000Z",124.1,125.35,123.95,123.95,-0.15,-0.120870265914585,1800
"2004-05-31T00:00:00.000Z",123.95,123.1,122.75,123,-0.95,-0.7664380798709156,8000
"2004-06-01T00:00:00.000Z",123,123.95,122.75,123.95,0.95,0.7723577235772358,1700
"2004-06-02T00:00:00.000Z",123.95,123.5,122.75,122.75,-1.2,-0.9681323114158934,30500
"2004-06-03T00:00:00.000Z",122.75,122.75,121,122,-0.75,-0.6109979633401221,35800
"2004-06-04T00:00:00.000Z",122,123,122,123,1,0.819672131147541,3400
"2004-06-07T00:00:00.000Z",123,124,123,123,0,0,600
"2004-06-08T00:00:00.000Z",123,132.2,124,130,7,5.691056910569105,20700
"2004-06-09T00:00:00.000Z",130,130,125.5,125.5,-4.5,-3.4615384615384617,8000
"2004-06-10T00:00:00.000Z",125.5,126,126,126,0.5,0.398406374501992,1500
"2004-06-11T00:00:00.000Z",126,131,127,129.85,3.85,3.0555555555555554,38300
"2004-06-14T00:00:00.000Z",129.85,123.4,123.4,123.4,-6.45,-4.967269926838661,21300
"2004-06-15T00:00:00.000Z",123.4,124,117.25,122,-1.4,-1.1345218800648296,57100
