"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",288.55,290.4,285.1,287.6,0,0,0,12089700
"2004-01-02T00:00:00.000Z",287.6,288.7,285.6,286.1,-1.5,-0.521557719054242,-0.521557719054242,5309500
"2004-01-05T00:00:00.000Z",286.1,289.75,286.25,286.25,0.15,0.05242922055225445,0.05242922055225445,8175200
"2004-01-06T00:00:00.000Z",286.25,286,282,285,-1.25,-0.43668122270742354,-0.43668122270742354,10868800
"2004-01-07T00:00:00.000Z",285,288,285.7,287.1,2.1,0.736842105263158,0.736842105263158,10445100
"2004-01-08T00:00:00.000Z",287.1,284.4,281,281.35,-5.75,-2.002786485545106,-2.002786485545106,11460200
"2004-01-09T00:00:00.000Z",281.35,282.4,279,280.85,-0.5,-0.17771459036786919,-0.17771459036786919,5676100
"2004-01-12T00:00:00.000Z",280.85,282.5,279.9,280.5,-0.35,-0.1246216841730461,-0.1246216841730461,2970800
"2004-01-13T00:00:00.000Z",280.5,282.15,277.5,281.4,0.9,0.32085561497326204,0.32085561497326204,11175400
"2004-01-14T00:00:00.000Z",281.4,281.25,278.75,279,-2.4,-0.8528784648187633,-0.8528784648187633,5604600
"2004-01-15T00:00:00.000Z",279,280.65,277.9,279.6,0.6,0.21505376344086022,0.21505376344086022,7918600
"2004-01-16T00:00:00.000Z",279.6,281.9,279.5,281.2,1.6,0.5722460658082976,0.5722460658082976,6215500
"2004-01-19T00:00:00.000Z",281.2,289.5,284,287,5.8,2.062588904694168,2.062588904694168,21451000
"2004-01-20T00:00:00.000Z",287,290.8,286,290.7,3.7,1.289198606271777,1.289198606271777,18492500
"2004-01-21T00:00:00.000Z",290.7,293.75,288.1,288.75,-1.95,-0.6707946336429308,-0.6707946336429308,20473700
"2004-01-22T00:00:00.000Z",288.75,291.5,287.65,290.7,1.95,0.6753246753246753,0.6753246753246753,10111000
"2004-01-23T00:00:00.000Z",290.7,291,286.55,286.6,-4.1,-1.4103887168902647,-1.4103887168902647,7938000
"2004-01-26T00:00:00.000Z",286.6,286.5,279.25,279.5,-7.1,-2.47732030704815,-2.47732030704815,8924500
"2004-01-27T00:00:00.000Z",279.5,284.55,278.55,284.25,4.75,1.6994633273703041,1.6994633273703041,10593400
"2004-01-28T00:00:00.000Z",284.25,285.8,281.7,283,-1.25,-0.43975373790677225,-0.43975373790677225,5627900
"2004-01-29T00:00:00.000Z",283,284.9,282.5,283.7,0.7,0.24734982332155478,0.24734982332155478,5841800
"2004-01-30T00:00:00.000Z",283.7,288.4,282.45,287.65,3.95,1.3923158265773707,1.3923158265773707,15960900
"2004-02-06T00:00:00.000Z",287.65,287.95,285.85,286.5,-1.15,-0.39979141317573436,-0.39979141317573436,5646700
"2004-02-09T00:00:00.000Z",286.5,287.9,282.1,282.5,-4,-1.3961605584642234,-1.3961605584642234,5397900
"2004-02-10T00:00:00.000Z",282.5,287.4,281.5,286.6,4.1,1.4513274336283184,1.4513274336283184,11404400
"2004-02-11T00:00:00.000Z",286.6,289.4,286.6,287.75,1.15,0.4012561060711793,0.4012561060711793,16934100
"2004-02-12T00:00:00.000Z",287.75,287,283.3,284.5,-3.25,-1.1294526498696786,-1.1294526498696786,7003500
"2004-02-13T00:00:00.000Z",284.5,290,283.75,290,5.5,1.9332161687170473,1.9332161687170473,9119400
"2004-02-16T00:00:00.000Z",290,291.4,286.25,286.5,-3.5,-1.206896551724138,-1.206896551724138,10464700
"2004-02-17T00:00:00.000Z",286.5,287.5,284.05,285.15,-1.35,-0.4712041884816754,-0.4712041884816754,7614700
"2004-02-18T00:00:00.000Z",285.15,292.1,284.7,291.7,6.55,2.297036647378573,2.297036647378573,25497500
"2004-02-19T00:00:00.000Z",291.7,292.5,287.25,288,-3.7,-1.2684264655467947,-1.2684264655467947,18404100
"2004-02-20T00:00:00.000Z",288,292,288.35,291.4,3.4,1.1805555555555556,1.1805555555555556,18045400
"2004-02-23T00:00:00.000Z",291.4,292,283.5,283.9,-7.5,-2.573781743308168,-2.573781743308168,10583500
"2004-02-24T00:00:00.000Z",283.9,287.6,282.25,287,3.1,1.091933779499824,1.091933779499824,11771400
"2004-02-25T00:00:00.000Z",287,289.65,286.35,289.65,2.65,0.9233449477351916,0.9233449477351916,9548700
"2004-02-26T00:00:00.000Z",289.65,291.15,288.3,290.05,0.4,0.1380977041256689,0.1380977041256689,8913300
"2004-02-27T00:00:00.000Z",290.05,293.4,289.15,293.1,3.05,1.0515428374418203,1.0515428374418203,13933500
"2004-03-03T00:00:00.000Z",293.1,292.9,290.1,291.45,-1.65,-0.5629477993858751,-0.5629477993858751,5190200
"2004-03-04T00:00:00.000Z",291.45,292.8,291.15,291.4,-0.05,-0.0171556013038257,-0.0171556013038257,5786300
"2004-03-05T00:00:00.000Z",291.4,291.95,289.25,290.25,-1.15,-0.394646533973919,-0.394646533973919,7395600
"2004-03-08T00:00:00.000Z",290.25,291.2,289.15,289.55,-0.7,-0.24117140396210163,-0.24117140396210163,4387300
"2004-03-09T00:00:00.000Z",289.55,293.75,289.3,292.95,3.4,1.1742358832671387,1.1742358832671387,935800
"2004-03-10T00:00:00.000Z",292.95,293.9,290.1,292.7,-0.25,-0.08533879501621437,-0.08533879501621437,828400
"2004-03-11T00:00:00.000Z",292.7,293.65,292,293.5,0.8,0.2733173898189273,0.2733173898189273,1472700
"2004-03-12T00:00:00.000Z",293.5,294.75,293.5,293.5,0,0,0,1249300
"2004-03-15T00:00:00.000Z",293.5,294.8,293.2,294.05,0.55,0.18739352640545145,0.18739352640545145,261400
"2004-03-16T00:00:00.000Z",287.05,288.75,286.8,287.2,-6.85,-2.329535793232443,-2.329535793232443,3022300
"2004-03-17T00:00:00.000Z",287.2,288.1,286.05,286.35,-0.85,-0.2959610027855153,-0.2959610027855153,3726300
"2004-03-18T00:00:00.000Z",286.35,287.2,284.75,284.9,-1.45,-0.5063733193644142,-0.5063733193644142,2520300
"2004-03-19T00:00:00.000Z",284.9,288.2,284.75,287.2,2.3,0.8073008073008073,0.8073008073008073,11005300
"2004-03-22T00:00:00.000Z",287.2,288.9,286.25,286.3,-0.9,-0.3133704735376045,-0.3133704735376045,5689100
"2004-03-24T00:00:00.000Z",286.3,287.65,285.65,286.3,0,0,0,3467400
"2004-03-25T00:00:00.000Z",286.3,287.3,286.05,286.2,-0.1,-0.0349283967865875,-0.0349283967865875,2670900
"2004-03-26T00:00:00.000Z",286.2,290.75,287.05,287.25,1.05,0.3668763102725367,0.3668763102725367,12986700
"2004-03-29T00:00:00.000Z",287.25,288.85,284.45,286.3,-0.95,-0.3307223672758921,-0.3307223672758921,8170700
"2004-03-30T00:00:00.000Z",286.3,288.1,284.5,285.25,-1.05,-0.36674816625916873,-0.36674816625916873,5044300
"2004-03-31T00:00:00.000Z",285.25,286.1,283.7,285.45,0.2,0.07011393514460999,0.07011393514460999,3080700
"2004-04-01T00:00:00.000Z",285.45,287.2,284.3,284.95,-0.5,-0.17516202487300753,-0.17516202487300753,6205000
"2004-04-02T00:00:00.000Z",284.95,285.85,284.15,284.75,-0.2,-0.07018775223723461,-0.07018775223723461,3754300
"2004-04-05T00:00:00.000Z",284.75,286.4,284.7,285.3,0.55,0.19315188762071994,0.19315188762071994,3967500
"2004-04-06T00:00:00.000Z",285.3,285.55,283,283.4,-1.9,-0.6659656501927796,-0.6659656501927796,4694900
"2004-04-07T00:00:00.000Z",283.4,285.85,283.35,283.5,0.1,0.03528581510232887,0.03528581510232887,3852000
"2004-04-08T00:00:00.000Z",283.5,287.4,283.5,285.75,2.25,0.7936507936507936,0.7936507936507936,11594100
"2004-04-09T00:00:00.000Z",285.75,285.5,282.5,284.05,-1.7,-0.5949256342957131,-0.5949256342957131,4666800
"2004-04-12T00:00:00.000Z",284.05,285.5,283.45,284.2,0.15,0.052807604295018476,0.052807604295018476,1938600
"2004-04-13T00:00:00.000Z",284.2,285,282,283,-1.2,-0.422237860661506,-0.422237860661506,3664900
"2004-04-14T00:00:00.000Z",283,283.5,280.25,281.25,-1.75,-0.6183745583038869,-0.6183745583038869,2774900
"2004-04-15T00:00:00.000Z",281.25,285.75,281.95,284.5,3.25,1.1555555555555554,1.1555555555555554,10978000
