"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",36.65,36.95,36.4,36.6,0,0,0,15720000
"2004-01-02T00:00:00.000Z",36.6,36.75,36.35,36.55,-0.05,-0.1366120218579235,-0.1366120218579235,11002000
"2004-01-05T00:00:00.000Z",36.55,37,36.55,36.6,0.05,0.13679890560875513,0.13679890560875513,13845500
"2004-01-06T00:00:00.000Z",36.6,36.8,36.35,36.75,0.15,0.40983606557377045,0.40983606557377045,14159500
"2004-01-07T00:00:00.000Z",36.75,37.1,36.75,37,0.25,0.6802721088435374,0.6802721088435374,17476500
"2004-01-08T00:00:00.000Z",37,37.1,36.65,36.9,-0.1,-0.2702702702702703,-0.2702702702702703,30098000
"2004-01-09T00:00:00.000Z",36.9,37.4,36.95,37.25,0.35,0.9485094850948509,0.9485094850948509,61872500
"2004-01-12T00:00:00.000Z",37.25,37.5,37.3,37.4,0.15,0.40268456375838924,0.40268456375838924,17026000
"2004-01-13T00:00:00.000Z",37.4,37.45,37.15,37.25,-0.15,-0.4010695187165776,-0.4010695187165776,7750500
"2004-01-14T00:00:00.000Z",37.25,37.35,37.1,37.25,0,0,0,7785500
"2004-01-15T00:00:00.000Z",37.25,37.3,36.9,37.3,0.05,0.13422818791946312,0.13422818791946312,13191000
"2004-01-16T00:00:00.000Z",37.3,37.7,37.2,37.65,0.35,0.938337801608579,0.938337801608579,34128500
"2004-01-19T00:00:00.000Z",37.65,38,37.55,37.65,0,0,0,18658000
"2004-01-20T00:00:00.000Z",37.65,37.6,37.25,37.45,-0.2,-0.5312084993359893,-0.5312084993359893,7281500
"2004-01-21T00:00:00.000Z",37.45,37.8,37.5,37.8,0.35,0.9345794392523366,0.9345794392523366,18689000
"2004-01-22T00:00:00.000Z",37.8,37.95,37.7,37.85,0.05,0.13227513227513227,0.13227513227513227,9513000
"2004-01-23T00:00:00.000Z",37.85,38.2,37.65,37.7,-0.15,-0.3963011889035667,-0.3963011889035667,20414000
"2004-01-26T00:00:00.000Z",37.7,38,37.4,37.45,-0.25,-0.663129973474801,-0.663129973474801,19477000
"2004-01-27T00:00:00.000Z",37.45,37.7,37.35,37.7,0.25,0.6675567423230974,0.6675567423230974,8377000
"2004-01-28T00:00:00.000Z",37.7,38.05,37.55,37.8,0.1,0.26525198938992045,0.26525198938992045,21847000
"2004-01-29T00:00:00.000Z",37.8,38.25,37.9,38,0.2,0.5291005291005292,0.5291005291005292,26442000
"2004-01-30T00:00:00.000Z",38,38.8,38,38.75,0.75,1.9736842105263157,1.9736842105263157,57541500
"2004-02-06T00:00:00.000Z",38.75,39.65,38.7,39.5,0.75,1.935483870967742,1.935483870967742,57141500
"2004-02-09T00:00:00.000Z",39.5,39.7,38.85,38.95,-0.55,-1.3924050632911393,-1.3924050632911393,35789500
"2004-02-10T00:00:00.000Z",38.95,39.3,38.8,39.25,0.3,0.7702182284980744,0.7702182284980744,18438500
"2004-02-11T00:00:00.000Z",39.25,39.65,38.95,38.95,-0.3,-0.7643312101910829,-0.7643312101910829,47966500
"2004-02-12T00:00:00.000Z",38.95,38.9,38.4,38.6,-0.35,-0.8985879332477533,-0.8985879332477533,17074500
"2004-02-13T00:00:00.000Z",38.6,39.4,38.5,39.35,0.75,1.9430051813471503,1.9430051813471503,35129000
"2004-02-16T00:00:00.000Z",39.35,40,39.4,39.75,0.4,1.0165184243964422,1.0165184243964422,59782000
"2004-02-17T00:00:00.000Z",39.75,39.9,39.05,39.3,-0.45,-1.1320754716981134,-1.1320754716981134,41550000
"2004-02-18T00:00:00.000Z",39.3,40.1,39.1,40.05,0.75,1.9083969465648856,1.9083969465648856,73113000
"2004-02-19T00:00:00.000Z",40.05,40.2,39.75,39.8,-0.25,-0.6242197253433209,-0.6242197253433209,72646500
"2004-02-20T00:00:00.000Z",39.8,40.05,39.5,39.65,-0.15,-0.3768844221105528,-0.3768844221105528,27384500
"2004-02-23T00:00:00.000Z",39.65,39.75,39,39,-0.65,-1.639344262295082,-1.639344262295082,19526000
"2004-02-24T00:00:00.000Z",39,39.6,38.8,39.5,0.5,1.282051282051282,1.282051282051282,37270500
"2004-02-25T00:00:00.000Z",39.5,39.7,39.2,39.6,0.1,0.25316455696202533,0.25316455696202533,23156500
"2004-02-26T00:00:00.000Z",39.6,40.05,39.55,39.9,0.3,0.7575757575757575,0.7575757575757575,65693500
"2004-02-27T00:00:00.000Z",39.9,40.05,39.75,39.85,-0.05,-0.12531328320802007,-0.12531328320802007,21819000
"2004-03-03T00:00:00.000Z",39.85,39.9,39.6,39.7,-0.15,-0.37641154328732745,-0.37641154328732745,13709000
"2004-03-04T00:00:00.000Z",39.7,39.9,39.65,39.75,0.05,0.12594458438287154,0.12594458438287154,17120500
"2004-03-05T00:00:00.000Z",39.75,39.85,39.6,39.75,0,0,0,7809500
"2004-03-08T00:00:00.000Z",39.75,40.3,39.75,39.85,0.1,0.2515723270440252,0.2515723270440252,51604000
"2004-03-09T00:00:00.000Z",39.85,40,39.7,39.75,-0.1,-0.25094102885821834,-0.25094102885821834,14569000
"2004-03-10T00:00:00.000Z",39.75,39.9,39.3,39.3,-0.45,-1.1320754716981134,-1.1320754716981134,14584500
"2004-03-11T00:00:00.000Z",39.3,39.55,39.2,39.55,0.25,0.6361323155216285,0.6361323155216285,5209000
"2004-03-12T00:00:00.000Z",39.55,39.6,39.4,39.45,-0.1,-0.2528445006321112,-0.2528445006321112,8483500
"2004-03-15T00:00:00.000Z",39.45,39.9,39.5,39.75,0.3,0.7604562737642585,0.7604562737642585,24007000
"2004-03-16T00:00:00.000Z",39.75,39.95,39.65,39.7,-0.05,-0.1257861635220126,-0.1257861635220126,8615500
"2004-03-17T00:00:00.000Z",39.7,39.85,39.55,39.7,0,0,0,10186500
"2004-03-18T00:00:00.000Z",39.7,39.9,39.5,39.6,-0.1,-0.2518891687657431,-0.2518891687657431,11887000
"2004-03-19T00:00:00.000Z",39.6,39.75,39.6,39.7,0.1,0.25252525252525254,0.25252525252525254,7723500
"2004-03-22T00:00:00.000Z",39.7,39.9,39.65,39.65,-0.05,-0.12594458438287157,-0.12594458438287157,9881000
"2004-03-24T00:00:00.000Z",39.65,40.4,39.65,40.3,0.65,1.639344262295082,1.639344262295082,61697000
"2004-03-25T00:00:00.000Z",40.3,41.35,40.5,41.15,0.85,2.109181141439206,2.109181141439206,111769500
"2004-03-26T00:00:00.000Z",41.15,41.35,40.65,40.75,-0.4,-0.9720534629404618,-0.9720534629404618,21260000
"2004-03-29T00:00:00.000Z",40.75,41.05,40.35,40.6,-0.15,-0.36809815950920244,-0.36809815950920244,29210000
"2004-03-30T00:00:00.000Z",40.6,40.9,40.45,40.6,0,0,0,15487500
"2004-03-31T00:00:00.000Z",40.6,40.7,40.25,40.5,-0.1,-0.24630541871921183,-0.24630541871921183,14619000
"2004-04-01T00:00:00.000Z",40.5,40.6,40.3,40.45,-0.05,-0.12345679012345678,-0.12345679012345678,18305000
"2004-04-02T00:00:00.000Z",40.45,40.8,40.5,40.6,0.15,0.37082818294190356,0.37082818294190356,29807500
"2004-04-05T00:00:00.000Z",40.6,41.35,40.7,41.3,0.7,1.7241379310344827,1.7241379310344827,63012500
"2004-04-06T00:00:00.000Z",41.3,41.3,40.55,40.9,-0.4,-0.9685230024213075,-0.9685230024213075,35961000
"2004-04-07T00:00:00.000Z",40.9,41.2,40.8,41.1,0.2,0.488997555012225,0.488997555012225,37364000
"2004-04-08T00:00:00.000Z",41.1,42,41.4,41.75,0.65,1.5815085158150852,1.5815085158150852,72556500
"2004-04-09T00:00:00.000Z",41.75,41.85,40.9,41.8,0.05,0.11976047904191617,0.11976047904191617,55381000
"2004-04-12T00:00:00.000Z",41.8,43.45,42.1,43.35,1.55,3.7081339712918657,3.7081339712918657,99081500
"2004-04-13T00:00:00.000Z",43.35,43.5,42.7,42.85,-0.5,-1.1534025374855825,-1.1534025374855825,81212000
"2004-04-14T00:00:00.000Z",42.85,44.6,42.65,44.3,1.45,3.3838973162193704,3.3838973162193704,132824000
"2004-04-15T00:00:00.000Z",44.3,45,44.35,44.45,0.15,0.3386004514672686,0.3386004514672686,77728500
"2004-04-16T00:00:00.000Z",44.45,45.4,44.4,44.75,0.3,0.6749156355455567,0.6749156355455567,117622500
"2004-04-19T00:00:00.000Z",44.75,45.2,44.6,44.85,0.1,0.223463687150838,0.223463687150838,58967500
"2004-04-20T00:00:00.000Z",44.85,44.9,44.05,44.45,-0.4,-0.8918617614269788,-0.8918617614269788,27607000
"2004-04-21T00:00:00.000Z",44.45,44.55,43.05,43.6,-0.85,-1.9122609673790776,-1.9122609673790776,57570000
"2004-04-22T00:00:00.000Z",43.6,44,43.1,43.95,0.35,0.8027522935779815,0.8027522935779815,55433500
"2004-04-23T00:00:00.000Z",43.95,44,42.75,42.85,-1.1,-2.502844141069397,-2.502844141069397,40500000
"2004-04-26T00:00:00.000Z",42.85,43.35,42.7,43.3,0.45,1.0501750291715288,1.0501750291715288,26195000
"2004-04-27T00:00:00.000Z",43.3,43.9,42.95,43,-0.3,-0.6928406466512702,-0.6928406466512702,62102500
"2004-04-28T00:00:00.000Z",43,43.35,42.6,43.35,0.35,0.813953488372093,0.813953488372093,61877000
"2004-04-29T00:00:00.000Z",43.35,43.8,43.15,43.35,0,0,0,46154000
"2004-04-30T00:00:00.000Z",43.35,44.4,43.2,44.3,0.95,2.1914648212226067,2.1914648212226067,61955000
"2004-05-04T00:00:00.000Z",44.3,45.35,44.35,45.3,1,2.2573363431151243,2.2573363431151243,72134000
"2004-05-05T00:00:00.000Z",45.3,45.45,44.65,44.75,-0.55,-1.2141280353200885,-1.2141280353200885,42589000
"2004-05-06T00:00:00.000Z",44.75,45.25,44.75,44.9,0.15,0.33519553072625696,0.33519553072625696,36863500
"2004-05-07T00:00:00.000Z",44.9,44.9,44,44.55,-0.35,-0.7795100222717148,-0.7795100222717148,18657500
"2004-05-10T00:00:00.000Z",44.55,44.75,44,44,-0.55,-1.234567901234568,-1.234567901234568,14170500
"2004-05-11T00:00:00.000Z",44,44.1,43.75,43.75,-0.25,-0.5681818181818182,-0.5681818181818182,16851000
"2004-05-12T00:00:00.000Z",43.75,44.05,42.95,43.25,-0.5,-1.1428571428571428,-1.1428571428571428,26962500
"2004-05-13T00:00:00.000Z",43.25,43.7,42.95,43.7,0.45,1.0404624277456647,1.0404624277456647,22488500
"2004-05-14T00:00:00.000Z",43.7,43.9,43.45,43.55,-0.15,-0.34324942791762014,-0.34324942791762014,15558000
"2004-05-17T00:00:00.000Z",43.55,43.8,42.85,43.25,-0.3,-0.6888633754305397,-0.6888633754305397,30239500
"2004-05-18T00:00:00.000Z",43.25,43.4,42.75,42.95,-0.3,-0.6936416184971098,-0.6936416184971098,15753500
"2004-05-19T00:00:00.000Z",42.95,43.5,42.9,43.4,0.45,1.0477299185098954,1.0477299185098954,19162000
"2004-05-20T00:00:00.000Z",43.4,43.7,43.4,43.45,0.05,0.1152073732718894,0.1152073732718894,13569000
"2004-05-21T00:00:00.000Z",43.45,43.95,43.4,43.8,0.35,0.805523590333717,0.805523590333717,32444500
"2004-05-24T00:00:00.000Z",43.8,44,43.3,43.3,-0.5,-1.1415525114155252,-1.1415525114155252,14539500
"2004-05-25T00:00:00.000Z",43.3,43.35,43.05,43.2,-0.1,-0.23094688221709006,-0.23094688221709006,10315000
"2004-05-26T00:00:00.000Z",43.2,43.55,43.3,43.35,0.15,0.3472222222222222,0.3472222222222222,19893500
"2004-05-27T00:00:00.000Z",43.35,43.4,43.1,43.35,0,0,0,14623000
"2004-05-28T00:00:00.000Z",43.35,43.5,43.1,43.1,-0.25,-0.5767012687427913,-0.5767012687427913,13595500
"2004-05-31T00:00:00.000Z",43.1,42.95,42.3,42.75,-0.35,-0.8120649651972157,-0.8120649651972157,20125500
"2004-06-01T00:00:00.000Z",42.75,42.55,42.05,42.2,-0.55,-1.2865497076023393,-1.2865497076023393,15245000
"2004-06-02T00:00:00.000Z",42.2,42.45,42,42.05,-0.15,-0.35545023696682465,-0.35545023696682465,12286500
"2004-06-03T00:00:00.000Z",42.05,42.2,40.8,41,-1.05,-2.4970273483947687,-2.4970273483947687,26225000
"2004-06-04T00:00:00.000Z",41,41.95,41.2,41.75,0.75,1.8292682926829267,1.8292682926829267,15334500
"2004-06-07T00:00:00.000Z",41.75,42.4,41.9,42.25,0.5,1.1976047904191618,1.1976047904191618,14921000
"2004-06-08T00:00:00.000Z",42.25,42.95,42.05,42.9,0.65,1.5384615384615385,1.5384615384615385,30103500
"2004-06-09T00:00:00.000Z",42.9,43.1,42.35,42.55,-0.35,-0.8158508158508158,-0.8158508158508158,26176500
"2004-06-10T00:00:00.000Z",42.55,42.35,41.65,42.05,-0.5,-1.1750881316098707,-1.1750881316098707,29190000
"2004-06-11T00:00:00.000Z",42.05,42.2,41.55,42.1,0.05,0.11890606420927466,0.11890606420927466,15405000
"2004-06-14T00:00:00.000Z",42.1,41.35,40,41.2,-0.9,-2.137767220902613,-2.137767220902613,28529000
"2004-06-15T00:00:00.000Z",41.2,42,41.35,41.8,0.6,1.4563106796116505,1.4563106796116505,14347500
"2004-06-16T00:00:00.000Z",41.8,41.85,41.3,41.4,-0.4,-0.9569377990430623,-0.9569377990430623,9412000
"2004-06-17T00:00:00.000Z",41.4,41.55,41.15,41.25,-0.15,-0.36231884057971014,-0.36231884057971014,5454000
"2004-06-18T00:00:00.000Z",41.25,41.7,40.6,41.65,0.4,0.9696969696969697,0.9696969696969697,25933500
"2004-06-21T00:00:00.000Z",41.65,41.9,40.75,41,-0.65,-1.5606242496998801,-1.5606242496998801,21900000
"2004-06-22T00:00:00.000Z",41,41.4,40.95,41.1,0.1,0.24390243902439024,0.24390243902439024,12149500
"2004-06-23T00:00:00.000Z",41.1,41.95,41,41.9,0.8,1.9464720194647203,1.9464720194647203,36028500
"2004-06-24T00:00:00.000Z",41.9,42.2,41.8,41.95,0.05,0.11933174224343673,0.11933174224343673,18394500
"2004-06-25T00:00:00.000Z",41.95,42.1,41.55,41.6,-0.35,-0.8343265792610249,-0.8343265792610249,13962500
"2004-06-28T00:00:00.000Z",41.6,42.6,41.95,42.5,0.9,2.1634615384615383,2.1634615384615383,26279500
"2004-06-29T00:00:00.000Z",42.5,42.6,42.2,42.3,-0.2,-0.4705882352941177,-0.4705882352941177,12328000
"2004-06-30T00:00:00.000Z",42.3,42.65,42.15,42.15,-0.15,-0.3546099290780142,-0.3546099290780142,11154000
"2004-07-01T00:00:00.000Z",42.15,42.65,42,42.45,0.3,0.7117437722419928,0.7117437722419928,14795000
"2004-07-02T00:00:00.000Z",42.45,42.95,42.5,42.55,0.1,0.23557126030624267,0.23557126030624267,34125000
"2004-07-05T00:00:00.000Z",42.55,42.95,42.55,42.55,0,0,0,12187500
