"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-20T00:00:00.000Z",500,530,530,530,0,0,0,200
"2004-01-21T00:00:00.000Z",530,525,525,525,-5,-0.9433962264150944,-0.9433962264150944,300
"2004-01-27T00:00:00.000Z",525,538,538,538,13,2.4761904761904763,2.4761904761904763,100
"2004-01-29T00:00:00.000Z",538,536,536,536,-2,-0.37174721189591076,-0.37174721189591076,0
"2004-01-30T00:00:00.000Z",536,529,529,529,-7,-1.3059701492537312,-1.3059701492537312,100
"2004-02-09T00:00:00.000Z",529,520,520,520,-9,-1.7013232514177694,-1.7013232514177694,0
"2004-02-10T00:00:00.000Z",520,520,520,520,0,0,0,100
"2004-02-19T00:00:00.000Z",520,525,520,520,0,0,0,500
"2004-02-23T00:00:00.000Z",520,520,520,520,0,0,0,2800
"2004-02-25T00:00:00.000Z",520,535.1,535.1,535.1,15.1,2.9038461538461537,2.9038461538461537,400
"2004-02-27T00:00:00.000Z",535.1,515,515,515,-20.1,-3.7563072322930298,-3.7563072322930298,100
"2004-03-10T00:00:00.000Z",515,515,515,515,0,0,0,500
"2004-03-12T00:00:00.000Z",515,550,550,550,35,6.796116504854369,6.796116504854369,100
"2004-03-15T00:00:00.000Z",550,525,525,525,-25,-4.545454545454546,-4.545454545454546,100
"2004-03-16T00:00:00.000Z",525,540,540,540,15,2.857142857142857,2.857142857142857,100
"2004-03-22T00:00:00.000Z",525,526,526,526,-14,-2.5925925925925926,-2.5925925925925926,0
"2004-03-31T00:00:00.000Z",526,525,525,525,-1,-0.19011406844106463,-0.19011406844106463,100
"2004-04-09T00:00:00.000Z",525,510,510,510,-15,-2.857142857142857,-2.857142857142857,100
"2004-04-14T00:00:00.000Z",510,520,520,520,10,1.9607843137254901,1.9607843137254901,0
"2004-04-15T00:00:00.000Z",520,525,525,525,5,0.9615384615384616,0.9615384615384616,200
"2004-04-20T00:00:00.000Z",525,525,525,525,0,0,0,100
"2004-04-26T00:00:00.000Z",525,527,527,527,2,0.38095238095238093,0.38095238095238093,0
"2004-04-27T00:00:00.000Z",527,550,550,550,23,4.364326375711575,4.364326375711575,200
"2004-05-13T00:00:00.000Z",543,525,525,525,-25,-4.545454545454546,-4.545454545454546,100
"2004-05-21T00:00:00.000Z",525,526,526,526,1,0.19047619047619047,0.19047619047619047,0
"2004-06-01T00:00:00.000Z",526,560,560,560,34,6.4638783269961975,6.4638783269961975,100
"2004-06-09T00:00:00.000Z",560,566,566,566,6,1.0714285714285714,1.0714285714285714,300
"2004-06-11T00:00:00.000Z",566,566.05,566.05,566.05,0.05,0.0088339222614841,0.0088339222614841,0
"2004-06-18T00:00:00.000Z",566.05,566.1,566.1,566.1,0.05,0.008833141948591113,0.008833141948591113,0
"2004-06-25T00:00:00.000Z",566.1,537.8,537.8,537.8,-28.3,-4.999116763822647,-4.999116763822647,100
"2004-07-07T00:00:00.000Z",537.8,541,541,541,3.2,0.5950167348456676,0.5950167348456676,0
"2004-07-15T00:00:00.000Z",541,550,550,550,9,1.6635859519408502,1.6635859519408502,0
"2004-07-19T00:00:00.000Z",550,555,555,555,5,0.9090909090909091,0.9090909090909091,0
"2004-07-20T00:00:00.000Z",555,560,560,560,5,0.9009009009009009,0.9009009009009009,100
"2004-07-22T00:00:00.000Z",560,560,560,560,0,0,0,100
