"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2007-04-13T00:00:00.000Z",10,65.5,48,57.65,0,0,12434000
"2007-04-16T00:00:00.000Z",57.65,59.8,54.8,54.8,-2.85,-4.943625325238508,2812000
"2007-04-17T00:00:00.000Z",54.8,53.25,52.1,52.1,-2.7,-4.927007299270073,1438000
"2007-04-18T00:00:00.000Z",52.1,53,49.65,51.4,-0.7,-1.3435700575815737,1787500
"2007-04-19T00:00:00.000Z",51.4,52.3,50.55,50.7,-0.7,-1.3618677042801555,538000
"2007-04-20T00:00:00.000Z",50.7,51.25,50,50.35,-0.35,-0.690335305719921,222000
"2007-04-23T00:00:00.000Z",50.35,52.45,50.1,51.45,1.1,2.184707050645482,950000
"2007-04-24T00:00:00.000Z",51.45,54,51.65,54,2.55,4.956268221574343,1301500
"2007-04-25T00:00:00.000Z",54,56.7,55.35,56.7,2.7,5,839000
"2007-04-26T00:00:00.000Z",56.7,59.5,58.5,59.5,2.8,4.938271604938271,700500
"2007-04-27T00:00:00.000Z",59.5,62.45,57.1,59.65,0.15,0.25210084033613445,3316000
"2007-04-30T00:00:00.000Z",59.65,59.4,56.8,57,-2.65,-4.442581726739313,1432500
"2007-05-02T00:00:00.000Z",57,56.8,55.5,55.55,-1.45,-2.543859649122807,669000
"2007-05-03T00:00:00.000Z",55.55,55.25,54,54.45,-1.1,-1.9801980198019802,483000
"2007-05-04T00:00:00.000Z",54.45,56.5,54,55.7,1.25,2.295684113865932,573000
"2007-05-07T00:00:00.000Z",55.7,55.7,52.95,52.95,-2.75,-4.937163375224416,727000
"2007-05-08T00:00:00.000Z",52.95,54.3,52,54.1,1.15,2.1718602455146363,409000
"2007-05-09T00:00:00.000Z",54.1,55.05,54,54,-0.1,-0.18484288354898337,418000
"2007-05-10T00:00:00.000Z",54,54.5,53,53.25,-0.75,-1.3888888888888888,287500
"2007-05-11T00:00:00.000Z",53.25,54,52.65,53.4,0.15,0.2816901408450704,410500
"2007-05-14T00:00:00.000Z",53.4,53.85,51.5,52.85,-0.55,-1.0299625468164795,462500
"2007-05-15T00:00:00.000Z",52.85,54.25,53,53,0.15,0.28382213812677387,506000
"2007-05-16T00:00:00.000Z",53,53.55,52.1,52.5,-0.5,-0.9433962264150944,314000
"2007-05-17T00:00:00.000Z",52.5,53,52,52.2,-0.3,-0.5714285714285714,279000
"2007-05-18T00:00:00.000Z",52.2,52.7,52,52.45,0.25,0.4789272030651341,198000
"2007-05-21T00:00:00.000Z",52.45,52.45,51.55,51.65,-0.8,-1.5252621544327933,156000
