"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",25,25.5,25.5,25.5,0,0,2000
"2004-01-07T00:00:00.000Z",25.5,25.5,25,25,-0.5,-1.9607843137254901,2000
"2004-01-08T00:00:00.000Z",25,25.1,25.1,25.1,0.1,0.4,500
"2004-01-09T00:00:00.000Z",25.1,26.25,26.25,26.25,1.15,4.581673306772908,500
"2004-01-12T00:00:00.000Z",26.25,25.5,25.5,25.5,-0.75,-2.857142857142857,4000
"2004-01-14T00:00:00.000Z",25.5,26.05,26.05,26.05,0.55,2.1568627450980395,500
"2004-01-26T00:00:00.000Z",26.05,25,25,25,-1.05,-4.030710172744722,500
"2004-01-27T00:00:00.000Z",25,25.75,25.75,25.75,0.75,3,0
"2004-02-09T00:00:00.000Z",25.75,26.9,26.9,26.9,1.15,4.466019417475728,1000
"2004-02-10T00:00:00.000Z",26.9,26.5,26.5,26.5,-0.4,-1.4869888475836432,1000
"2004-02-11T00:00:00.000Z",26.5,27,26,27,0.5,1.8867924528301887,5500
"2004-02-12T00:00:00.000Z",27,25.65,25.65,25.65,-1.35,-5,1000
"2004-03-08T00:00:00.000Z",25.65,27,27,27,1.35,5.2631578947368425,1000
"2004-03-12T00:00:00.000Z",27,26.9,26.85,26.85,-0.15,-0.5555555555555556,2000
"2004-03-24T00:00:00.000Z",26.85,28.4,27.05,27.05,0.2,0.74487895716946,1500
"2004-03-25T00:00:00.000Z",27.05,27.05,27.05,27.05,0,0,1000
"2004-03-26T00:00:00.000Z",27.05,27,27,27,-0.05,-0.18484288354898337,500
"2004-03-29T00:00:00.000Z",27,27.25,27.25,27.25,0.25,0.9259259259259258,1000
"2004-03-30T00:00:00.000Z",27.25,28.4,28.4,28.4,1.15,4.220183486238532,500
"2004-04-01T00:00:00.000Z",28.4,27.1,27.1,27.1,-1.3,-4.577464788732395,2000
"2004-04-02T00:00:00.000Z",27.1,27.2,27.15,27.2,0.1,0.3690036900369004,1000
"2004-04-06T00:00:00.000Z",27.2,27.9,27.05,27.05,-0.15,-0.5514705882352942,3000
"2004-04-07T00:00:00.000Z",27.05,27.45,27,27.45,0.4,1.478743068391867,5000
"2004-04-08T00:00:00.000Z",27.45,27.65,26.1,26.1,-1.35,-4.918032786885246,1500
"2004-04-09T00:00:00.000Z",26.1,25,25,25,-1.1,-4.21455938697318,500
"2004-04-13T00:00:00.000Z",25,26.85,26.85,26.85,1.85,7.400000000000001,500
"2004-04-14T00:00:00.000Z",26.85,25.55,25.55,25.55,-1.3,-4.8417132216014895,1000
"2004-04-15T00:00:00.000Z",25.55,26,26,26,0.45,1.761252446183953,1500
"2004-04-16T00:00:00.000Z",26,27.5,27.5,27.5,1.5,5.769230769230769,1000
"2004-04-19T00:00:00.000Z",27.5,28.5,27.7,27.7,0.2,0.7272727272727273,500
"2004-04-20T00:00:00.000Z",27.7,27.25,27.25,27.25,-0.45,-1.624548736462094,1000
"2004-04-22T00:00:00.000Z",27.25,27.2,27.2,27.2,-0.05,-0.1834862385321101,0
"2004-05-24T00:00:00.000Z",26.2,26.5,26.5,26.5,-0.7,-2.5735294117647056,500
"2004-06-09T00:00:00.000Z",26.5,26,26,26,-0.5,-1.8867924528301887,0
