"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2015-02-18T00:00:00.000Z",53.5,53.7,50.83,51.52,-1.98,-3.7009345794392523,1020500
"2015-02-19T00:00:00.000Z",51,54.09,51,54.09,2.57,4.98835403726708,1132000
"2015-02-20T00:00:00.000Z",55,56.79,54.6,56.27,2.18,4.03031983730819,2277500
"2015-02-23T00:00:00.000Z",56.51,57.74,55.1,55.23,-1.040001,-1.8482334841259378,1239000
"2015-02-24T00:00:00.000Z",55.05,55.2,53.2,53.37,-1.860001,-3.3677366763038807,383500
"2015-02-25T00:00:00.000Z",53.4,54.4,53.2,53.36,-0.009998322,-0.018733974731789577,195000
"2015-02-26T00:00:00.000Z",53.6,54.8,53.4,53.62,0.2599983,0.4872531703836135,464000
"2015-02-27T00:00:00.000Z",53.51,54.5,53,53.25,-0.3699989,-0.690038992149252,362500
"2015-03-02T00:00:00.000Z",52.7,53.48,50.65,51.5,-1.75,-3.286384976525822,339000
"2015-03-03T00:00:00.000Z",51.25,52.3,50.2,52.05,0.5499992,1.0679595950608218,291500
"2015-03-04T00:00:00.000Z",52.49,53.6,52.11,52.32,0.2700005,0.5187329540704414,618500
"2015-03-05T00:00:00.000Z",52.4,53.94,52.06,53.27,0.9500008,1.815750792289767,612500
"2015-03-06T00:00:00.000Z",53.75,55.6,53.34,54.51,1.239998,2.3277603781580485,1265500
"2015-03-09T00:00:00.000Z",54.25,54.97,53.42,53.59,-0.9199982,-1.687760466666095,360500
"2015-03-10T00:00:00.000Z",53.4,53.79,52.29,52.53,-1.060001,-1.9779827957084755,285500
"2015-03-11T00:00:00.000Z",52,53.5,51.25,52.8,0.2700005,0.5139929612982388,514500
"2015-03-12T00:00:00.000Z",53,55.44,52.99,55.44,2.639999,4.999998011363674,915000
"2015-03-13T00:00:00.000Z",58.21,58.21,58.21,58.21,2.77,4.996392496392497,545500
"2015-03-16T00:00:00.000Z",59.85,59.85,55.3,55.3,-2.91,-4.999141041058238,2167000
"2015-03-17T00:00:00.000Z",54.72,55.45,52.54,54.26,-1.040001,-1.880652768885122,1846500
"2015-03-18T00:00:00.000Z",54.25,55.89,51.55,54.55,0.2900009,0.5344653608739187,2783500
"2015-03-19T00:00:00.000Z",54.21,55.5,52.05,52.42,-2.130001,-3.904676372049929,905500
"2015-03-20T00:00:00.000Z",52.85,54.1,52.18,53.77,1.350002,2.5753568323295237,932000
"2015-03-24T00:00:00.000Z",53.95,54.74,51.12,51.74,-2.029999,-3.775337619031758,500500
"2015-03-25T00:00:00.000Z",51.55,52.3,50.75,50.97,-0.7700005,-1.488211234168813,260500
"2015-03-26T00:00:00.000Z",52.5,52.5,48.43,49.7,-1.27,-2.4916617618206787,578500
"2015-03-27T00:00:00.000Z",50,50.4,47.6,48.78,-0.920002,-1.8511105894925317,291000
"2015-03-30T00:00:00.000Z",48.02,48.02,46.35,46.35,-2.43,-4.9815498154981555,242500
"2015-03-31T00:00:00.000Z",44.5,48.66,44.3,48.66,2.310001,4.983821035249646,743000
"2015-04-01T00:00:00.000Z",49,50.49,47.7,48.79,0.1300011,0.2671621515388074,822500
"2015-04-02T00:00:00.000Z",49.25,51.22,49.1,50.98,2.189999,4.488622576580804,590500
"2015-04-03T00:00:00.000Z",51.9,53.39,51.05,53.06,2.080002,4.080035468028068,684500
"2015-04-06T00:00:00.000Z",53.26,55.5,53.26,55.24,2.18,4.108556351300415,766000
"2015-04-07T00:00:00.000Z",55.39,55.49,54,54.28,-0.9600029,-1.737876266476445,558500
"2015-04-08T00:00:00.000Z",54.58,56.3,54.01,55.27,0.9900017,1.8238793865253307,699500
"2015-04-09T00:00:00.000Z",55.2,55.45,53,53.54,-1.73,-3.130088655690248,466000
"2015-04-10T00:00:00.000Z",53.7,54.84,53.5,54.61,1.07,1.998505790063504,426000
"2015-04-13T00:00:00.000Z",54.4,55.65,53.52,54.4,-0.2099991,-0.38454331342407955,560000
"2015-04-14T00:00:00.000Z",54.4,55,54,54.24,-0.1599998,-0.2941172804930782,206500
"2015-04-15T00:00:00.000Z",54.45,55,54.26,54.4,0.1599998,0.29498488091819736,243500
"2015-04-16T00:00:00.000Z",54.88,56.4,54.75,55.93,1.529999,2.812498110064373,1251000
"2015-04-17T00:00:00.000Z",51.36,51.7,50.35,50.5,0.5600014,1.1213484495372013,316000
"2015-04-20T00:00:00.000Z",51,51.05,48.36,48.93,-1.57,-3.108910891089109,326500
"2015-04-21T00:00:00.000Z",49,49.01,46.5,46.86,-2.07,-4.230533415082771,281000
"2015-04-22T00:00:00.000Z",47.01,49.2,47,49.2,2.34,4.99359795134443,301000
"2015-04-23T00:00:00.000Z",49.89,50.2,48.4,48.52,-0.6800003,-1.3821144224667818,274000
"2015-04-24T00:00:00.000Z",48.7,49,47.9,48.34,-0.1800003,-0.3709816547548537,219500
"2015-04-27T00:00:00.000Z",49,49.25,47.6,47.68,-0.6599998,-1.3653285120617646,174000
"2015-04-28T00:00:00.000Z",47.25,47.5,46.5,46.83,-0.8499985,-1.782715030915951,110500
"2015-04-29T00:00:00.000Z",46.5,47.44,46,46.23,-0.6000023,-1.2812348292368116,96000
"2015-04-30T00:00:00.000Z",46.3,46.46,43.93,44.62,-1.610001,-3.4825891524423724,362500
"2015-05-04T00:00:00.000Z",44.98,45.51,44.6,44.84,0.2200012,0.49305514548781204,133500
"2015-05-05T00:00:00.000Z",43.97,44.52,43.9,44.05,-0.7900009,-1.7618217755209724,79500
"2015-05-06T00:00:00.000Z",44.1,44.6,44,44.27,0.2200012,0.4994352008926729,127500
"2015-05-07T00:00:00.000Z",44.3,46,43.91,45.2,0.9300003,2.100746117691977,299500
"2015-05-08T00:00:00.000Z",45.25,45.8,44.6,44.79,-0.4099998,-0.907079207553448,103500
"2015-05-11T00:00:00.000Z",44.01,44.16,42.56,42.75,-2.040001,-4.55459020864947,191500
"2015-05-12T00:00:00.000Z",42,43.5,42,42.66,-0.09000015,-0.21052666592797664,134000
"2015-05-13T00:00:00.000Z",42.9,43.2,42.13,42.32,-0.3400002,-0.7969999962634786,76500
"2015-05-14T00:00:00.000Z",42.8,44.43,42.6,43.35,1.029999,2.433835008652292,808000
"2015-05-15T00:00:00.000Z",43.55,43.55,42.65,42.83,-0.5199966,-1.1995308899286052,244500
"2015-05-18T00:00:00.000Z",43.01,43.99,42.95,43.37,0.5399971,1.260791649397717,233500
"2015-05-19T00:00:00.000Z",43.5,43.8,43,43.02,-0.3499985,-0.8070060228385758,133500
"2015-05-20T00:00:00.000Z",43.25,43.25,42.75,43.01,-0.01000214,-0.0232499755984438,94500
"2015-05-21T00:00:00.000Z",43.11,43.24,42.3,42.47,-0.5399971,-1.2555153136711092,72500
"2015-05-22T00:00:00.000Z",42.75,43,42.25,42.3,-0.170002,-0.40028724274606814,52000
"2015-05-25T00:00:00.000Z",43,43.97,42.5,43.44,1.139999,2.6950330332143495,174500
"2015-05-26T00:00:00.000Z",43,43,42.53,42.74,-0.6999969,-1.6114110265970114,40500
"2015-05-27T00:00:00.000Z",42.6,43.66,42.6,43.03,0.2899971,0.6785144602786164,169000
"2015-05-28T00:00:00.000Z",43,43.08,42.62,42.7,-0.329998,-0.7669021969278269,44000
"2015-05-29T00:00:00.000Z",42.99,42.99,42.6,42.66,-0.04000092,-0.09367896753665926,57000
"2015-06-01T00:00:00.000Z",42.6,42.6,42,42.36,-0.2999992,-0.7032330183447355,95500
"2015-06-02T00:00:00.000Z",42.6,43.16,42.26,42.58,0.2200012,0.5193607323709367,256500
