"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",30.9,31.5,30.5,30.5,0,0,0,5000
"2004-01-02T00:00:00.000Z",30.5,30.25,30.25,30.25,-0.25,-0.819672131147541,-0.819672131147541,0
"2004-01-05T00:00:00.000Z",30.25,29,29,29,-1.25,-4.132231404958678,-4.132231404958678,1000
"2004-01-07T00:00:00.000Z",29,30.5,30,30.5,1.5,5.172413793103448,5.172413793103448,3000
"2004-01-08T00:00:00.000Z",30.5,29,29,29,-1.5,-4.918032786885246,-4.918032786885246,0
"2004-01-09T00:00:00.000Z",29,28,28,28,-1,-3.4482758620689653,-3.4482758620689653,2000
"2004-01-16T00:00:00.000Z",28,29.2,29.2,29.2,1.2,4.285714285714286,4.285714285714286,2000
"2004-01-20T00:00:00.000Z",29.2,29.25,29,29.25,0.05,0.17123287671232879,0.17123287671232879,5500
"2004-01-21T00:00:00.000Z",29.25,30.4,29,29.5,0.25,0.8547008547008548,0.8547008547008548,13000
"2004-01-22T00:00:00.000Z",29.5,30,29.5,29.95,0.45,1.5254237288135595,1.5254237288135595,5500
"2004-01-26T00:00:00.000Z",29.95,29.5,29.5,29.5,-0.45,-1.5025041736227045,-1.5025041736227045,0
"2004-01-27T00:00:00.000Z",29.5,29.5,29.25,29.5,0,0,0,9500
"2004-01-28T00:00:00.000Z",29.5,29.5,29.5,29.5,0,0,0,500
"2004-01-29T00:00:00.000Z",29.5,29.5,29.25,29.5,0,0,0,4000
"2004-01-30T00:00:00.000Z",29.5,30.25,29.75,29.75,0.25,0.847457627118644,0.847457627118644,7000
"2004-02-09T00:00:00.000Z",29.75,29.5,29.5,29.5,-0.25,-0.8403361344537815,-0.8403361344537815,0
"2004-02-11T00:00:00.000Z",29.5,29.45,29.45,29.45,-0.05,-0.16949152542372883,-0.16949152542372883,0
"2004-02-12T00:00:00.000Z",29.45,28.9,28.9,28.9,-0.55,-1.8675721561969443,-1.8675721561969443,0
"2004-02-17T00:00:00.000Z",28.9,28,28,28,-0.9,-3.114186851211073,-3.114186851211073,500
"2004-02-18T00:00:00.000Z",28,27.8,27.8,27.8,-0.2,-0.7142857142857143,-0.7142857142857143,0
"2004-02-25T00:00:00.000Z",27.8,29,28,29,1.2,4.316546762589928,4.316546762589928,8500
"2004-02-26T00:00:00.000Z",29,31,29,29,0,0,0,11000
"2004-03-03T00:00:00.000Z",29,28.75,28.75,28.75,-0.25,-0.8620689655172413,-0.8620689655172413,0
"2004-03-04T00:00:00.000Z",28.75,29.75,28.75,29.75,1,3.4782608695652173,3.4782608695652173,5000
"2004-03-05T00:00:00.000Z",29.75,29.6,29.45,29.6,-0.15,-0.5042016806722689,-0.5042016806722689,12000
"2004-03-08T00:00:00.000Z",29.6,30,29,30,0.4,1.3513513513513513,1.3513513513513513,9000
"2004-03-09T00:00:00.000Z",30,30.5,30,30,0,0,0,14500
"2004-03-10T00:00:00.000Z",30,30.95,30.25,30.7,0.7,2.333333333333333,2.333333333333333,13500
"2004-03-11T00:00:00.000Z",30.7,30.55,30.3,30.3,-0.4,-1.3029315960912053,-1.3029315960912053,4000
"2004-03-12T00:00:00.000Z",30.3,30,29.55,29.55,-0.75,-2.4752475247524752,-2.4752475247524752,5500
"2004-03-15T00:00:00.000Z",29.55,31.75,30,31.75,2.2,7.445008460236887,7.445008460236887,57500
"2004-03-16T00:00:00.000Z",31.75,33.4,32.8,33.25,1.5,4.724409448818897,4.724409448818897,21500
"2004-03-17T00:00:00.000Z",33.25,34,33.05,34,0.75,2.2556390977443606,2.2556390977443606,5500
"2004-03-18T00:00:00.000Z",34,34,32.75,32.75,-1.25,-3.6764705882352944,-3.6764705882352944,2000
"2004-03-19T00:00:00.000Z",32.75,32.35,32.25,32.25,-0.5,-1.5267175572519083,-1.5267175572519083,4000
"2004-03-22T00:00:00.000Z",32.25,32.25,31.4,31.4,-0.85,-2.635658914728682,-2.635658914728682,2000
"2004-03-24T00:00:00.000Z",31.4,31.7,31.2,31.7,0.3,0.9554140127388535,0.9554140127388535,2500
"2004-03-25T00:00:00.000Z",31.7,31,30.2,31,-0.7,-2.208201892744479,-2.208201892744479,1500
"2004-03-29T00:00:00.000Z",31,29.45,29.45,29.45,-1.55,-5,-5,500
"2004-03-30T00:00:00.000Z",29.45,31.5,31,31.5,2.05,6.960950764006791,6.960950764006791,5500
"2004-03-31T00:00:00.000Z",31.5,31.5,31.5,31.5,0,0,0,500
"2004-04-01T00:00:00.000Z",31.5,33,31.8,32,0.5,1.5873015873015872,1.5873015873015872,9000
"2004-04-02T00:00:00.000Z",32,34,32.25,32.25,0.25,0.78125,0.78125,3500
"2004-04-05T00:00:00.000Z",32.25,32.5,31.75,31.75,-0.5,-1.550387596899225,-1.550387596899225,6500
"2004-04-06T00:00:00.000Z",31.75,32.45,32.4,32.45,0.7,2.2047244094488185,2.2047244094488185,1500
"2004-04-07T00:00:00.000Z",32.45,32,32,32,-0.45,-1.3867488443759628,-1.3867488443759628,0
"2004-04-08T00:00:00.000Z",32,30.4,30.4,30.4,-1.6,-5,-5,2500
"2004-04-13T00:00:00.000Z",30.4,30.25,30,30,-0.4,-1.3157894736842106,-1.3157894736842106,2500
"2004-04-16T00:00:00.000Z",30,32,29.3,32,2,6.666666666666667,6.666666666666667,6000
