"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-02-12T00:00:00.000Z",5.2,5,5,5,0,0,0
"2004-02-13T00:00:00.000Z",5,4.45,4,4.45,-0.55,-11.000000000000002,2000
"2004-03-17T00:00:00.000Z",4.45,5,5,5,0.55,12.359550561797754,1500
"2004-03-18T00:00:00.000Z",5,5.25,5.25,5.25,0.25,5,500
"2004-03-19T00:00:00.000Z",5.25,5.5,5.5,5.5,0.25,4.761904761904762,1500
"2004-03-30T00:00:00.000Z",5.5,6,6,6,0.5,9.090909090909092,500
"2004-03-31T00:00:00.000Z",6,5.5,5.5,5.5,-0.5,-8.333333333333332,1000
"2004-04-07T00:00:00.000Z",5.5,6,6,6,0.5,9.090909090909092,1500
"2004-04-15T00:00:00.000Z",6,6,6,6,0,0,500
"2004-05-25T00:00:00.000Z",6,6.1,6.1,6.1,0.1,1.6666666666666667,0
"2004-05-27T00:00:00.000Z",6.1,6.2,6.2,6.2,0.1,1.639344262295082,0
"2004-05-28T00:00:00.000Z",6.2,6.5,6.5,6.5,0.3,4.838709677419355,0
"2004-06-03T00:00:00.000Z",6.5,7.05,7.05,7.05,0.55,8.461538461538462,0
"2004-06-25T00:00:00.000Z",7.05,6.5,6.5,6.5,-0.55,-7.801418439716312,1000
"2004-08-03T00:00:00.000Z",6.5,5.5,5.5,5.5,-1,-15.384615384615385,500
"2004-08-25T00:00:00.000Z",5.5,5.55,5.55,5.55,0.05,0.9090909090909092,0
"2004-12-15T00:00:00.000Z",5.55,5.6,5.6,5.6,0.05,0.9009009009009009,0
"2004-12-21T00:00:00.000Z",5.6,5.7,5.7,5.7,0.1,1.7857142857142856,0
"2005-01-10T00:00:00.000Z",5.7,6,6,6,0.3,5.263157894736842,0
"2005-01-12T00:00:00.000Z",6,6.05,6.05,6.05,0.05,0.8333333333333334,0
"2005-01-25T00:00:00.000Z",6.05,6.1,6.1,6.1,0.05,0.8264462809917356,0
"2005-01-26T00:00:00.000Z",6.1,6.25,6.25,6.25,0.15,2.459016393442623,0
"2005-01-27T00:00:00.000Z",6.25,6.3,6.3,6.3,0.05,0.8,0
"2005-02-01T00:00:00.000Z",6.3,6.4,6.4,6.4,0.1,1.5873015873015872,0
"2005-02-15T00:00:00.000Z",6.4,7.9,7.9,7.9,1.5,23.4375,0
"2005-02-24T00:00:00.000Z",7.9,8.25,8.25,8.25,0.35,4.430379746835443,0
"2005-03-18T00:00:00.000Z",8.25,8.25,8.25,8.25,0,0,1000
"2005-05-12T00:00:00.000Z",8.25,7.25,7.25,7.25,-1,-12.121212121212121,1000
"2005-05-31T00:00:00.000Z",7.25,6.35,6.35,6.35,-0.9,-12.413793103448276,1000
"2005-08-26T00:00:00.000Z",6.35,6.35,6.35,6.35,0,0,500
"2005-09-05T00:00:00.000Z",6.35,6.25,6.25,6.25,-0.1,-1.5748031496062995,1000
"2005-09-06T00:00:00.000Z",6.25,7.25,7,7.25,1,16,1500
"2005-09-19T00:00:00.000Z",7.25,7,7,7,-0.25,-3.4482758620689653,2500
"2005-12-22T00:00:00.000Z",7,6,6,6,-1,-14.285714285714285,500
"2005-12-23T00:00:00.000Z",6,7,7,7,1,16.666666666666664,500
"2005-12-29T00:00:00.000Z",7,7,7,7,0,0,500
"2006-01-04T00:00:00.000Z",7,8,7.9,8,1,14.285714285714285,1000
"2006-03-06T00:00:00.000Z",8,7,7,7,-1,-12.5,500
"2006-05-05T00:00:00.000Z",7,8,7.95,8,1,14.285714285714285,1000
"2006-05-15T00:00:00.000Z",8,8,8,8,0,0,500
"2006-07-21T00:00:00.000Z",8,9,9,9,1,12.5,2000
"2007-06-07T00:00:00.000Z",9,8.5,8.5,8.5,-0.5,-5.555555555555555,0
"2007-07-06T00:00:00.000Z",8.5,7.5,7.5,7.5,-1,-11.76470588235294,500
"2009-06-11T00:00:00.000Z",7.5,7,7,7,-0.5,-6.666666666666667,0
"2009-07-21T00:00:00.000Z",7,8,8,8,1,14.285714285714285,0
"2009-07-22T00:00:00.000Z",8,9,7,7,-1,-12.5,10
"2009-07-27T00:00:00.000Z",7,7,7,7,0,0,500
