"Date_","Open","High","Low","Close","Change","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",245.25,233,233,233,0,0,100
"2004-01-06T00:00:00.000Z",233,222,222,222,-11,-4.721030042918455,200
"2004-01-13T00:00:00.000Z",222,238,238,238,16,7.207207207207207,300
"2004-01-16T00:00:00.000Z",238,236,236,236,-2,-0.8403361344537815,100
"2004-01-27T00:00:00.000Z",236,225,225,225,-11,-4.661016949152542,100
"2004-02-09T00:00:00.000Z",225,225,225,225,0,0,200
"2004-02-10T00:00:00.000Z",225,228,228,228,3,1.3333333333333335,0
"2004-02-11T00:00:00.000Z",228,229.55,229.55,229.55,1.55,0.6798245614035088,0
"2004-02-20T00:00:00.000Z",229.55,231.25,231.25,231.25,1.7,0.7405793944674363,0
"2004-02-25T00:00:00.000Z",231.25,231,231,231,-0.25,-0.10810810810810811,100
"2004-03-03T00:00:00.000Z",231,246.25,246.25,246.25,15.25,6.6017316017316015,0
"2004-03-04T00:00:00.000Z",246.25,248.25,248.25,248.25,2,0.8121827411167513,0
"2004-03-09T00:00:00.000Z",248.25,249.05,249.05,249.05,0.8,0.32225579053373615,0
"2004-03-11T00:00:00.000Z",249.05,250,250,250,0.95,0.38144950813089734,0
"2004-03-12T00:00:00.000Z",250,250.5,250.5,250.5,0.5,0.2,0
"2004-03-25T00:00:00.000Z",250.5,250.5,250.5,250.5,0,0,2000
"2004-03-26T00:00:00.000Z",250.5,265,264.95,265,14.5,5.788423153692615,200
"2004-03-31T00:00:00.000Z",265,265.25,251.75,265.25,0.25,0.09433962264150944,600
"2004-04-02T00:00:00.000Z",265.25,265.5,265.5,265.5,0.25,0.0942507068803016,0
"2004-04-05T00:00:00.000Z",265.5,267,267,267,1.5,0.5649717514124294,100
"2004-04-06T00:00:00.000Z",267,287,287,287,20,7.490636704119851,100
"2004-04-19T00:00:00.000Z",287,290,290,290,3,1.0452961672473868,0
"2004-04-20T00:00:00.000Z",290,308,308,308,18,6.206896551724138,100
"2004-04-27T00:00:00.000Z",308,308,308,308,0,0,200
"2004-05-27T00:00:00.000Z",308,310,310,310,2,0.6493506493506493,0
"2004-06-03T00:00:00.000Z",310,320,320,320,10,3.225806451612903,0
"2004-06-10T00:00:00.000Z",320,330,330,330,10,3.125,0
"2004-06-23T00:00:00.000Z",330,330,330,330,0,0,100
"2004-07-06T00:00:00.000Z",330,328.5,328.5,328.5,-1.5,-0.45454545454545453,0
"2004-07-14T00:00:00.000Z",328.5,312.5,312.5,312.5,-16,-4.87062404870624,100
"2004-07-15T00:00:00.000Z",312.5,313,313,313,0.5,0.16,200
"2004-08-12T00:00:00.000Z",313,298,298,298,-15,-4.792332268370607,100
"2004-08-24T00:00:00.000Z",298,298,298,298,0,0,300
"2004-11-10T00:00:00.000Z",293,278.35,278.35,278.35,-19.65,-6.593959731543624,200
"2004-11-12T00:00:00.000Z",278.35,265,265,265,-13.35,-4.796119992814801,100
"2004-12-09T00:00:00.000Z",265,270,270,270,5,1.8867924528301887,200
"2004-12-27T00:00:00.000Z",270,290,285,290,20,7.4074074074074066,300
"2005-01-14T00:00:00.000Z",290,310.75,310.75,310.75,20.75,7.155172413793104,100
"2005-01-18T00:00:00.000Z",310.75,310.7,310.7,310.7,-0.05,-0.016090104585679808,0
"2005-01-19T00:00:00.000Z",310.7,310,310,310,-0.7,-0.22529771483746378,0
"2005-01-27T00:00:00.000Z",310,309,309,309,-1,-0.3225806451612903,0
"2005-01-31T00:00:00.000Z",309,308,308,308,-1,-0.3236245954692557,0
"2005-02-01T00:00:00.000Z",308,307,307,307,-1,-0.3246753246753247,0
"2005-02-03T00:00:00.000Z",307,305,305,305,-2,-0.6514657980456027,0
"2005-02-07T00:00:00.000Z",305,304,304,304,-1,-0.32786885245901637,0
"2005-02-15T00:00:00.000Z",304,326.8,310,326.8,22.8,7.5,1400
"2005-02-16T00:00:00.000Z",326.8,315.05,315.05,315.05,-11.75,-3.59547123623011,100
"2005-02-17T00:00:00.000Z",315.05,310,303,303,-12.05,-3.824789715918108,400
"2005-02-18T00:00:00.000Z",303,311.05,302,302,-1,-0.33003300330033003,200
"2005-03-15T00:00:00.000Z",302,301,301,301,-1,-0.33112582781456956,0
"2005-03-18T00:00:00.000Z",301,301,301,301,0,0,100
"2005-03-21T00:00:00.000Z",301,290,290,290,-11,-3.6544850498338874,100
"2005-06-29T00:00:00.000Z",285,285,285,285,-5,-1.7241379310344827,100
"2005-06-30T00:00:00.000Z",285,285,285,285,0,0,100
"2005-07-18T00:00:00.000Z",285,290,290,290,5,1.7543859649122806,0
"2005-07-20T00:00:00.000Z",290,304.5,304.5,304.5,14.5,5,100
"2005-07-26T00:00:00.000Z",304.5,290,290,290,-14.5,-4.761904761904762,100
"2005-07-27T00:00:00.000Z",290,304.5,304.5,304.5,14.5,5,0
"2005-07-28T00:00:00.000Z",304.5,319.7,319.7,319.7,15.2,4.991789819376026,0
"2005-08-15T00:00:00.000Z",319.7,335.65,335.65,335.65,15.95,4.989052236471692,100
"2005-08-16T00:00:00.000Z",335.65,335.65,335.65,335.65,0,0,100
"2005-08-30T00:00:00.000Z",329.65,346.1,346.1,346.1,10.45,3.113362133174437,100
"2005-09-19T00:00:00.000Z",346.1,350,350,350,3.9,1.1268419531927187,100
"2005-09-21T00:00:00.000Z",350,367.5,367.5,367.5,17.5,5,100
"2005-09-22T00:00:00.000Z",367.5,368,368,368,0.5,0.13605442176870747,0
"2005-10-04T00:00:00.000Z",368,350,350,350,-18,-4.891304347826087,100
"2005-11-24T00:00:00.000Z",350,345,345,345,-5,-1.4285714285714286,100
"2005-11-25T00:00:00.000Z",345,362.25,362.25,362.25,17.25,5,100
"2005-11-29T00:00:00.000Z",362.25,350,350,350,-12.25,-3.3816425120772946,100
"2006-02-16T00:00:00.000Z",350,332.5,332.5,332.5,-17.5,-5,200
"2006-02-23T00:00:00.000Z",332.5,335,335,335,2.5,0.7518796992481203,0
"2006-04-13T00:00:00.000Z",335,330,330,330,-5,-1.4925373134328357,100
"2006-04-14T00:00:00.000Z",330,340,340,340,10,3.0303030303030303,100
"2006-05-05T00:00:00.000Z",330,330,330,330,-10,-2.941176470588235,100
"2006-05-08T00:00:00.000Z",330,336,336,336,6,1.8181818181818181,0
"2006-05-11T00:00:00.000Z",336,352.8,352.8,352.8,16.8,5,100
"2006-07-24T00:00:00.000Z",352.8,355,355,355,2.2,0.6235827664399093,100
"2006-07-25T00:00:00.000Z",355,365,365,365,10,2.8169014084507045,0
"2006-07-26T00:00:00.000Z",365,375,375,375,10,2.73972602739726,0
"2006-07-27T00:00:00.000Z",375,385,385,385,10,2.666666666666667,0
"2006-07-31T00:00:00.000Z",385,396,396,396,11,2.857142857142857,0
"2006-08-01T00:00:00.000Z",396,406,406,406,10,2.525252525252525,0
"2006-08-03T00:00:00.000Z",406,416.55,416.55,416.55,10.55,2.5985221674876846,0
"2006-08-07T00:00:00.000Z",416.55,421,421,421,4.45,1.0682991237546513,0
"2006-08-08T00:00:00.000Z",421,430,430,430,9,2.137767220902613,0
"2006-08-09T00:00:00.000Z",430,436,436,436,6,1.3953488372093024,0
"2006-08-10T00:00:00.000Z",436,445,445,445,9,2.064220183486239,0
