"Date_","Open","High","Low","Close","Change","change_valueP","ChangeP","Volume"
"2004-01-01T00:00:00.000Z",3.15,3.3,3.3,3.3,0,0,0,0
"2004-01-05T00:00:00.000Z",3.3,3.5,3.5,3.5,0.2,6.060606060606061,6.060606060606061,1000
"2004-01-06T00:00:00.000Z",3.5,3.6,3.6,3.6,0.1,2.857142857142857,2.857142857142857,1000
"2004-01-07T00:00:00.000Z",3.6,3.7,3.6,3.7,0.1,2.777777777777778,2.777777777777778,10500
"2004-01-08T00:00:00.000Z",3.7,3.75,3.7,3.75,0.05,1.3513513513513513,1.3513513513513513,6500
"2004-01-09T00:00:00.000Z",3.75,4,3.65,3.65,-0.1,-2.666666666666667,-2.666666666666667,11500
"2004-01-12T00:00:00.000Z",3.65,4.1,4,4,0.35,9.58904109589041,9.58904109589041,1000
"2004-01-13T00:00:00.000Z",4,4,3.8,4,0,0,0,8500
"2004-01-14T00:00:00.000Z",4,4.25,3.9,3.9,-0.1,-2.5,-2.5,50500
"2004-01-15T00:00:00.000Z",3.9,4.8,4.25,4.75,0.85,21.794871794871796,21.794871794871796,30500
"2004-01-16T00:00:00.000Z",4.75,4.85,4.45,4.8,0.05,1.0526315789473684,1.0526315789473684,17500
"2004-01-19T00:00:00.000Z",4.8,4.6,4.6,4.6,-0.2,-4.166666666666667,-4.166666666666667,2000
"2004-01-20T00:00:00.000Z",4.6,4.7,4.45,4.45,-0.15,-3.2608695652173907,-3.2608695652173907,2500
"2004-01-21T00:00:00.000Z",4.45,4.5,4.45,4.5,0.05,1.1235955056179776,1.1235955056179776,10500
"2004-01-22T00:00:00.000Z",4.5,4.6,4.25,4.5,0,0,0,25000
"2004-01-23T00:00:00.000Z",4.5,4.65,4.5,4.65,0.15,3.3333333333333335,3.3333333333333335,39000
"2004-01-27T00:00:00.000Z",4.65,4.65,4.65,4.65,0,0,0,500
"2004-01-28T00:00:00.000Z",4.65,4.75,4.7,4.75,0.1,2.150537634408602,2.150537634408602,2000
"2004-01-30T00:00:00.000Z",4.75,4.75,4.5,4.75,0,0,0,148000
"2004-02-09T00:00:00.000Z",4.75,4.95,4.5,4.5,-0.25,-5.263157894736842,-5.263157894736842,30000
"2004-02-10T00:00:00.000Z",4.5,5.05,4.3,5,0.5,11.11111111111111,11.11111111111111,120500
"2004-02-11T00:00:00.000Z",5,5.9,5.1,5.6,0.6,12,12,345500
"2004-02-12T00:00:00.000Z",5.6,5.85,5.1,5.45,-0.15,-2.678571428571428,-2.678571428571428,71000
"2004-02-13T00:00:00.000Z",5.45,5.4,5.3,5.4,-0.05,-0.9174311926605505,-0.9174311926605505,11500
"2004-02-16T00:00:00.000Z",5.4,6.15,5.4,5.6,0.2,3.703703703703704,3.703703703703704,160500
"2004-02-17T00:00:00.000Z",5.6,6.8,5.9,6.65,1.05,18.75,18.75,731000
"2004-02-18T00:00:00.000Z",6.65,7.2,6.75,6.85,0.2,3.007518796992482,3.007518796992482,139000
"2004-02-19T00:00:00.000Z",6.85,7.1,6.55,6.55,-0.3,-4.37956204379562,-4.37956204379562,108000
"2004-02-20T00:00:00.000Z",6.55,7,6.5,6.6,0.05,0.7633587786259542,0.7633587786259542,92500
"2004-02-23T00:00:00.000Z",6.6,6.95,6.25,6.25,-0.35,-5.303030303030303,-5.303030303030303,28500
"2004-02-24T00:00:00.000Z",6.25,6.25,6,6,-0.25,-4,-4,40500
"2004-02-25T00:00:00.000Z",6,6.15,6,6,0,0,0,37000
"2004-02-26T00:00:00.000Z",6,6.3,6,6.3,0.3,5,5,22000
"2004-02-27T00:00:00.000Z",6.3,6.85,6.4,6.85,0.55,8.730158730158731,8.730158730158731,38000
"2004-03-03T00:00:00.000Z",6.85,8.35,6.8,8.35,1.5,21.897810218978105,21.897810218978105,470000
"2004-03-04T00:00:00.000Z",8.35,9.3,8.4,8.8,0.45,5.389221556886227,5.389221556886227,1044500
"2004-03-05T00:00:00.000Z",8.8,8.9,8.1,8.25,-0.55,-6.25,-6.25,69500
"2004-03-08T00:00:00.000Z",8.25,7.8,7.5,7.5,-0.75,-9.090909090909092,-9.090909090909092,18000
"2004-03-09T00:00:00.000Z",7.5,7.5,6.85,6.85,-0.65,-8.666666666666668,-8.666666666666668,65500
"2004-03-10T00:00:00.000Z",6.85,6.7,6.3,6.55,-0.3,-4.37956204379562,-4.37956204379562,22000
"2004-03-11T00:00:00.000Z",6.55,7.7,6.55,7.05,0.5,7.633587786259542,7.633587786259542,115500
"2004-03-12T00:00:00.000Z",7.05,7.4,6.8,6.8,-0.25,-3.546099290780142,-3.546099290780142,27000
"2004-03-15T00:00:00.000Z",6.8,6.9,6.7,6.8,0,0,0,26000
"2004-03-16T00:00:00.000Z",6.8,7,6.95,6.95,0.15,2.2058823529411766,2.2058823529411766,7500
"2004-03-17T00:00:00.000Z",6.95,7.15,7,7.1,0.15,2.158273381294964,2.158273381294964,49500
"2004-03-18T00:00:00.000Z",7.1,7.35,7,7.35,0.25,3.5211267605633805,3.5211267605633805,9500
"2004-03-19T00:00:00.000Z",7.35,7.1,6.9,7,-0.35,-4.761904761904762,-4.761904761904762,15500
"2004-03-22T00:00:00.000Z",7,7,6.7,6.7,-0.3,-4.285714285714286,-4.285714285714286,16500
"2004-03-24T00:00:00.000Z",6.7,7,6.65,6.65,-0.05,-0.7462686567164178,-0.7462686567164178,64500
"2004-03-25T00:00:00.000Z",6.65,6.8,6.55,6.8,0.15,2.255639097744361,2.255639097744361,24500
"2004-03-26T00:00:00.000Z",6.8,7.2,6.75,7,0.2,2.9411764705882355,2.9411764705882355,49500
"2004-03-29T00:00:00.000Z",7,7,6.85,7,0,0,0,22500
"2004-03-30T00:00:00.000Z",7,7.1,6.75,6.75,-0.25,-3.571428571428571,-3.571428571428571,25500
"2004-03-31T00:00:00.000Z",6.75,6.9,6.85,6.85,0.1,1.4814814814814816,1.4814814814814816,5500
"2004-04-01T00:00:00.000Z",6.85,6.75,6.7,6.75,-0.1,-1.4598540145985404,-1.4598540145985404,5000
"2004-04-02T00:00:00.000Z",6.75,7.35,7,7.25,0.5,7.4074074074074066,7.4074074074074066,33500
"2004-04-05T00:00:00.000Z",7.25,7.8,7.2,7.4,0.15,2.0689655172413794,2.0689655172413794,33000
"2004-04-06T00:00:00.000Z",7.4,7.7,7.05,7.1,-0.3,-4.054054054054054,-4.054054054054054,4500
"2004-04-07T00:00:00.000Z",7.1,7.7,7.3,7.4,0.3,4.225352112676055,4.225352112676055,35500
"2004-04-08T00:00:00.000Z",7.4,7.4,7,7.4,0,0,0,2500
"2004-04-09T00:00:00.000Z",7.4,7.2,6.95,7.2,-0.2,-2.7027027027027026,-2.7027027027027026,10000
"2004-04-12T00:00:00.000Z",7.2,7.9,7,7.85,0.65,9.027777777777779,9.027777777777779,41000
"2004-04-13T00:00:00.000Z",7.85,8.4,7.8,8.25,0.4,5.095541401273886,5.095541401273886,168500
"2004-04-14T00:00:00.000Z",8.25,8.9,8,8.1,-0.15,-1.8181818181818181,-1.8181818181818181,209500
"2004-04-15T00:00:00.000Z",8.1,8.25,7.75,7.8,-0.3,-3.7037037037037033,-3.7037037037037033,11500
"2004-04-16T00:00:00.000Z",7.8,7.8,7.6,7.7,-0.1,-1.2820512820512822,-1.2820512820512822,35500
"2004-04-19T00:00:00.000Z",7.7,8.85,8.1,8.85,1.15,14.935064935064934,14.935064935064934,105500
"2004-04-20T00:00:00.000Z",8.85,8.5,8,8,-0.85,-9.6045197740113,-9.6045197740113,29500
"2004-04-21T00:00:00.000Z",8,8,8,8,0,0,0,3000
"2004-04-22T00:00:00.000Z",8,7.8,7.15,7.8,-0.2,-2.5,-2.5,11500
"2004-04-23T00:00:00.000Z",7.8,8.15,7.5,7.5,-0.3,-3.8461538461538463,-3.8461538461538463,10000
"2004-04-26T00:00:00.000Z",7.5,8.2,7.25,8,0.5,6.666666666666667,6.666666666666667,8000
"2004-04-27T00:00:00.000Z",8,7.7,7.5,7.7,-0.3,-3.75,-3.75,5000
"2004-04-28T00:00:00.000Z",7.7,7.3,7.15,7.25,-0.45,-5.844155844155844,-5.844155844155844,7000
"2004-04-29T00:00:00.000Z",7.25,8.35,7.5,7.85,0.6,8.275862068965518,8.275862068965518,53000
"2004-04-30T00:00:00.000Z",7.85,8.1,7.4,8,0.15,1.910828025477707,1.910828025477707,55500
"2004-05-04T00:00:00.000Z",8,8.1,7.8,8.05,0.05,0.625,0.625,12000
"2004-05-05T00:00:00.000Z",8.05,8,8,8,-0.05,-0.6211180124223602,-0.6211180124223602,0
"2004-05-06T00:00:00.000Z",8,7.95,7.95,7.95,-0.05,-0.625,-0.625,500
"2004-05-11T00:00:00.000Z",7.95,7.75,7.75,7.75,-0.2,-2.515723270440252,-2.515723270440252,0
"2004-05-12T00:00:00.000Z",7.75,7.7,7.7,7.7,-0.05,-0.6451612903225806,-0.6451612903225806,1000
"2004-05-13T00:00:00.000Z",7.7,6.75,6.7,6.7,-1,-12.987012987012985,-12.987012987012985,2000
"2004-05-14T00:00:00.000Z",6.7,7.75,7.5,7.75,1.05,15.671641791044777,15.671641791044777,5500
"2004-05-17T00:00:00.000Z",7.75,7.85,7.5,7.5,-0.25,-3.225806451612903,-3.225806451612903,19500
"2004-05-18T00:00:00.000Z",7.5,7.7,7.7,7.7,0.2,2.666666666666667,2.666666666666667,500
"2004-05-19T00:00:00.000Z",7.7,7.7,7.7,7.7,0,0,0,1000
